Income statement (GBP '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"1 Sep 2020","16 Mar 2020","27 Aug 2019","18 Mar 2019",
"Turnover",80627,175373,87731,162639,
"Other Expenses",21008,48869,23429,44354,
"Net Rental / Investment Income",59619,126504,64302,118285,
"Interest Receivable",1996,2011,1281,4869,
"Depreciation",550,,822,,
"Total Income",61615,128515,65583,123154,
"EBITDA (ProfileData Calc)",14971,,90969,,
"Interest Payable",41078,109570,56525,88180,
"Expenses",,3439,,30483,
"Income Before Exceptional Items",20537,15506,9058,4491,
"Exceptional Item 1",-47117,48761,23863,-121009,
"Income From Associates Before Tax",-77,792,701,1630,
"Income Before Tax",-26657,65059,33622,-114888,
"Tax",5051,19041,7407,5793,
"Profit For The Period",-31708,46018,26215,-120681,
"Net Income Before Extraords",-31708,46018,26215,-120681,
"Income Attributable To Equity Holders",-31708,46018,26215,-120681,
"Total Comprehensive Income/Loss for the period",-86491,123036,111621,-70827,
"Headline Earnings (Cont Ops)",-21373,27,8248,-6174,
"Enterprise Value (EV)",5276178,5192174,4572368,581192,

Balance sheet (GBP '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"1 Sep 2020","16 Mar 2020","27 Aug 2019","18 Mar 2019",
"Ordinary Capital & Premium",56361,56361,98834,109377,
"Treasury Shares",4582,4582,4582,5965,
"Distributable Reserves",487765,509138,517850,510793,
"Non-Distributable Reserves",-244854,-234519,-263034,-281001,
"Other Capital",,,,98,
"Translation Reserves",-26595,28188,36576,-48887,
"Ordinary Unitholders Interest",268095,354586,385644,284415,
"Preference Shareholders",11212,11212,11212,11212,
"Total Stockholders' Interest",279307,365798,396856,295627,
"Interest Bearing Loans",643698,623168,598965,567865,
"Other Long-Term Liabilities",17293,18623,19579,17797,
"Long-Term Liabilities",660991,641791,618544,585662,
"Deferred Tax Liability",67785,71024,66569,57400,
"Other Capital",331813,327806,323655,315387,
"Total Capital Employed",1339896,1406419,1405624,1254076,
"Fixed Assets / Property",1289586,1377678,1359860,1209562,
"Deferred Tax Asset",21505,24290,25455,24405,
"Other Assets",6302,6224,18081,44054,
"Debtors",37255,41595,41876,43658,
"Cash and Short Term Funds",84983,68138,83012,73450,
"Other Current Assets",473,358,358,705,
"Current Assets",122711,110091,125246,117813,
"Total Assets",1440104,1518283,1528642,1395834,
"Creditors",46544,51691,44758,66192,
"Bank O/D & S/T Loans",53664,60173,78260,75565,
"Other Current Liabilities",,,,1,
"Current Liabilities",100208,111864,123018,141758,
"Net Current Assets",22503,-1773,2228,-23945,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"1 Sep 2020","16 Mar 2020","27 Aug 2019","18 Mar 2019",
"Exchange Rate (period end)",21.3,18.48,17.88,18.34,
"Exchange Rate (weighted average)",20.94,18.44,18.37,17.64,
"Number of Linked Units Issued (Actual)",480828000,480827830,600494050,612508778,
"Weighted Ave Stock Units (Actual)",480828000,563890000,610057000,641588000,
