Income statement (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"1 Dec 2020","4 May 2020","4 Nov 2019","6 May 2019","5 Nov 2018","7 May 2018","6 Nov 2017","8 May 2017","3 Nov 2016","5 May 2016","5 Nov 2015","7 May 2015","6 Nov 2014","8 May 2014","31 Oct 2013","2 May 2013","1 Nov 2012","3 May 2012","3 Nov 2011","4 May 2011","3 Nov 2010","5 May 2010",
"Turnover",8784.06,4817.734,8791.202,4394.987,8441.322,3933.125,7793.839,3588.178,6646.648,3307.913,6648.971,3288.082,5594.127,2774.574,3624.354,1850.83,3023.568,1927.425,3496.941,1678.291,3137.401,1480.794,
"Other Expenses",3650.422,1855.37,3311.521,1618.222,3003.1,1431.035,2757.329,1254.649,2451.273,1209.863,2313.543,1108.404,2109.555,1046.897,783.808,529.116,675.116,529.017,891.435,455.87,673.543,335.372,
"Net Rental / Investment Income",5133.638,2962.364,5479.681,2776.765,5438.222,2502.09,5036.51,2333.529,4195.375,2098.05,4335.428,2179.678,3484.572,1727.677,2840.546,1321.714,2348.452,1398.408,2605.506,1222.421,2463.858,1145.422,
"Interest Receivable",941.675,518.896,1061.828,472.963,919.828,467.959,650.282,284.895,596.418,299.062,249.311,,,,,,,,,,,,
"Depreciation",18.234,,23.73,,22.509,,19.742,,,,,,,,,,,,,,,,
"Total Income",6075.313,3481.26,6541.509,3249.728,6358.05,2970.049,5686.792,2618.424,4791.793,2397.112,4584.739,2179.678,3484.572,1727.677,2840.546,1321.714,2348.452,1398.408,2605.506,1222.421,2463.858,1145.422,
"Debenture Interest",,,,,,,,,,,,,1115.697,1115.697,2012.705,930.287,1742.715,845.553,1825.321,832.131,1777.412,891.595,
"EBITDA (ProfileData Calc)",-13352.557,,6019.89,,9624.133,,5980.514,,,,,,,,,,,,,,,,
