Income statement (CAD '000),"Feb 2020","Feb 2019","Feb 2018","Nov 2017","Aug 2017","May 2017","Feb 2017","Nov 2016","Aug 2016","Aug 2016","May 2016","Feb 2016","Nov 2015","Aug 2015","Aug 2015","May 2015","Feb 2015","Nov 2014","Aug 2014","Aug 2014","May 2014","Feb 2014","Nov 2013","Aug 2013","Aug 2013","May 2013","Feb 2013","Nov 2012","Aug 2012","Aug 2012","May 2012","Feb 2012","Nov 2011","Aug 2011","Aug 2011","May 2011","Feb 2011","Nov 2010","Aug 2010","Aug 2010","May 2010","Feb 2010",
,"Final (12m)","Final (12m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)",
,"10 Dec 2020","10 Dec 2020","10 Dec 2020","15 Jan 2018","17 Oct 2017","18 Jul 2017","31 May 2017","17 Jan 2017","17 Oct 2016","17 Oct 2016","13 Jul 2016","31 May 2016","15 Jan 2016","16 Oct 2015","16 Oct 2015","15 Jul 2015","29 May 2015","14 Jan 2015","10 Oct 2014","10 Oct 2014","11 Jul 2014","23 May 2014","10 Jan 2014","11 Oct 2013","11 Oct 2013","12 Jul 2013","24 May 2013","11 Jan 2013","12 Oct 2012","12 Oct 2012","13 Jul 2012","25 May 2012","13 Jan 2012","14 Oct 2011","14 Oct 2011","12 Aug 2011","31 May 2011","17 Jan 2011","18 Oct 2010","18 Oct 2010","16 Jul 2010","31 May 2010",
"Turnover",,,,,,,26079,2419,22673,10576,12097,37710,6913,20546,12277,9239,56948,18857,32019,16882,15137,41107,11854,9869,18909,9040,27106,8757,7404,14502,7098,26376,8276,17712,9206,8506,42508,11117,19844,11388,8457,29777,
"Cost of Sales",,,,,,,33944,6935,20890,11717,9173,46598,12156,24140,11791,12349,68827,22092,26563,15689,10874,39200,9076,7336,15301,7965,31338,9629,7204,14106,8799,26937,5192,14502,6500,8003,28080,5733,18528,12571,5957,23790,
"Gross Profit",,,-1500,,,-834,-11756,-3429,,,1835,-12778,7040,2285,6837,-4552,-8888,-4916,,,2487,-710,,1242,1056,-185,-6103,,-1736,-3437,-1701,-702,,,,503,4982,,,,2500,5987,
"Operating Expenses",149,112,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",,,-25085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4986,1360,3625,,
"Depreciation",,,1446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6242,3093,3148,,
"Operating Income",-149,-112,-3497,-95,-260,-1837,-21711,-5556,1208,-627,1176,-18957,-7727,-960,5322,-6282,-16807,-5983,5456,-1809,922,-10111,-164,-779,3608,-930,-20783,-2805,-2785,-6340,-2323,-7507,-2135,-1070,87,-1157,-2198,-25,-1729,-2060,330,-2683,
