Income statement (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (3m)",
,"3 Dec 2020","29 Jun 2020","11 Nov 2019","14 May 2019","12 Nov 2018","8 May 2018","9 Nov 2017","24 Apr 2017","7 Nov 2016","14 Apr 2016","28 Oct 2015","16 Apr 2015","5 Nov 2014","24 Apr 2014","6 Nov 2013","18 Apr 2013","25 Oct 2012","25 Apr 2012","7 Nov 2011","31 May 2011",
"Turnover",1704.854,924.181,1842.144,953.317,2261.439,1195.686,1883.818,993.284,1394.226,852.46,1051.529,476.993,884.378,406.342,582.672,275.625,521.932,269.999,261.464,92.754,
"Admin & Collection Fees",175.161,82.311,142.104,70.062,127.428,65.142,142.457,55.115,63.04,108.217,111.831,16.295,34.138,13.825,20.481,9.868,15.961,8.26,3.957,1.431,
"Other Expenses",600.066,301.698,605.476,282.926,539.006,255.5,416.276,273.226,370.752,162.579,226.735,106.046,207.29,98.892,132.658,62.993,98.494,42.7,59.725,18.676,
"Net Rental / Investment Income",929.627,540.172,1094.564,600.329,1595.005,875.044,1325.085,664.943,960.434,581.664,712.963,354.652,642.95,293.625,429.533,202.764,407.477,219.039,197.782,72.647,
"Interest Receivable",4.07,2.938,2.946,38.902,147.674,81.397,87.042,,44.75,2.78,7.509,,1.066,,,,,,,,
"Surplus on Disposal of Assets",,,,,,,,834.629,,,,,,,,,,,,,
"Other Income",3.644,2.191,4.992,3.194,4.621,,37.444,,1.233,1084.998,190.691,152.707,227.687,131.423,-3.065,77.855,157.461,-15.664,0.158,23.58,
"Depreciation",,,8.865,,2.81,,2.151,,,,,,,,,,,,,,
"Total Income",937.341,545.301,1102.502,642.425,1747.3,956.441,1449.571,1499.572,1006.417,1669.442,911.163,507.359,871.703,425.048,426.468,280.619,564.938,203.375,197.94,96.227,
"Debenture Interest",,,,,,,,,,,346.811,208.813,378.984,187.468,262.807,,,,48.898,,
"EBITDA (ProfileData Calc)",,,-5559.219,,-18.219,,2717.19,,,,,,,,,,,,,,
"Interest Payable",912.457,496.688,999.928,479.317,902.952,367.342,845.143,392.502,485.402,281.99,289.587,117.068,186.17,82.137,130.03,48.309,117.811,59.515,144.859,60.112,
"Expenses",,,,,,,,26.705,,,,,,,,,,,,,
"Income Before Exceptional Items",24.884,48.613,102.574,163.108,844.348,589.099,604.428,1080.365,521.015,1387.452,274.765,181.478,306.549,155.443,33.631,232.31,447.127,143.86,4.183,36.115,
"Amortisation",,10.111,,19.532,,,,,,,,,,1.499,,,,,,,
"Exceptional Item 1",159.415,-1805.931,-6670.586,-2167.199,-1768.329,-245.986,1381.153,,1488.487,0.755,,,,,,,-200.378,,92.007,,
"Income Before Tax",184.299,-1767.429,-6568.012,-2023.623,-923.981,343.113,1985.581,1080.365,2009.502,1388.207,274.765,181.478,306.549,153.945,33.631,232.31,246.749,143.86,96.19,36.115,
"Tax",,35.834,38.314,,,,,,,6.511,13.499,,,,-242.305,20.983,102.564,67.005,44.038,11.867,
"Profit For The Period",184.299,-1803.263,-6606.326,-2023.623,-923.981,343.113,1985.581,1080.365,2009.502,1381.696,261.266,181.478,306.549,153.945,275.936,211.327,144.185,76.855,52.152,24.248,
"Income Attributable To Minority Interests",,,,,,,115.685,142.674,167.241,132.728,-0.264,,,,,,,,,,
"Net Income Before Extraords",184.299,-1803.263,-6606.326,-2023.623,-923.981,343.113,1869.896,937.691,1842.261,1248.968,261.53,181.478,306.549,153.945,275.936,211.327,144.185,76.855,52.152,24.248,
"Extraordinary Items",,,,,,,651.853,125.991,-135.315,,1.009,,,,,,,,,,
"Extraordinary Items: Discontinued operations",,,,,,,651.853,125.991,-135.315,,1.009,,,,,,,,,,
"Income Attributable To Equity Holders",184.299,-1803.263,-6606.326,-2023.623,-923.981,343.113,2521.749,1063.682,1706.946,1248.968,262.539,181.478,306.549,153.945,275.936,211.327,144.185,76.855,52.152,24.248,
"Total Comprehensive Income/Loss for the period",108.972,-1803.263,-6606.325,-2023.623,-923.981,343.113,2711.239,859.936,1657.187,1550.512,439.501,,,,,,,,,,
"Headline Earnings (Cont Ops)",-157.728,-1.305,-2351.247,161.565,266.722,307.062,601.766,144.022,558.059,94.024,422.086,114.91,381.133,197.234,343.048,157.614,258.306,101.274,-139.976,35.028,
"Enterprise Value (EV)",9843.326,9786.509,10296.127,11423.353,15736.625,16425.15,16728.787,21656.891,16517.435,16125.483,14192.638,5494.901,7127.512,4685.709,5568.716,2482.119,2997.365,2133.763,2094.265,35.349,

Balance sheet (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (3m)",
,"3 Dec 2020","29 Jun 2020","11 Nov 2019","14 May 2019","12 Nov 2018","8 May 2018","9 Nov 2017","24 Apr 2017","7 Nov 2016","14 Apr 2016","28 Oct 2015","16 Apr 2015","5 Nov 2014","24 Apr 2014","6 Nov 2013","18 Apr 2013","25 Oct 2012","25 Apr 2012","7 Nov 2011","31 May 2011",
"Ordinary Capital & Premium",9015.068,9015.068,9015.068,9015.068,9015.068,8814.527,8464.527,6788.304,5590.41,5283.107,5219.879,1484.108,1053.732,1053.732,910.425,749.922,550.087,477.168,477.168,0.001,
"Distributable Reserves",-5535.581,-5083.632,-5644.554,-1061.393,1314.352,3218.02,3383.323,2903.187,2179.569,,870.206,,,,,,,,,,
"Non-Distributable Reserves",,,,,,,,,,1919.969,,960.226,778.822,631.637,472.273,270.967,196.337,34.517,52.152,24.248,
"Translation Reserves",,,,,,,,-316.936,-73.805,200.193,109.757,,,,,,,,,,
"Ordinary Unitholders Interest",3479.487,3931.436,3370.514,7953.675,10329.42,12032.547,11847.85,9374.555,7696.174,7403.269,6199.842,2444.334,1832.554,1685.369,1382.698,1020.889,746.424,511.685,529.32,24.249,
"Debentures",,,,,,,,,,,,2910.917,2806.219,2806.219,2527.436,2230.152,1808.812,1595.347,1595.347,,
"Minority Interest",,,,,,,,1909.748,1766.11,1932.103,1577.354,,,,,,,,,,
"Total Stockholders' Interest",3479.487,3931.436,3370.514,7953.675,10329.42,12032.547,11847.85,11284.303,9462.284,9335.372,7777.196,5355.251,4638.773,4491.588,3910.134,3251.041,2555.236,2107.032,2124.667,24.249,
"Interest Bearing Loans",,,,4813.748,4899.095,5440.176,4973.983,8827.784,8052.484,7904.963,5370.741,,2301.017,,488.81,,,,,,
"Other Long-Term Liabilities",99.941,18.981,,28.362,27.15,20.57,319.984,805.17,118.12,,1.156,2367.407,8.308,2034.022,6.996,1522.637,1733.951,1463.637,1198.221,2632.274,
"Other Long-Term Liabilities: Deferred payment liability",,,,,,,228.542,,,,,,,,,,,,,,
"Other Long-Term Liabilities: Derivative Financial Instruments",,,,,,,91.442,,,,1.156,,8.308,,6.996,,,,,,
"Long-Term Liabilities",99.941,18.981,,4842.11,4926.245,5460.746,5293.967,9632.954,8170.604,7904.963,5371.897,2367.407,2309.325,2034.022,495.806,1522.637,1733.951,1463.637,1198.221,2632.274,
"Deferred Tax Liability",,,,,,,,,,0.57,0.524,,,,,263.289,242.305,206.747,139.742,107.57,
"Total Capital Employed",3579.428,3950.417,3370.514,12795.785,15255.665,17493.293,17141.817,20917.257,17632.888,17240.905,13149.617,7722.658,6948.098,6525.61,4405.94,5036.967,4531.492,3777.416,3462.63,2764.093,
"Investments",12009.851,12169.733,11691.014,15074.821,16682,20035.942,19653.469,21282.118,16996.072,18333.161,14555.401,6999.5,6856,6592,5283.5,4637,4540.2,3784.5,3400.4,2857.5,
"Investments: Investment in listed shares",,,,,,,1044.979,,,,,,,,,,,,,,
"Investments: Investment Property",,,,,,,18608.49,,,,,,,,,,,,,,
"Investments In Associates",,,4.275,,922.774,,,,,,,,,,,,,,,,
"Fixed Assets / Property",11.541,10.553,5.848,7.513,8.595,7.846,5.735,13.893,0.58,0.823,0.508,0.453,0.54,0.706,0.295,0.369,0.443,0.438,0.527,0.735,
"Goodwill",238.733,358.104,312.219,499.331,499.331,676.412,676.412,856.496,315.906,95.703,331.775,95.703,95.703,95.703,95.703,95.703,95.703,95.703,95.703,95.703,
"Intangible Assets",,,,,,,,,,,,149.964,149.983,148.427,,,,,,,
"Other Assets",,,8.334,377.638,1507.67,1128.91,1281.486,82.135,70.852,37.789,17.671,738.655,612.209,289.232,,,,4.096,5.046,18.981,
"Other Assets: Derivative Financial Instruments",,,,,,,60.54,,70.852,,17.671,,14.617,,,,,,,,
"Other Assets: Listed property securities",,,,,,,,,,,,,597.592,,,,,,,,
"Other Assets: Loans to related companies",,,,,,,70.699,,,,,,,,,,,,,,
"Other Assets: Other financial assets",,,,,,,1150.247,,,,,,,,,,,,,,
"Debtors",260.205,258.223,219.662,266.902,445.556,548.435,376.479,652.01,309.233,262.811,162.373,51.345,89.076,66.842,55.804,27.122,17.32,18.419,13.68,8.241,
"Cash and Short Term Funds",59.233,81.369,72.157,46.381,179.943,33.054,104.64,1005.221,229.079,219.567,174.823,624.863,48.85,20.558,39.535,445.366,17.322,8.748,70.22,1.477,
"Other Current Assets",1151.259,1174.243,1591.995,2143.953,1408.826,334.582,547.833,1361.941,1180.184,,,,,,,,,1.9,1.9,,
