Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Interim (12m)","Interim (6m)","Final (12m)",
,"28 Sep 2020","17 Mar 2020","19 Sep 2019","19 Mar 2019","19 Sep 2018","15 Mar 2018","20 Sep 2017","16 Mar 2017","20 Sep 2016","14 Mar 2016","17 Sep 2015","16 Mar 2015","17 Sep 2014","18 Mar 2014","18 Sep 2013","19 Mar 2013","20 Sep 2012","15 Mar 2012","20 Sep 2011","21 Jun 2011","25 Nov 2010","21 Jun 2010",
"Turnover",54732,31564,56968,30316,31115,14046,27600,14511,27697,14255,25590,13110,24621,12662,16466,7872,13532,6883,14955,12222,6118,11849,
"Operating Expenses",40742,28109,42182,21591,23455,10624,,,,,,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",1901,6850,-41,4281,10952,5100,10665,6364,6973,4053,10088,5055,8623,4692,5049,2141,10121,4490,11743,10506,2808,3718,
"Depreciation",1682,818,1303,639,810,362,752,379,727,353,607,299,592,281,428,188,354,166,387,307,149,290,
"Operating Income",1545,2637,3278,2700,1260,741,760,408,512,584,1562,818,670,573,415,405,772,553,664,659,368,841,
"Other Income",45,27,78,27,112,48,61,19,77,30,213,15,43,15,34,14,175,123,155,141,94,116,
"Profit Before Exceptional Items",1590,2664,3356,2727,1372,789,1508,1473,-141,614,1775,833,713,588,449,419,947,676,819,800,462,957,
"Exceptional Item 1",-24,214,-7243,-676,5247,899,304,217,-105,231,408,673,73,86,-112,210,4126,1219,2327,2281,267,-188,
"Exceptional Item 1: Exceptioal Item",,,,,,,,,,,,,,,,,4126,1219,,,,,
"Exceptional Item 1: Exceptional Item 2",,,,,,,,,,,,,,,,,,,2327,2281,,-188,
"Exceptional Item 1: Exceptional Items",,,,,,,,,,,,,,86,-112,210,,,,,,,
"Profit Before Interest And Tax",1566,2878,-3887,2051,6619,1688,1812,1690,-246,845,2183,1506,786,674,337,629,5073,1895,3146,3081,729,769,
"Interest Received",862,463,1268,648,886,414,633,238,287,130,276,135,326,114,252,105,243,99,205,149,75,146,
"Interest Paid",1876,876,1477,795,1266,614,1255,648,903,297,371,198,1057,459,181,16,21,7,35,31,20,59,
"Net Interest Paid/(Received)",1014,413,209,147,380,200,622,410,616,167,95,63,731,345,-71,-89,-222,-92,-170,-118,-55,-87,
"Income Before Tax",552,2465,-4096,1904,6239,1488,1190,1280,-862,678,2088,1443,55,329,408,718,5295,1987,3316,3199,784,856,
"Taxation",452,827,987,868,423,272,227,118,-21,69,395,248,57,92,261,150,462,373,480,453,234,309,
"Profit For The Period",100,1638,-5083,1036,5816,1216,963,1162,-841,609,1693,1195,-2,237,147,568,4833,1614,2836,2746,550,547,
"Income From Associates After Tax",-2272,3572,1708,1857,2893,2736,7545,4075,6250,2864,7228,3241,6853,3599,4035,1251,4532,2385,8112,7071,1880,2619,
"Income Attributable To Minority Interests",-63,881,433,914,256,100,77,18,45,139,206,126,-66,-24,3,32,81,55,107,102,25,106,
"Attributable Income Before Extraordinary Items",-2109,4329,-3808,1979,8453,3852,8431,5219,5364,3334,8715,4310,6917,3860,4179,1787,9284,3944,10841,9715,2405,3060,
"Extraordinary Profit",8755,,11127,8318,490,279,446,,,,,,,,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",8755,,11127,8318,490,279,446,,,,,,,,,,,,,,,,
"Income Attributable To Equity Holders",6646,4329,7319,10297,8943,4131,8877,5219,5364,3334,8715,4310,6917,3860,4179,1787,9284,3944,10841,9715,2405,3060,
"Total Comprehensive Income/Loss for the period",3167,7436,8195,12898,8888,1457,6411,2261,7988,8949,9276,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",1737,4242,5551,4259,8074,4118,7772,4690,5874,3616,7996,3658,6635,3657,4196,1617,5113,2649,5555,4164,2207,3355,
"Enterprise Value (EV)",81134.572,104610.722,102293.111,102748.74987,109275.88865,110100.87325,100280.59345,103020.09771,114152.36652,99058.40324,98590.65022,99349.22628,90246.16492,81212.7001,75269.39922,58490.76939,43983.85368,40242.69086,38443.1321,37954.64343,54023.116,34004.16453,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Interim (12m)","Interim (6m)","Final (12m)",
,"28 Sep 2020","17 Mar 2020","19 Sep 2019","19 Mar 2019","19 Sep 2018","15 Mar 2018","20 Sep 2017","16 Mar 2017","20 Sep 2016","14 Mar 2016","17 Sep 2015","16 Mar 2015","17 Sep 2014","18 Mar 2014","18 Sep 2013","19 Mar 2013","20 Sep 2012","15 Mar 2012","20 Sep 2011","21 Jun 2011","25 Nov 2010","21 Jun 2010",
"Fixed Assets",16954,17313,14660,14767,13745,6741,6797,6886,6607,6431,6317,6149,6157,5774,5839,4073,3621,3340,3270,3290,3322,3241,
"Investments in Associates",50991,74818,71183,74878,73722,80184,80883,78072,78565,67014,57831,54718,52169,48925,45408,42147,38321,37112,34920,34697,28659,28052,
"Investments and Loans",12995,3559,4185,3861,3764,3640,3907,3768,4288,4739,3470,3746,3271,3179,2665,2195,1832,6265,6450,6656,6139,6807,
"Goodwill",,,,,,,,,,,,,,,,,,,,,359,,
"Intangible Assets",21067,23854,24024,25167,18427,4873,4927,4936,4993,5658,5710,5759,5811,5778,5831,363,356,327,327,327,,361,
"Deferred Tax Asset",190,199,199,190,158,22,23,40,42,35,18,15,14,12,4,7,6,7,7,7,4,6,
"Other Assets",868,1076,748,578,737,204,201,152,163,225,220,216,210,192,184,171,164,154,149,158,119,121,
"Long-Term Receivables",101,,,,,,,,,,,,,,,,,,,,,,
"Total Fixed Assets",103166,120819,114999,119441,110553,95664,96738,93854,94658,84102,73566,70603,67632,63860,59931,48956,44300,47205,45123,45135,38602,38588,
"Stock",12032,11889,12034,11453,10967,3645,3055,3621,3274,3210,3118,3066,,,,,,,,,,,
"Debtors",9958,12294,9543,10179,8599,5730,4885,5493,5503,4546,3837,3654,,,,,,,,,,,
"Cash",15631,13933,12662,15364,12169,7227,7524,9458,3569,3875,4050,3628,3657,4596,4188,2765,6484,5367,4315,4738,3392,3827,
"Tax",258,107,108,61,81,,,,,,,,,,,,,,,,,,
"Other Current Assets",6054,5997,6192,6653,8559,6577,6853,4365,2096,2287,10121,1864,8219,8800,8387,8190,7243,7669,6549,6390,6176,5643,
"Total Current Assets",43933,44220,40539,43710,40375,23179,22317,22937,14442,13918,21126,12212,11876,13396,12575,10955,13727,13036,10864,11128,9568,9470,
"Total Assets",147099,165039,155538,163151,150928,118843,119055,116791,109100,98020,94692,82815,79508,77256,72506,59911,58027,60241,55987,56263,48170,48058,
"Ordinary Share Capital & Premium",13416,13416,13416,13416,13416,13416,13416,13418,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3722,
"Treasury Shares",564,565,570,577,183,189,219,231,217,248,272,281,372,398,431,485,169,176,216,223,248,255,
"Non-Distributable Reserves",73921,92620,88251,94047,84865,78933,79235,76171,75456,77258,69781,65564,62802,59800,55456,51620,50018,52318,48170,48155,40256,39837,
"Ordinary Shareholders' Interest",86773,105471,101097,106886,98098,92160,92432,89358,78844,80615,73114,68888,66035,63007,58630,54740,53454,55747,51559,51537,43613,43304,
"Minority Interest",14670,15554,15092,15730,15348,3009,2870,2812,2813,2945,2803,2695,2599,1643,2015,850,799,784,771,783,774,779,
"Total Shareholders' Interest",101443,121025,116189,122616,113446,95169,95302,92170,81657,83560,75917,71583,68634,64650,60645,55590,54253,56531,52330,52320,44387,44083,
"Interest Bearing Loans",15167,21307,21020,19926,20316,16278,16446,16882,17799,3672,3547,376,436,5962,5849,218,105,155,154,154,188,175,
"Deferred Tax Liability",6106,5698,5563,5750,5268,1473,1511,1471,1623,1680,1630,1592,1505,1707,1713,721,673,997,1089,1095,982,1162,
"Retirement Obligation",141,196,186,204,195,183,173,182,202,231,227,268,258,270,265,231,203,187,238,233,186,180,
"Other Long-Term Liabilities",1725,1831,1,8,112,227,363,400,1197,,,,,,,,,,,,,,
"Total Long-Term Liabilities",23139,29032,26770,25888,25891,18161,18493,18935,20821,5583,5404,2236,2199,7939,7827,1170,981,1339,1481,1482,1356,1517,
"Creditors and Provisions",11616,13050,11106,12116,9904,4625,4710,4671,4833,4369,4469,4043,3791,,,,,,,,,,
"Tax",154,344,43,50,,,,,,,,,,,,,,,,,,,
"Bank Overdrafts/Short-Term Loans",10158,1289,1376,2171,1557,741,480,826,1660,4411,366,4710,4661,314,399,519,279,211,3,34,101,146,
