Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"26 Aug 2020","14 Feb 2020","16 Aug 2019","15 Feb 2019","17 Aug 2018","26 Jan 2018","3 Aug 2017","2 Feb 2017","4 Aug 2016","3 Feb 2016","5 Aug 2015","4 Feb 2015","5 Aug 2014","5 Feb 2014","6 Aug 2013","6 Feb 2013","7 Aug 2012","8 Feb 2012","10 Aug 2011","9 Feb 2011","12 Aug 2010",
"Turnover",3009.617,1898.331,3805.964,1914.551,3866.904,1959.862,3133.169,1170.793,2243.489,1088.984,1876.672,833.445,1300.591,672.131,614.147,1140.23,546.935,843.738,375.495,572.097,257.436,
"Admin & Collection Fees",136.422,55.407,140.775,52.592,153.279,60.127,150.598,434,794.631,400.894,600.137,259.785,430.846,228.671,214.551,397.568,162.884,273.076,104.287,199.405,67.411,
"Admin & Collection Fees: Operating Cost",,,,,,,,,,,,,,,,397.568,,273.076,,183.777,78.233,
"Admin & Collection Fees: Operating lease adjustments",,,,,,,,,,,,,,,,,185.583,,121.834,,,
"Admin & Collection Fees: Straight-line rental adjustment",,,,,,,,,,,,,,,,,-22.699,,,15.628,,
"Admin & Collection Fees: Straight-line rental income adjustment",,,,,,,,,,,,,,,,,,,-17.547,,-10.822,
"Other Expenses",1096.815,560.736,1019.682,508.064,931.041,472.543,869.811,,,,,,,,,,,,,,,
"Net Rental / Investment Income",1776.38,1282.188,2645.507,1353.895,2782.584,1427.192,2112.76,736.793,1448.858,688.09,1276.535,573.66,869.745,443.46,399.596,742.662,384.051,570.662,271.208,372.692,190.025,
"Interest Receivable",28.002,19.916,87.414,40.667,86.652,39.695,69.763,313.289,528.49,465.581,357.464,75.3,214.638,117.296,256.56,93.479,40.345,99.793,64.992,70.233,36.004,
"Other Income",,,,,,,,240.952,364.619,178.711,328.292,142.417,254.19,212.784,156.596,289.783,133.742,244.892,108.473,193.769,88.974,
"Other Income: Distribution Income",,,,,,,,,,,328.292,,172.416,,113.775,210.718,96.861,181.283,80.328,161.502,15.139,
"Other Income: Investment income- other",,,,,,,,240.952,364.619,178.711,,142.417,,172.108,,,,,,,,
"Other Income: Other income",,,,,,,,,,,,,81.774,40.676,42.821,79.065,36.881,63.609,28.145,32.267,73.835,
"Total Income",1804.382,1302.104,2732.921,1394.562,2869.236,1466.887,2182.523,1291.034,2341.967,1332.382,1962.291,791.377,1338.573,773.54,812.752,1125.924,558.138,915.347,444.673,636.694,315.003,
