Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"24 Nov 2020","18 Jun 2020","19 Nov 2019","27 May 2019","20 Nov 2018","28 May 2018","21 Nov 2017","30 May 2017","22 Nov 2016","24 May 2016","23 Nov 2015","19 May 2015","18 Nov 2014","20 May 2014","20 Nov 2013","21 May 2013","20 Nov 2012","28 May 2012","15 Nov 2011","17 May 2011","17 Nov 2010","12 May 2010",
"Turnover",8046,4144,10714,5288,10492,4841,9773,4421,8511,4022,8300,3935.3,7773.8,3681.7,7246.7,3242.5,11662.2,5748.8,10922.7,5220.9,10675.1,5113.9,
"Cost of Sales",,,,,,,,,,,,,,,,,,,,,,3649,
"Gross Profit",,,,,,,,,,,,,,,,,,,,,,1465,
"Operating Expenses",,,,,,,,,,,,,,,,,,,,,,833,
"EBITDA (ProfileData Calc)",452,,1401,,,,,,,,,,,,,,,,,,,651,
"EBITDA (company calc)",547,493,1526,,,,,,,,,,,,,,,,,,,,
"Depreciation",240,119,165,83,157,69,138,65,118,58,117,56.4,108.1,51.9,114,60.1,136.1,67.3,121.8,57.5,112.7,50.8,
"Operating Income",307,374,1361,615,1542,567,1497,616,1315,564,1167,502.8,1017,477.2,1102.5,449.2,1524.6,736.1,1391.4,625.5,1262.8,581.5,
"Profit Before Exceptional Items",307,374,1361,615,1542,567,1497,616,1315,564,1167,502.8,1017,477.2,1102.5,449.2,1524.6,736.1,1391.4,625.5,1262.8,581.5,
"Exceptional Item 1",-99,-630,-154,-44,-42,-2,-20,-20,-113,,270,,-326.9,,,,,,346.4,346.4,-34,-34,
"Profit Before Interest And Tax",208,-256,1207,571,1500,565,1477,596,1202,564,1437,502.8,690.1,477.2,1102.5,449.2,1524.6,736.1,1737.8,971.9,1228.8,547.5,
"Interest Received",41,,44,,,,,,,,,,,,,,,,,,,58,
"Interest Paid",83,,59,,,,,,,,,,,,,,,,,,,9,
"Net Interest Paid/(Received)",42,19,15,4,-11,-8,-65,-44,-137,-70,-135,-57.5,9.9,7.8,-11.6,-9.3,-41.8,-22.1,-40.9,-24.7,-59.2,-48.4,
"Income Before Tax",166,-275,1192,567,1511,573,1542,640,1339,634,1302,560.3,680.2,469.4,1114.1,458.5,1566.4,758.2,1778.7,996.6,1288,595.9,
"Taxation",82,-31,387,195,358,119,437,188,404,190,360,157.2,278.4,137,313.2,136.1,483.8,260,425.9,201.4,376.6,192.6,
"Profit For The Period",84,-244,805,372,1153,454,1105,452,935,444,942,403.1,401.8,332.4,800.9,322.4,1082.6,498.2,1352.8,795.2,911.4,403.3,
"Income From Associates After Tax",-77,-82,-1,5,-1,-6,37,17,28,9,17,6,-11.8,0.5,10.1,0.9,,,,,,,
"Income Attributable To Minority Interests",-40,-49,14,11,-6,3,30,17,9,3,7,5,3.9,3.7,13.8,4.6,15.9,6.6,15.7,5.4,12,4.7,
"Attributable Income Before Extraordinary Items",47,-277,790,366,1158,445,1112,452,954,450,952,404.1,386.1,329.2,797.2,318.7,1066.7,491.6,1337.1,789.8,899.4,398.6,
"Extraordinary Profit",,,,,,,,,,,42,67,1584.2,60.4,161.8,101.8,,,,,,,
"Extraordinary Profit: Discontinued Operations",,,,,,,,,,,42,67,1584.2,60.4,161.8,101.8,,,,,,,
"Income Attributable To Equity Holders",47,-277,790,366,1158,445,1112,452,954,450,994,471.1,1970.3,389.6,959,420.5,1066.7,491.6,1337.1,789.8,899.4,398.6,
"Total Comprehensive Income/Loss for the period",-49,-359,809,382,1087,386,1150,466,944,463,1004,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",186,-123,924,408,1135,445,1111,450,942,447,948,398.1,641.4,329.7,789.7,318.8,1066.8,491.4,988.9,444.8,903.4,398.5,
"Enterprise Value (EV)",5026.668,8057.565,12328,12850,13658,13440.8,11335.448,12245.095,10054.754,10726.52,8844.427,9006.858,11293.603,12526,14476.824,14962.6,13272.585,13763.7,11227.205,11598.246,11829.278,11507.827,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"24 Nov 2020","18 Jun 2020","19 Nov 2019","27 May 2019","20 Nov 2018","28 May 2018","21 Nov 2017","30 May 2017","22 Nov 2016","24 May 2016","23 Nov 2015","19 May 2015","18 Nov 2014","20 May 2014","20 Nov 2013","21 May 2013","20 Nov 2012","28 May 2012","15 Nov 2011","17 May 2011","17 Nov 2010","12 May 2010",
"Fixed Assets",826,830,862,1270,1297,1246,1095,1066,1019,766,745,710.1,722.4,724.3,712.5,637.6,706.8,684.2,702,631.6,635.3,632,
"Right-of-use Asset",186,,,,,,,,,,,,,,,,,,,,,,
"Investments in Associates",1778,1766,2082,1995,1990,1851,1682,1578,1449,1537,1463,1534.7,1465.3,1355,1378.2,1186.7,1066.5,1023.2,965.9,758.7,846,838.9,
"Investments and Loans",135,134,214,224,214,214,214,218,205,247,253,248,240.1,246.9,298.8,267,64.3,41.8,46.1,45.5,44.3,841.4,
"Goodwill",924,924,999,991,1053,1088,921,925,737,671,653,647.8,649.3,859.3,792.2,695.2,707,661.1,654.9,504.4,492.1,491.8,
"Intangible Assets",445,426,430,,,,,,,,,,,,,,,,,,,,
"Deferred Tax Asset",172,242,143,137,151,111,105,83,104,114,92,51.5,51.1,52.6,55.3,28.5,33.3,27.6,32.2,37.1,40.4,28.7,
"Other Assets",,200,,,,,,,,,,,,,,,,,,,,86.3,
"Total Fixed Assets",4466,4522,4730,4617,4705,4510,4017,3870,3514,3335,3206,3192.1,3128.2,3238.1,3237,2815,2577.9,2437.9,2401.1,1977.3,2058.1,2919.1,
"Stock",1483,1643,1376,1567,1461,1372,1439,1430,1295,1274,990,917.5,983.7,1062,1083.9,972.6,969.3,924.1,885.5,774.7,863.3,733.9,
"Debtors",1895,2306,2293,2401,2694,2256,2222,2016,2008,1782,,2390.1,2166.1,2174.9,2440.5,2183.5,2343.9,2307.7,2176.7,2318.7,2359.8,2448.7,
"Cash",1029,793,939,894,765,1055,1522,1562,1712,2355,2713,2521.1,697,463.1,611.2,754.7,696.9,454.5,643,1333.6,1878.1,1521,
"Tax",46,,63,,,,,,,,2439,,,,,,,,,,,,
"Other Current Assets",807,866,903,858,828,789,889,931,1380,705,51,62.6,2607.6,874.7,,,,,,,793.5,,
"Total Current Assets",5260,5608,5574,5720,5748,5472,6072,5939,6395,6116,6193,5891.3,6454.4,4574.7,4135.6,3910.8,4010.1,3686.3,3705.2,4427,5894.7,4703.6,
"Total Assets",9726,10130,10304,10337,10453,9982,10089,9809,9909,9451,9399,9083.4,9582.6,7812.8,7372.6,6725.8,6588,6124.2,6106.3,6404.3,7952.8,7622.7,
"Ordinary Share Capital & Premium",,,,,,,,,,,,,,278,,,,,,,,118,
"Treasury Shares",,,,,,,,,,,,,,312.6,,,,,,,,276,
"Distributable Reserves",,,,,,,,,,,,,,5148.6,,,,,,,,3262,
"Non-Distributable Reserves",,,,,,,,,,,,,,,,,,,,,,1037,
"Translation Reserves",,,,,,,,,,,,,,2,,,,,,,,,
"Other Capital",,,,,,,,,,,,,,-276.1,,,,,,,,,
"Ordinary Shareholders' Interest",6505,6349,7312,7125,7438,6896,7138,6858,7011,6675,6679,6300.5,6269.4,4839.9,4877.9,4449,4441.7,3983,3880.4,3414.8,4432.4,4140.6,
"Preference Shareholders",,,,,,,,,,,,,,,,0.7,0.7,0.7,,0.7,0.7,0.7,
"Minority Interest",38,73,119,75,88,97,105,98,81,43,46,60.2,63.4,73.8,59.4,52.5,56.1,47.4,55.2,39.1,37.9,30.6,
"Total Shareholders' Interest",6543,6422,7431,7200,7526,6993,7243,6956,7092,6718,6725,6360.7,6332.8,4913.7,4937.3,4502.2,4498.5,4031.1,3935.6,3454.6,4471,4171.9,
"Interest Bearing Loans",15,40,57,66,82,69,73,42,43,247,239,402.2,425.5,24.9,24.9,26.7,25.4,0.4,0.7,13,710.9,710.9,
"Deferred Tax Liability",89,101,138,141,156,112,112,96,102,101,98,96.2,121.2,64.7,131.7,113.6,127.4,106.3,99.6,69.1,122,127.9,
"Share Incentive Scheme",,,14,11,23,,,,,,,,,,,,,,,,,,
"Other Long-Term Liabilities",244,169,,125,120,125,121,,,,,,250.4,65.6,,,,,,,,,
"Total Long-Term Liabilities",348,310,209,343,381,306,306,138,145,348,337,498.4,797.1,155.2,156.6,140.3,152.8,106.7,100.3,82.1,832.9,838.8,
"Creditors and Provisions",1717,2450,1914,2314,2270,2095,2304,2112,2037,2134,2010,1896.2,1458,1496.8,1908.7,1857.3,1860.1,1795.7,1984.9,1628.4,1956.6,1766.8,
"Tax",50,,28,,,,,,,,,,,,,,,,,,,,
"Bank Overdrafts/Short-Term Loans",707,721,326,468,193,551,197,399,400,44,77,87.9,343.1,816,370,226,76.6,190.7,85.5,1239.2,692.3,845.2,
"Other Current Liabilities",361,227,396,12,83,37,39,204,235,207,250,240.2,651.6,431.1,,,,,,,,,
"Total Current Liabilities",2835,3398,2664,2794,2546,2683,2540,2715,2672,2385,2337,2224.3,2452.7,2743.9,2278.7,2083.3,1936.7,1986.4,2070.4,2867.6,2648.9,2612,
"Total Liabilities",3183,3708,2873,3137,2927,2989,2846,2853,2817,2733,2674,2722.7,3249.8,2899.1,2435.3,2223.6,2089.5,2093.1,2170.7,2949.7,3481.8,3450.8,
"Total Equity and Liabilities",9726,10130,10304,10337,10453,9982,10089,9809,9909,9451,9399,9083.4,9582.6,7812.8,7372.6,6725.8,6588,6124.2,6106.3,6404.3,7952.8,7622.7,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"24 Nov 2020","18 Jun 2020","19 Nov 2019","27 May 2019","20 Nov 2018","28 May 2018","21 Nov 2017","30 May 2017","22 Nov 2016","24 May 2016","23 Nov 2015","19 May 2015","18 Nov 2014","20 May 2014","20 Nov 2013","21 May 2013","20 Nov 2012","28 May 2012","15 Nov 2011","17 May 2011","17 Nov 2010","12 May 2010",
"Number of Shares in Issue (Actual)",184969192,184969196,185000000,185000000,185000000,185000000,184324396,184279096,184005796,184000000,183531596,182900000,187634146,187200000,201400000,200800000,200300000,199700000,199300000,198700000,197800000,197300000,
"Weighted Average Shares in Issue (Actual)",161000000,161000000,161000000,161000000,161000000,162000000,164000000,164000000,165000000,165000000,165000000,164400000,164000000,163800000,163100000,162900000,162000000,161800000,165300000,169300000,178700000,178700000,
"Fully Diluted Weighted Average Shares in Issue",162000000,164000000,163000000,164000000,164000000,165000000,166000000,166000000,167000000,167000000,167000000,166800000,166000000,165700000,164700000,164800000,163000000,163000000,166400000,170500000,180300000,180300000,
"Market Capitalisation (R'000)",5295668,8016565,12765000,13135000,14060000,13778800,12482448,13268095,11242754,12747520,11195427,10977658,11158603,12074400,14633724,15411400,13810685,13979000,11728805,11639846,12265578,11441427,
"Number of Months",12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,
"Number of Employees",,,,,,,,,,,,,,,,,,,6424,,6424,,

Share statistics,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"24 Nov 2020","18 Jun 2020","19 Nov 2019","27 May 2019","20 Nov 2018","28 May 2018","21 Nov 2017","30 May 2017","22 Nov 2016","24 May 2016","23 Nov 2015","19 May 2015","18 Nov 2014","20 May 2014","20 Nov 2013","21 May 2013","20 Nov 2012","28 May 2012","15 Nov 2011","17 May 2011","17 Nov 2010","12 May 2010",
"Earnings Per Share (ZARc)",29,-172,490,227,717,275,680,276,577,272,604,286.5,1201.6,237.8,587.8,258.1,658.2,303.83,809,466.51,503.3,223.1,
"Diluted Earnings Per Share (ZARc)",29,-169,484,223,705,270,670,273,572,269,595,282.4,1187.1,237.8,582.3,255.2,654.2,301.6,803.3,463.2,498.8,221.1,
"Headline Earnings Per Share (Cont Ops) (ZARc)",115,-76,573,253,703,275,679,275,570,271,588,242,505.6,238.5,583.2,195.7,658.3,303.7,598.3,262.7,505.5,223,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",115,-75,566,248,691,270,670,272,565,268,579,239,499.5,238.5,583.2,193.4,654.3,301.5,594.1,260.9,501.1,221,
"Interim Dividend (ZARc)",65,65,130,130,125,125,120,120,113,113,105,105,95,95,95,95,95,95,77,77,67,67,
