Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"18 Sep 2020","11 Mar 2020","6 Sep 2019","14 Mar 2019","7 Sep 2018","7 Mar 2018","8 Sep 2017","10 Mar 2017","9 Sep 2016","8 Mar 2016","11 Sep 2015","11 Mar 2015","10 Sep 2014","5 Mar 2014","11 Sep 2013","6 Mar 2013","12 Sep 2012","29 Feb 2012","14 Sep 2011","9 Mar 2011","15 Sep 2010",
"Interest Paid",,,,,,,,73,87,43,,,,,,,,,,,,
"Interest Received",24,4766,98,5541,8811,4214,8399,,,,,,,,,,,,,,,
"Net Interest Received",24,4766,98,5541,8811,4214,8399,-73,-87,-43,-86,-42,-85,-43,-100,-56,-102,-39,-98,-30,-154,
"Operating expenses",43,63,149,78,56,25,40,,,,,,,,,,,,,,,
"Operating Income",-19,4703,-51,5463,8755,4189,8359,3998,7574,3498,7778,3424,7337,3039,5036,2410,4490,2069,11680,3707,3845,
"",253,139,253,109,173,80,152,,,,,,,,,,,,,,,
"Net Income Before Exceptional Items",-272,4564,-304,5354,8582,4109,8207,3998,7574,3498,7778,3424,7337,3039,5036,2410,4490,2069,11680,3707,3845,
"Exceptional Inc 1",,,,,,,,,,,,,,,-1,,,,,,,
"Net Income Before Tax",-272,4564,-304,5354,8582,4109,8207,3998,7574,3498,7778,3424,7337,3039,5035,2410,4490,2069,11680,3707,3845,
"Tax",93,-2,18,-1,22,12,5,8,15,,9,,1,,,,,10,,-1,400,
"Profit For The Period",-365,4566,-322,5355,8560,4097,8202,3990,7559,3498,7769,3424,6337,3039,5035,2410,4490,2059,11680,3708,3845,
"Income Attributable To Minority Interests",,,,,,,,,,,,,,,,,,,212,157,238,
"Attributable Income Before Extraordinary Items",-365,4566,-322,5355,8560,4097,8202,3990,7559,3498,7769,3424,6337,3039,5035,2410,4490,2059,11468,3551,3607,
"Extraordinary Items",32961,,9978,,,,,,,,,,,,,,,,,,,
"Extraordinary Items: Discontinued operations",32961,,9978,,,,,,,,,,,,,,,,,,,
"Income Attributable To Equity Holders",32596,4566,9656,5355,8560,4097,8202,3990,7559,3498,7769,3424,6337,3039,5035,2410,4490,2059,11468,3551,3607,
