Income statement (EUR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"16 Nov 2020","29 May 2020","19 Nov 2019","21 May 2019","16 Nov 2018","23 May 2018","16 Nov 2017","23 May 2017","15 Nov 2016","25 May 2016","12 Nov 2015","28 May 2015","13 Nov 2014","19 May 2014","15 Nov 2013","22 May 2013","13 Nov 2012","23 May 2012","15 Nov 2011","27 May 2011","15 Nov 2010","1 Jun 2010",
"Turnover",,329000,,239000,106000,210000,159000,140000,131000,407000,225000,156000,146000,251000,255000,,,,,,,,
"Turnover: Total income",,,,,,262000,,,,,,,,,,,,,,,,,
"Operating Expenses",,50000,,52000,28000,57000,30000,240000,26000,58000,26000,124000,34000,55000,21000,74000,27000,35000,22000,30000,51000,23000,
"Operating Income",38000,279000,74000,187000,78000,153000,129000,-100000,105000,349000,199000,32000,112000,196000,234000,-74000,-27000,-35000,-22000,-30000,-51000,-23000,
"Other Income",,,,,,,,,,,,,,,84000,298000,144000,125000,118000,107000,102000,87000,
"Profit Before Exceptional Items",38000,279000,74000,187000,78000,153000,129000,-100000,105000,349000,199000,32000,112000,196000,318000,224000,117000,90000,96000,77000,51000,64000,
"Exceptional Item 1",133000,-640000,-67000,-370000,-332000,-1014000,-698000,901000,210000,-200000,-168000,963000,355000,-99000,-305000,172000,188000,805000,307000,175000,151000,628000,
"Profit Before Interest And Tax",171000,-361000,7000,-183000,-254000,-861000,-569000,801000,315000,149000,31000,995000,467000,97000,13000,396000,305000,895000,403000,252000,202000,692000,
"Interest Received",16000,25000,8000,30000,17000,52000,27000,26000,16000,35000,15000,21000,9000,20000,,,,,,,,,
"Interest Paid",4000,8000,4000,8000,5000,10000,5000,11000,6000,12000,6000,12000,6000,11000,6000,12000,6000,4000,,,,,
"Net Interest Paid/(Received)",-12000,-17000,-4000,-22000,-12000,-42000,-22000,-15000,-10000,-23000,-9000,-9000,-3000,-9000,6000,12000,6000,4000,,,,,
"Income Before Tax",183000,-344000,11000,-161000,-242000,-819000,-547000,816000,325000,172000,40000,1004000,470000,106000,7000,384000,299000,891000,403000,252000,202000,692000,
"Taxation",,-9000,4000,-16000,9000,24000,25000,2000,4000,-5000,-2000,6000,7000,10000,5000,4000,7000,19000,8000,3000,,,
"Profit For The Period",183000,-335000,7000,-145000,-251000,-843000,-572000,814000,321000,177000,42000,998000,463000,96000,2000,380000,292000,872000,395000,249000,202000,692000,
"Income Attributable To Minority Interests",,,,,,,,1000,,2000,4000,6000,6000,4000,1000,6000,2000,7000,2000,,,1000,
"Attributable Income Before Extraordinary Items",183000,-335000,7000,-145000,-251000,-843000,-572000,813000,321000,175000,38000,992000,457000,92000,1000,374000,290000,865000,393000,249000,202000,691000,
"Income Attributable To Equity Holders",183000,-335000,7000,-145000,-251000,-843000,-572000,813000,321000,175000,38000,992000,457000,92000,1000,374000,290000,865000,393000,249000,202000,691000,
"Enterprise Value (EV)",56921944,55756093,53777883,48352350,51534112,45066496,56235149,57589479,58625633,62190764,57625332,48006615,49357610,45525161,38222609,36090600,30932811,27541809,25099673,22703595,23631490,23176013,

Balance sheet (EUR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"16 Nov 2020","29 May 2020","19 Nov 2019","21 May 2019","16 Nov 2018","23 May 2018","16 Nov 2017","23 May 2017","15 Nov 2016","25 May 2016","12 Nov 2015","28 May 2015","13 Nov 2014","19 May 2014","15 Nov 2013","22 May 2013","13 Nov 2012","23 May 2012","15 Nov 2011","27 May 2011","15 Nov 2010","1 Jun 2010",
"Fixed Assets",4552000,4404000,4775000,4875000,4822000,5129000,,,,,,,,,,,,,,,,,
"Investments in Associates",,,,,,,,6509000,5511000,5221000,5083000,5078000,4542000,4123000,4281000,4237000,4102000,3796000,3117000,2713000,2471000,2251000,
"Other Assets",,,,,,,,,,,,,,,,,32000,44000,7000,8000,,,
"Total Fixed Assets",4552000,4404000,4775000,4875000,4822000,5129000,5399000,6509000,5511000,5221000,5083000,5078000,4542000,4123000,4281000,4237000,4134000,3840000,3124000,2721000,2471000,2251000,
"Debtors",,,,,,,,,,,,,,,20000,,11000,2000,,1000,,,
"Cash",1000,1000,8000,5000,20000,,,360000,,1000,1000,,1000,,229000,326000,190000,249000,75000,53000,101000,143000,
"Other Current Assets",,,,,,,,26000,,,,,,,,,157000,119000,92000,183000,270000,200000,
"Total Current Assets",1000,1000,8000,5000,20000,,,386000,,1000,1000,,1000,,249000,326000,358000,370000,167000,237000,371000,343000,
"Total Assets",4553000,4405000,4783000,4880000,4842000,5129000,5399000,6895000,5511000,5222000,5084000,5078000,4543000,4123000,4530000,4563000,4492000,4210000,3291000,2958000,2842000,2594000,
"Ordinary Share Capital & Premium",990000,990000,990000,990000,990000,990000,990000,,990000,990000,990000,990000,990000,990000,990000,,990000,990000,990000,990000,990000,990000,
"Treasury Shares",173000,173000,173000,117000,,,,,,,,,,,,,,,,,,,
"Distributable Reserves",,,,,,,,,,,,,,,3215000,,3129000,2840000,2369000,1976000,1929000,1728000,
"Non-Distributable Reserves",22000,22000,22000,22000,22000,22000,22000,,22000,22000,22000,22000,22000,22000,22000,,22000,22000,22000,22000,22000,22000,
"Translation Reserves",,,,,,,,,,,,,,,-203000,,-203000,-203000,-202000,-204000,-203000,-203000,
"Other Capital",3712000,3564000,3906000,3935000,3829000,4115000,4386000,,4498000,4209000,4072000,4065000,3530000,3103000,,,,,,,,,
"Ordinary Shareholders' Interest",4551000,4403000,4745000,4830000,4841000,5127000,5398000,6002000,5510000,5221000,5084000,5077000,4542000,4115000,4024000,4049000,3938000,3649000,3179000,2784000,2738000,2537000,
"Minority Interest",,,,,,,,,,,,,,,14000,-13000,10000,12000,6000,4000,4000,2000,
"Total Shareholders' Interest",4551000,4403000,4745000,4830000,4841000,5127000,5398000,6002000,5510000,5221000,5084000,5077000,4542000,4115000,4038000,4036000,3948000,3661000,3185000,2788000,2742000,2539000,
"Interest Bearing Loans",,,,,,,,813000,,,,1000,1000,8000,406000,435000,448000,425000,49000,43000,,,
"Deferred Tax Liability",,,,,,,,,,,,,,,23000,,23000,16000,5000,1000,,,
"Other Long-Term Liabilities",,,,,,,,,,,,,,,24000,,25000,32000,30000,21000,,1000,
"Total Long-Term Liabilities",,,,,,,,813000,,,,1000,1000,8000,453000,435000,496000,473000,84000,65000,,1000,
"Creditors and Provisions",,,,,1000,,,,,,,,,,20000,,27000,56000,13000,102000,22000,11000,
"Bank Overdrafts/Short-Term Loans",2000,2000,,1000,,,,,,,,,,,19000,,,20000,,,,,
"Other Current Liabilities",,,38000,49000,,2000,1000,80000,1000,1000,,,,,,92000,21000,,9000,3000,78000,43000,
"Total Current Liabilities",2000,2000,38000,50000,1000,2000,1000,80000,1000,1000,,,,,39000,92000,48000,76000,22000,105000,100000,54000,
"Total Liabilities",2000,2000,38000,50000,1000,2000,1000,893000,1000,1000,,1000,1000,8000,492000,527000,544000,549000,106000,170000,100000,55000,
"Total Equity and Liabilities",4553000,4405000,4783000,4880000,4842000,5129000,5399000,6895000,5511000,5222000,5084000,5078000,4543000,4123000,4530000,4563000,4492000,4210000,3291000,2958000,2842000,2594000,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"16 Nov 2020","29 May 2020","19 Nov 2019","21 May 2019","16 Nov 2018","23 May 2018","16 Nov 2017","23 May 2017","15 Nov 2016","25 May 2016","12 Nov 2015","28 May 2015","13 Nov 2014","19 May 2014","15 Nov 2013","22 May 2013","13 Nov 2012","23 May 2012","15 Nov 2011","27 May 2011","15 Nov 2010","1 Jun 2010",
"Exchange Rate (period end)",19.64,19.7,16.5,16.26,16.41,14.58,16.03,14.3,15.42,16.81,15.49,13.02,14.25,14.5,13.56,11.84,10.69,10.25,10.84,9.65,9.48,9.83,
"Exchange Rate (weighted average)",19.75,16.24,17.04,15.9,15.71,15.19,15.01,15.43,16.31,15.2,13.93,13.97,14.35,13.57,12.81,10.95,10.34,10.22,9.93,9.53,9.56,11.07,
"Number of Shares in Issue (Actual)",195942286,195942286,195942286,195942286,195942286,195942286,195942286,195942286,195942286,195942286,195942286,195942286,195900000,195942286,195900000,195942286,195942286,195942286,195942286,195942286,195942286,195942286,
"Weighted Average Shares in Issue (Actual)",184290891,184290891,195942286,190919614,195942286,195942286,195942286,195942286,195942286,195942286,195942286,195942286,195942286,195942286,195900000,195942286,195942286,195942286,195942286,,,,
"Market Capitalisation (R'000)",56920944,55755093,53785883,48356350,51554112,45066496,56235149,57136479,58625633,62191764,57626332,48005615,49357610,45517161,38012609,35994600,30664811,27333809,25119673,22709595,23728490,23317013,
"Market Capitalisation (R'000): REINET (REI)",,,,,,,,,,,,,,,38012609,35994414,30664811,27333809,25119673,22709595,23728490,23317013,
"Market Capitalisation (R'000): REINET (RNI)",56920944,55755093,53785883,48356350,51554112,45066496,,,,,,,,,,,,,,,,,
"Number of Months",6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,

Share statistics,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"16 Nov 2020","29 May 2020","19 Nov 2019","21 May 2019","16 Nov 2018","23 May 2018","16 Nov 2017","23 May 2017","15 Nov 2016","25 May 2016","12 Nov 2015","28 May 2015","13 Nov 2014","19 May 2014","15 Nov 2013","22 May 2013","13 Nov 2012","23 May 2012","15 Nov 2011","27 May 2011","15 Nov 2010","1 Jun 2010",
