Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"29 Oct 2020","31 Mar 2020","30 Sep 2019","25 Mar 2019","7 Sep 2018","9 Mar 2018","8 Sep 2017","10 Mar 2017","8 Sep 2016","4 Mar 2016","7 Sep 2015","10 Mar 2015","8 Sep 2014","6 Mar 2014","6 Sep 2013","7 Mar 2013","7 Sep 2012","8 Mar 2012","8 Sep 2011","4 Mar 2011","8 Sep 2010",
"Turnover",578746,378175,678873,349567,587632,307987,528759,270740,537588,286042,516086,268660,492079,261138,474438,251973,530593,280940,518796,267697,471079,
"Cost of Sales",302349,185361,321767,158739,267730,145578,237200,121463,248937,128640,225698,121537,249774,138432,231176,130774,246182,127770,221987,122039,200760,
"Gross Profit",276397,192814,357106,190828,319902,162409,291559,149277,288651,157402,290388,147123,242305,122706,243262,121199,284411,153170,286091,145658,260179,
"Operating Income",-74637,38012,24979,32226,14082,9627,755,4329,11523,16430,29934,15893,-17302,-5083,-19138,-12436,26617,20832,44403,24787,38357,
"Other Income",29,24,27,23,45,22,21,20,20,20,18,18,16,16,13,12,13,13,12,12,16,
"Profit Before Exceptional Items",-74608,38036,25006,32249,14127,9649,776,4349,11543,16450,29952,15911,-17286,-5067,-19125,-12424,26630,20845,44415,24799,38373,
"Profit Before Interest And Tax",-74608,38036,25006,32249,14127,9649,776,4349,11543,16450,29952,15911,-17286,-5067,-19125,-12424,26630,20845,44415,24799,38373,
"Interest Received",22931,11824,12261,3257,4622,1752,4440,2207,5292,2535,3493,1259,3527,1838,6427,3533,8133,3957,8798,4450,8756,
"Interest Paid",45056,21851,3266,46,53,72,133,79,172,73,163,98,201,111,189,135,272,126,302,122,292,
"Net Interest Paid/(Received)",22125,10027,-8995,-3211,-4569,-1680,-4307,-2128,-5120,-2462,-3330,-1161,-3326,-1727,-6238,-3398,-7861,-3831,-8496,-4328,-8464,
"Income From Associates Before Tax",-4473,-3574,16090,11705,,,,,,,,,,,,,,,,,,
