Income statement (USD million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"20 Aug 2020","13 Feb 2020","22 Aug 2019","14 Feb 2019","23 Aug 2018","15 Feb 2018","24 Aug 2017","16 Feb 2017","25 Aug 2016","25 Feb 2016","24 Aug 2015",
"Working Revenue",5492,3216,6468,3811,6682,3494,6160,3221,5227,2981,3480,
"Working Cost",6112,3222,7092,3263,6577,3183,5742,2670,7247,4334,5247,
"Working Profit",261,251,887,908,1719,673,1795,857,-1441,-1587,-331,
"Profit Before Exceptional Items",261,251,887,908,1719,673,1795,857,-1441,-1587,-331,
"Profit Before Interest And Tax",261,251,887,908,1719,673,1795,857,-1441,-1587,-331,
"Interest Received",44,26,67,34,68,30,41,17,28,12,22,
"Interest Paid",183,90,151,72,168,100,212,77,132,57,89,
"Net Interest Paid/(Received)",139,64,84,38,100,70,171,60,104,45,67,
"Pre-Tax Profit",122,187,803,870,1619,603,1624,797,-1545,-1632,-398,
"Taxation",187,88,414,235,287,60,393,177,70,117,528,
"Profit For The Period",-65,99,389,635,1332,543,1231,620,-1615,-1749,-926,
"Attributable Income Before Extraordinary Items",-65,99,389,635,1332,543,1231,620,-1615,-1749,-926,
"Extraordinary Loss/(Profit)",,,,,,,,,,,-7,
"Extraordinary Loss/(Profit): Discontinued operations",,,,,,,,,,,-7,
"Income Attributable To Equity Holders",-65,99,389,635,1332,543,1231,620,-1615,-1749,-919,
"Total Comprehensive Income/Loss for the period",-87,111,432,612,1475,582,1258,622,-1634,,-885,
"Profit Before Capex",-65,99,389,635,1332,543,1231,620,-1615,-1749,-919,
"Profit After Capex",-65,99,389,635,1332,543,1231,620,-1615,-1749,-919,
"Headline Earnings (Cont Ops)",24,,866,635,1298,513,1227,619,-181,-320,499,
"Enterprise Value (EV)",118821.2,129768,155281.72,172065.2,187860.79,179584,141913.35,143384.76,90461.2,64535.4,56905.28,

Balance sheet (USD million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"20 Aug 2020","13 Feb 2020","22 Aug 2019","14 Feb 2019","23 Aug 2018","15 Feb 2018","24 Aug 2017","16 Feb 2017","25 Aug 2016","25 Feb 2016","24 Aug 2015",
"Ordinary Share Capital & Premium",13943,14020,14212,14326,14493,14654,14747,14747,14958,14958,14958,
"Treasury Shares",49,43,105,60,83,38,26,26,3,,,
