Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"15 Sep 2020","11 Mar 2020","3 Sep 2019","5 Mar 2019","4 Sep 2018","27 Feb 2018","29 Aug 2017","28 Feb 2017","29 Aug 2016","29 Feb 2016","31 Aug 2015","2 Mar 2015","26 Aug 2014","3 Mar 2014","26 Aug 2013","22 Feb 2013","20 Aug 2012","22 Feb 2012","19 Aug 2011","18 Feb 2011","20 Aug 2010",
"Turnover",1045.421,2283.947,1134.937,2309.524,1170.441,2113.844,1043.35,1833.085,908.481,1614.549,781.894,1408.879,658.527,1186.412,570.158,1227.838,604.666,1235.323,605.832,1182.374,573.537,
"Admin & Collection Fees",508.116,982.679,457.44,908.257,33.605,60.631,29.404,58.44,24.793,55.01,21.276,56.308,6.713,10.46,7.818,11.594,2.095,7.737,2.122,11.696,5.053,
"Net Rental / Investment Income",537.305,1301.268,677.497,1401.267,1136.836,2053.213,1013.946,1774.645,883.688,1559.539,760.618,1352.571,651.814,1175.952,562.34,1216.244,602.571,1227.586,603.71,1171,568.484,
"Dividend Income",2.303,13.879,7.082,16.046,8.859,16.138,,,,,,,,,,,,,,,,
"Interest Receivable",26.391,69.533,37.73,88.816,47.125,78.263,35.604,48.349,22.696,23.897,11.97,30.478,11.404,20.811,10.519,30.547,12.115,23.597,11.261,35.892,15.688,
"Depreciation",3.626,6.468,5.203,6.201,3.197,4.126,1.683,,,,,,,,,,,,,,,
"Total Income",565.999,1384.68,722.309,1506.129,1192.82,2147.614,1049.55,1822.994,906.384,1583.436,772.588,1383.049,663.218,1196.763,572.859,1246.791,614.686,1251.183,614.971,1207,584.172,
"EBITDA (ProfileData Calc)",-823.673,739.56,596.586,,,,,,,,,,,,,,,,,,,
"Interest Payable",272.099,503.219,245.164,508.964,247.78,386.706,188.85,274.918,132.411,255.043,121.191,193.273,75.456,94.562,43.614,139.202,73.704,164.161,79.692,165.558,79.91,
"Expenses",,,,,395.161,718.835,,,290.177,,270.584,,237.801,193.502,221.333,485.7,259.134,468.78,249.515,670.534,192.022,
"Income Before Exceptional Items",293.9,881.461,477.145,997.165,549.879,1042.073,860.7,1548.076,483.796,1328.393,380.813,1189.776,349.961,908.699,307.912,621.889,281.848,618.242,285.764,370.908,312.24,
"Exceptional Item 1",-1351.211,-651.702,-138.322,-207.645,183.092,366.387,-6.437,932.935,253.517,85.2,134.884,-222.474,10.551,103.849,266.896,164.683,-59.801,-230.944,106.013,461.682,26.358,
"Exceptional Item 1: Costs associated with disposals",,,,,,,,,,,,,,,,,,,3.767,,-0.987,
"Exceptional Item 1: Defered Tax of Straight Line Rental Adjustment",,,,,,,,,,,,,,,,,,1.547,,-4.042,-2.417,
"Exceptional Item 1: Impairment",,,,,,,,,,,,,,,,,,,-5.869,,-5.43,
"Exceptional Item 1: Loss on disposal of investments",,,,,,,,,,,,,,,-4.995,,-13.422,,,,,
"Exceptional Item 1: Other income",,,,,,,,,,,,,,,,,,,,176.605,,
"Exceptional Item 1: Profit on sale of Investments",,,,,,,,,,,,,,,,,,3.276,,0.359,,
"Exceptional Item 1: Revaluation of investment",,,,,,,,,,,,,,,271.891,,-46.379,-235.767,108.115,288.76,35.192,
"Income From Associates Before Tax",-42.087,17.439,24.721,38.818,37.29,121.333,,,,,,,,,,,,,13.737,38.839,12.65,
"Income Before Tax",-1099.398,247.198,363.544,828.338,770.261,1529.793,854.263,2481.011,737.313,1413.593,515.697,967.302,360.512,1012.548,574.808,786.572,222.047,387.298,405.514,871.429,351.248,
"Tax",1.711,-5.73,-4.314,-1.679,-1.74,3.656,9.166,1.008,1.352,-0.046,-6.254,0.122,,-146.846,-146.847,49.939,15.762,26.78,15.33,-19,2.131,
"Profit For The Period",-1101.109,252.928,367.858,830.017,772.001,1526.137,845.097,2480.003,735.961,1413.639,521.951,967.18,360.512,1159.394,721.655,736.633,206.285,414.761,376.447,852.14,349.117,
"Income Attributable To Minority Interests",,17.325,17.325,-17.833,-0.309,0.508,,,,,,,,,,,,,,,,
