Income statement (USD million),"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Sep 2019","Jun 2019","Mar 2019","Mar 2019","Dec 2018","Sep 2018","Jun 2018","Mar 2018","Mar 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Mar 2017","Dec 2016","Sep 2016","Sep 2016","Jun 2016","Mar 2016","Mar 2016","Dec 2015","Sep 2015","Sep 2015","Jun 2015","Mar 2015","Mar 2015","Dec 2014","Sep 2014","Sep 2014","Jun 2014","Mar 2014","Mar 2014","Dec 2013","Sep 2013","Sep 2013","Jun 2013","Mar 2013","Mar 2013","Dec 2012","Sep 2012","Sep 2012","Jun 2012","Mar 2012","Mar 2012","Dec 2011","Sep 2011","Sep 2011","Jun 2011","Mar 2011","Mar 2011","Dec 2010","Sep 2010","Sep 2010","Jun 2010","Mar 2010","Mar 2010",
,"Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)",
,"5 Nov 2020","30 Jul 2020","7 May 2020","5 Feb 2020","14 Nov 2019","1 Aug 2019","9 May 2019","9 May 2019","6 Feb 2019","15 Nov 2018","13 Aug 2018","14 May 2018","14 May 2018","7 Feb 2018","16 Nov 2017","3 Aug 2017","15 May 2017","15 May 2017","8 Feb 2017","10 Nov 2016","10 Nov 2016","4 Aug 2016","9 May 2016","9 May 2016","10 Feb 2016","12 Nov 2015","12 Nov 2015","7 Aug 2015","14 May 2015","14 May 2015","11 Feb 2015","10 Nov 2014","10 Nov 2014","31 Jul 2014","12 May 2014","12 May 2014","5 Feb 2014","7 Nov 2013","7 Nov 2013","2 Aug 2013","9 May 2013","9 May 2013","6 Feb 2013","8 Nov 2012","8 Nov 2012","3 Aug 2012","10 May 2012","10 May 2012","8 Feb 2012","10 Nov 2011","10 Nov 2011","4 Aug 2011","9 May 2011","9 May 2011","9 Feb 2011","8 Nov 2010","8 Nov 2010","2 Aug 2010","7 May 2010","7 May 2010",
"Turnover",4609,907,2610,1302,5746,1371,1503,2921,1418,5806,1445,2826,1496,1330,5296,1260,2625,1316,1309,5141,1340,1223,1294,2578,1284,1403,5390,1272,1338,2715,1377,6061,1505,1484,1573,3072,1499,5925,1530,1417,2978,1503,1475,1585,6347,1544,3218,1633,1585,7286,1787,1802,3697,1824,1873,1774,6572,1602,1576,3196,
"Cost of Sales",4210,895,2305,1145,4969,1236,1290,2486,1196,4928,1270,2365,1244,1121,4429,1089,2176,1094,1082,4270,1093,1039,1048,2138,1090,1170,4693,1161,1138,2362,1224,5370,1326,1325,1380,2719,1339,5285,1377,1330,2578,1274,1304,1363,5552,1404,2785,1408,1377,6454,1582,1639,3233,1596,1637,1498,5786,1314,1443,2974,
"Gross Profit",399,12,305,157,777,135,213,435,222,878,175,461,252,209,867,171,449,222,227,871,247,184,246,440,194,233,697,111,200,353,153,691,179,159,193,353,160,640,153,87,400,229,171,222,795,140,433,225,208,832,205,163,464,228,236,276,786,288,133,222,
"Operating Expenses",437,,,104,398,,,,100,,,,,94,,,,,82,,,,,175,82,,333,82,31,168,84,352,69,92,96,188,94,384,94,103,260,155,95,102,417,106,206,105,101,752,193,109,338,231,115,120,458,134,110,201,
"EBITDA (ProfileData Calc)",288,,,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Depreciation",321,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Operating Income",-38,-72,78,55,383,46,117,240,123,489,84,270,154,116,526,90,285,142,143,544,170,96,155,278,123,135,411,35,172,241,69,314,76,69,99,169,70,19,-110,-14,143,76,67,160,427,34,227,120,107,86,-88,54,120,-0.1,121,158,342,154,33,29,
"Profit Before Exceptional Items",-38,-72,78,55,383,46,117,240,123,489,84,270,154,116,526,90,285,142,143,544,170,96,155,278,123,135,411,35,172,241,69,314,76,69,99,169,70,19,-110,-14,143,76,67,160,427,34,227,120,107,86,-88,54,120,-0.1,121,158,342,154,33,29,
"Profit Before Interest And Tax",-38,-72,78,55,383,46,117,240,123,489,84,270,154,116,526,90,285,142,143,544,170,96,155,278,123,135,411,35,172,241,69,314,76,69,99,169,70,19,-110,-14,143,76,67,160,427,34,227,120,107,86,-88,54,120,-0.1,121,158,342,154,33,29,
"Interest Received",5,,3,2,13,,1,11,2,6,,3,2,,12,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interest Paid",93,24,46,22,98,28,21,48,19,74,18,39,23,,92,,54,,,124,,,,,,,,23,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Interest Paid/(Received)",88,24,43,20,85,28,20,37,17,68,18,36,21,15,80,16,49,24,25,121,23,48,25,50,25,25,182,23,97,134,37,177,39,42,48,96,48,186,47,47,92,45,47,37,306,141,105,51,54,327,56,112,139,68,71,63,276,57,62,135,
"Income From Associates Before Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,-2,,,,,-5,-8,
"Income Before Tax",-126,-96,35,35,298,18,97,203,106,421,66,234,133,101,446,74,236,118,118,423,147,48,130,228,98,110,229,12,75,107,32,137,37,27,51,73,22,-167,-157,-61,51,31,20,123,121,-107,122,69,53,-241,-144,-58,-19,-69,50,95,66,97,-34,-114,
"Taxation",9,-23,9,11,87,10,25,50,25,98,15,69,31,38,108,16,58,30,28,104,35,16,30,53,23,27,62,8,19,27,8,2,-31,10,19,23,4,15,-8,-14,37,29,8,16,28,-1,19,11,8,9,-17,10,18,5,13,11,18,33,-3,-24,
"Taxation: Current Financial Assets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,2,,-6,,,,
"Taxation: Deffered Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,11,,26,,,,
"Profit For The Period",-135,-73,26,24,211,8,72,153,81,323,51,165,102,63,338,58,178,88,90,319,112,32,100,175,75,83,167,4,56,80,24,135,68,17,32,50,18,-182,-149,-47,14,2,12,107,93,-106,103,58,45,-250,-127,-68,-37,-74,37,84,48,64,-31,-82,
"Attributable Income Before Extraordinary Items",-135,-73,26,24,211,8,72,153,81,323,51,165,102,63,338,58,178,88,90,319,112,32,100,175,75,83,167,4,56,80,24,135,68,17,32,50,18,-182,-149,-47,14,2,12,107,93,-106,103,58,45,-250,-127,-68,-37,-74,37,84,48,64,-31,-82,
"Income Attributable To Equity Holders",-135,-73,26,24,211,8,72,153,81,323,51,165,102,63,338,58,178,88,90,319,112,32,100,175,75,83,167,4,56,80,24,135,68,17,32,50,18,-182,-149,-47,14,2,12,107,93,-106,103,58,45,-250,-127,-68,-37,-74,37,84,48,64,-31,-82,
"Total Comprehensive Income/Loss for the period",-325,-49,-125,121,84,42,69,128,59,266,-129,295,145,150,416,73,226,103,123,349,194,67,92,88,-4,-107,-41,,,,,-112,,,,,,-392,,,,,,,35,,,,,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-106,-65,34,24,228,10,76,157,81,317,48,159,96,63,343,58,178,88,90,309,113,33,99,163,64,83,167,4,56,80,24,164,74,45,30,45,15,-52,-51,-47,44,32,12,61,38,-106,94,54,40,-101,-44,-66,27,-10,37,82,33,65,-38,-95,
"Enterprise Value (EV)",16345.494,16684.771,13250.1,25671.187,21883.14,31516.803,37850.955,37850.955,45860.29,49430.875,50930.65,42696.18,42696.18,49553.7,50574.1,47902.441,50065.324,50065.324,49416.275,39749.156,39080.6,37892.641,36298.1,36062.768,36295.696,24143,23190.216,24631.16,27648.287,27648.287,24207.66,24680.554,25262.416,22289.729,21584.2,21584.2,19496.875,15540.035,15420.875,15021.6,17120.864,17129.48,18209.35,14301.128,14301.128,16508.96,16920.88,16920.88,14572.42,14513.925,14513.925,20543.288,20997.66,20997.66,20103.698,20860.66,20741.571,17765.4,19121.48,19121.48,

