Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"20 Aug 2020","5 Mar 2020","8 Aug 2019","7 Mar 2019","16 Aug 2018","8 Mar 2018","17 Aug 2017","2 Mar 2017","18 Aug 2016","3 Mar 2016","14 Aug 2015","5 Mar 2015","14 Aug 2014","6 Mar 2014","15 Aug 2013","7 Mar 2013","16 Aug 2012","8 Mar 2012","11 Aug 2011","3 Mar 2011","12 Aug 2010",
"Interest Paid",31204,62919,31194,59505,28680,60125,28770,56892,27775,49310,23449,45152,21615,39095,18834,33966,,28827,,28742,,
"Interest Received",55784,110461,54277,105331,50710,102699,49120,99857,49863,91113,35550,84043,42019,85240,30835,66252,,58552,,58746,,
"Net Interest Received",24580,47542,23083,45826,22030,42574,20350,42965,22088,41803,12101,38891,20404,46145,12001,32286,16503,29725,14648,30004,14452,
"Other Income",5733,23573,11784,21722,11360,24394,12097,21365,11695,23997,,39062,21615,39095,18834,33966,15688,48835,13571,51149,14543,
"Operating expenses",39756,78821,39071,76488,37896,75312,36375,73609,36773,67618,32354,61142,29438,56281,25976,48982,25009,78934,21157,83379,21314,
"Operating expenses: Banking operations",31489,62335,,60084,,57512,27553,56235,28340,51434,24762,46596,22222,42055,,36902,19230,34725,16332,36656,17019,
"Operating expenses: Benefits due to policyholders",,,,,,,,,,,,,,,,,,33799,,37335,,
"Operating expenses: Insurance contracts",,,,,,,,,,16184,,,,,,,,,,,,
"Operating expenses: Insurance operations",,,,16404,,17800,8822,17374,8433,,7592,14546,7216,14226,6200,12080,5779,10410,4825,9388,4295,
"Operating expenses: Investment activities",8267,16486,,,,,,,,,,,,,,,,,,,,
"Operating expenses: Operating Expence",,,,,,,,,,,,,,,19776,,,,,,,
"Operating Income",10470,55213,26990,50565,24174,52244,24842,47613,-14685,47492,-20253,37849,12581,28959,4859,17270,7182,29094,7062,18992,7681,
"Bad Debt Provision",11291,7964,4247,6489,3529,9410,5155,9533,5815,9371,5032,9009,4952,9158,5002,8714,3945,6436,2914,7524,3790,
"Net Income Before Exceptional Items",10470,47249,22743,44076,20645,42834,19687,38080,-20500,38121,-25285,28840,7629,19801,-143,8556,3237,22658,4148,18992,3891,
"Exceptional Inc 1",-4134,-2890,-254,-641,46,-261,214,-1123,39256,-1512,17792,7194,-5532,-12865,4453,178,,-61,,-144,,
"Income From Associates Before Tax",523,-512,-169,912,360,1102,412,187,152,-323,174,679,388,685,260,701,166,284,115,633,269,
"Net Income Before Tax",6859,43847,22320,44347,21051,43675,20313,37144,18908,36286,-7319,36713,2485,7621,4570,9435,3403,22881,4263,19481,4160,
"Tax",2737,13151,6493,11704,5718,12960,5680,11350,5853,10926,5103,10500,4941,9491,3938,8623,3976,7097,3553,6474,3112,
"Tax: Direct Taxation",,10559,,9095,,10479,4526,8932,4716,8187,3908,8061,3915,7580,3076,7002,3155,,2926,,2456,
"Tax: Indirect Taxation",,2592,,2609,,2481,1154,2418,1137,2739,1195,2439,1026,1911,862,1621,821,,627,,656,
"Profit For The Period",4122,30696,15827,32643,15333,30715,14633,25794,13055,25360,-12422,26213,-2456,-1870,632,812,-573,15784,710,13007,1048,
"Income From Associates After Tax",,,,,,,,,,,24553,,13747,22898,9242,17640,8586,,7113,,5866,
"Income From Associates After Tax: Benefits due to policyholders",,,,,,,,,,,-24605,,-31579,-63295,-21593,-58739,-23428,,-12810,,-9389,
"Income From Associates After Tax: Income from insurance activities",,,,,,,,,,,49158,,45326,86193,30835,76379,32014,,19923,,15255,
"Income Attributable To Minority Interests",-74,4380,2209,4452,2256,3886,2036,3182,2047,3970,1714,3904,1845,3451,1422,2871,1185,2213,1064,1846,818,
"Preference Dividends",429,873,423,738,371,594,257,406,196,377,190,356,175,349,176,352,168,345,179,387,199,
"Attributable Income Before Extraordinary Items",3767,25443,13195,27453,12706,26235,12340,22206,10812,21013,10227,21953,9271,17228,8276,15229,6660,13226,6580,10774,5897,
"Extraordinary Items",,,,,,,,,,2741,3002,-4048,-1032,-1022,-210,817,431,,,,,
