Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","May 2017","Nov 2016","May 2016","Nov 2015","May 2015","Nov 2014","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (7m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"27 Aug 2020","13 Mar 2020","29 Aug 2019","19 Feb 2019","31 Aug 2018","26 Mar 2018","31 Aug 2017","31 Aug 2017","16 Feb 2017","15 Aug 2016","25 Feb 2016","31 Jul 2015","27 Feb 2015","4 Dec 2014","13 Jun 2014","13 Dec 2013","26 Apr 2013","23 Nov 2012","30 Apr 2012","28 Nov 2011","6 May 2011","25 Nov 2010","23 Apr 2010",
"Turnover",,,,,,,,,,,,,797,755,,19896,132173,238481,416522,1029363,496572,784325,413291,
"Cost of Sales",,,,,,,,,,,,,490,490,,18264,109733,191409,310312,782987,,542373,,
"Gross Profit",,,,,,,,,,,,,307,265,2330,1632,22440,47072,106210,246376,,241952,,
"Operating Expenses",,,,,,,,,,,,,,,,,44971,134962,134255,220882,,226007,,
"Operating Income",-5798,-4339,296506,224721,-143131,-130399,-305967,-340974,-310169,-370586,-53552,-7157,-3754,-1092,449,-26269,-22251,-68143,-8339,27243,19192,27354,11789,
"Other Income",,465,,,,,,,,,,,,,,,,,,,,,,
"Profit Before Exceptional Items",-5798,-3874,296506,224721,-143131,-130399,-305967,-340974,-310169,-370586,-53552,-7157,-3754,-1092,449,-26269,-22251,-68143,-8339,27243,19192,27354,11789,
"Exceptional Item 1",-51891,-9609,-49606,-15864,-35830,-16787,-45246,-33714,,-83111,,-21618,,,-10288,,,,-5140,,,,,
"Profit Before Interest And Tax",-57689,-13483,246900,208857,-178961,-147186,-351213,-374688,-310169,-453697,-53552,-28775,-3754,-1092,-9839,-26269,-22251,-68143,-13479,27243,19192,27354,11789,
"Interest Received",33726,,3463,1562,5845,1803,10214,9858,98188,71749,24308,8753,7913,5696,2305,147,552,793,1321,4293,1745,5122,2575,
"Interest Paid",,,88360,50350,86627,41802,50091,42271,71543,35193,202,140,2360,2360,1972,528,97,629,899,2284,1265,4522,1440,
"Net Interest Paid/(Received)",-33726,,84897,48788,80782,39999,39877,32413,-26645,-36556,-24106,-8613,-5553,-3336,-333,381,-455,-164,-422,-2009,-480,-600,-1135,
"Income From Associates Before Tax",,,,,,,,,,,,,,66,,,,2366,2982,9360,3511,2709,942,
"Income Before Tax",-23963,-13483,162003,160069,-259743,-187185,-391090,-407101,-283524,-417141,-29446,-20162,1799,2310,-9506,-26650,-21796,-65613,-10075,38612,23183,30663,13866,
