Income statement (ZAR '000),"Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"31 Jul 2020","23 Dec 2019","28 Jun 2019","20 Dec 2018","28 Jun 2018","14 Dec 2017","25 May 2017","3 Nov 2016","26 May 2016","5 Nov 2015","28 May 2015","29 Oct 2014","12 Jun 2014","5 Mar 2014","30 Sep 2013","28 Mar 2013","26 Jul 2012","5 Mar 2012","19 Jul 2011","31 Mar 2011","31 Aug 2010",
"Turnover",161410,261213,151655,276696,797957,376368,808176,410387,1193921,564372,1035683,484165,907532,731716,372264,746030,385241,775483,359809,682314,326993,
"Cost of Sales",86265,115155,72307,115528,354790,159783,418029,223754,619783,288670,576068,253555,549241,457987,232950,473937,243212,520318,228228,451437,219836,
"Gross Profit",75145,146058,79348,161168,443167,216585,390147,186633,574138,275702,459615,230610,358291,273729,139314,272093,142029,255165,131521,230877,107157,
"Operating Expenses",226633,284567,105497,147178,348522,177868,270530,126989,382163,177389,310263,163851,310029,234579,121967,268100,110008,253130,114611,223120,97472,
"Operating Income",-150536,-137931,279911,330156,135994,64982,126441,65486,214748,106331,165942,75436,167499,75208,34097,13687,41492,9975,18588,11762,10495,
"Profit Before Exceptional Items",-150536,-137931,279911,330156,135994,64982,126441,65486,214748,106331,165942,75436,167499,75208,34097,13687,41492,9975,18588,11762,10495,
"Profit Before Interest And Tax",-150536,-137931,279911,330156,135994,64982,126441,65486,214748,106331,165942,75436,167499,75208,34097,13687,41492,9975,18588,11762,10495,
"Interest Received",15154,3270,5603,3224,2073,886,1816,594,3279,2050,5041,2660,6450,4993,2199,6754,2445,5731,3619,,,
"Interest Paid",16092,6314,5030,2871,8210,2100,3325,4644,5245,840,1767,1179,5026,4187,3073,6074,3681,7076,1905,,,
"Net Interest Paid/(Received)",938,3044,-573,-353,6137,1214,1509,4050,1966,-1210,-3274,-1481,-1424,-806,874,-680,1236,1345,-1714,-706,-2524,
"Income From Associates Before Tax",-2098,1081,1896,860,1271,159,1902,881,1811,762,1978,649,1392,1336,123,2060,-201,-628,-630,-724,-287,
"Income Before Tax",-153572,-139894,282380,331369,131128,63927,126834,62317,214593,108303,171194,77566,170315,77350,33346,16427,40055,8002,19672,11744,12732,
"Taxation",-30728,-3453,103454,126823,37269,10687,30781,14150,55856,30595,44823,20278,33051,22495,7693,7753,10560,-3413,4927,3936,3748,
"Profit For The Period",-122844,-136441,178926,204546,93859,53240,96053,48167,158737,77708,126371,57288,137264,54855,25653,8674,29495,11415,14745,7808,8984,
"Income Attributable To Minority Interests",3773,2316,6915,7037,13397,8599,38337,20719,13304,8641,15718,8467,3129,3665,1591,-2929,1012,4451,620,2135,1126,
"Attributable Income Before Extraordinary Items",-126617,-138757,172011,197509,80462,44641,57716,27448,145433,69067,110653,48821,134135,51190,24062,11603,28483,6964,14125,5673,7858,
"Extraordinary Profit",633751,17393,-20778,11900,95989,43554,119120,57411,,,,,,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",633751,17393,-20778,11900,95989,43554,119120,57411,,,,,,,,,,,,,,
"Income Attributable To Equity Holders",507134,-121364,151233,209409,176451,88195,176836,84859,145433,69067,110653,48821,134135,51190,24062,11603,28483,6964,14125,5673,7858,
"Total Comprehensive Income/Loss for the period",511710,-118902,160898,219353,189620,99218,209506,109238,162084,81752,124797,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-115129,-71775,-8241,13805,82375,48695,83565,84535,138467,69007,110680,48816,64690,51615,24032,30518,24237,19623,13209,15927,7429,
"Enterprise Value (EV)",151589,487282,644741,635091,1382461,1317622,1320396,1360062,1169110,2197807,2051248,1704030,1202166,851452,201665,268821,394066,405655,216840,202429,155225,

Balance sheet (ZAR '000),"Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"31 Jul 2020","23 Dec 2019","28 Jun 2019","20 Dec 2018","28 Jun 2018","14 Dec 2017","25 May 2017","3 Nov 2016","26 May 2016","5 Nov 2015","28 May 2015","29 Oct 2014","12 Jun 2014","5 Mar 2014","30 Sep 2013","28 Mar 2013","26 Jul 2012","5 Mar 2012","19 Jul 2011","31 Mar 2011","31 Aug 2010",
"Fixed Assets",18586,45981,29829,33374,36245,34983,59677,55279,53558,68091,58711,52867,47718,47231,124049,143910,145188,147033,144767,141332,55915,
"Investments in Associates",588157,20783,19702,18666,17806,50709,15550,14529,13648,12600,12857,11528,10879,10000,161,27,1777,2038,1085,2476,3584,
"Investments and Loans",,,,,,,,,,291,,3779,,,4339,2188,16174,23606,24959,24677,20557,
"Intangible Assets",54222,462521,626831,614666,560104,497628,735664,661478,581276,480554,432242,369674,305760,103141,52241,48471,70979,67421,66770,62902,66468,
"Deferred Tax Asset",5196,15857,13641,21082,25547,29433,27260,43541,38332,44455,36486,59407,40349,47959,50149,43239,34815,30634,30783,24746,21387,
"Other Assets",802025,,,,25000,548,,175,5063,704,,,,,,,,,,,,
"Long-Term Receivables",,,,,,,,,,,283,208,9375,192,163,163,1582,1573,6650,6695,6693,
