Income statement (ZAR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (9m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (16m)","Interim (12m)",
,"13 Nov 2020","11 Aug 2020","14 Nov 2019","26 Jun 2019","13 Nov 2018","28 Jun 2018","9 Nov 2017","30 Jun 2017","10 Nov 2016","29 Jun 2016","5 Nov 2015","26 Jun 2015","3 Nov 2014","27 Jun 2014","20 Nov 2013","27 Jun 2013","21 Feb 2013","26 Sep 2012","28 Mar 2012","29 Sep 2011","31 Mar 2011","30 Sep 2010","31 May 2010",
"Turnover",291065,727040,425795,835824,467999,830686,447822,839985,447945,874253,461370,775425,404157,571545,301569,37195,,,,,,6181,2509,
"Cost of Sales",178781,448828,265992,515275,286821,488757,262950,483668,257903,510218,274101,434431,225941,319156,167744,21575,,,,,,2798,,
"Gross Profit",112284,278213,159803,320548,181178,341929,184872,356317,190042,364035,187269,340995,178216,252389,133825,15620,,,,,,3383,,
"Operating Expenses",112888,283773,152120,308852,160418,292334,146912,273996,143573,282137,141899,291706,130171,215181,106575,36349,,16157,,20920,,140630,104619,
"EBITDA (ProfileData Calc)",-9274,20034,,79122,,,,,,,,,,69229,,-11146,,,,,,-61859,,
"Share Option Costs",,,,,,,,,,,,,,5412,,4481,,4256,,3330,,2848,,
"Depreciation",11549,23240,,15562,,,,,,,,,,24552,,1691,,128,,2342,,6926,,
"Operating Income",8962,-4566,9536,14696,22711,54328,39700,84750,47664,84249,51482,59288,53072,51153,33761,-20373,-10067,-21323,-6876,391008,-14372,-104615,-67295,
"Other Income",,,,,,,,,,,,9999,,13945,,356,,463,,1930,,1507,,
"Profit Before Exceptional Items",8962,-4566,9536,14696,22711,54328,39700,84750,47664,84249,51482,59288,53072,51153,33761,-13537,-10067,-15694,-6876,-18990,-14372,-135740,-67295,
"Amortisation",,,,,,,,,,,,,,5577,,524,,,,771,,3138,,
"Exceptional Item 1",,,,,,,,,,,,,-22222,,,6836,,-5629,,409998,409998,31124,-2102,
"Profit Before Interest And Tax",8962,-4566,9536,14696,22711,54328,39700,84750,47664,84249,51482,59288,30850,36407,33761,-14181,-10067,-21431,-6876,382149,395626,-107231,-69397,
"Interest Received",363,883,895,2532,1403,4749,2191,7172,3445,8127,3243,2168,1366,2693,855,820,510,127,64,1090,562,16630,13256,
"Interest Paid",7125,18713,9856,16489,8654,22032,11646,26695,14126,28271,14261,25321,12356,25676,12589,1949,,,,,605,481,10,
"Net Interest Paid/(Received)",6762,17830,8961,13957,7251,17283,9455,19523,10681,20144,11018,23153,10990,22983,11734,1129,-510,-127,-64,-1090,43,-16149,-13246,
"Income From Associates Before Tax",-30148,477,-7765,46332,16199,20820,-5795,24804,966,18154,-8783,35925,-9318,-14746,-5703,6191,-226,-108,8347,-8859,-2992,-2615,,
"Income Before Tax",-27948,-21919,-7190,47071,31659,57865,24450,90031,37949,82259,31681,72060,10542,13425,16324,-15310,-9783,-21303,1535,383238,392591,-91081,-56151,
"Taxation",1692,-4547,513,3030,5135,13698,9645,21892,12701,21839,13170,24898,14278,16242,10061,994,,,,1558,1558,-907,150,
"Profit For The Period",-29640,-17372,-7703,44041,26524,44167,14805,68139,25248,60420,18511,47161,-3736,-2818,6263,-16304,-9783,-21303,1535,381680,391033,-90174,-56301,
"Income Attributable To Minority Interests",,,,,,,,,,,,,,,,,,,,,,-18677,-12365,
"Attributable Income Before Extraordinary Items",-29640,-17372,-7703,44041,26524,44167,14805,68139,25248,60420,18511,47161,-3736,-2818,6263,-16304,-9783,-21303,1535,381680,391033,-71497,-43936,
"Extraordinary Profit",,,,,,,,,,,,,,,,,,22296,-7135,-37981,-18842,,,
"Extraordinary Profit: Discontinued Operations",,,,,,,,,,,,,,,,,,22296,-7135,-37981,,,-46998,
"Extraordinary Profit: Profit for discontinued operations",,,,,,,,,,,,,,,,,,,,,-18842,,,
"Income Attributable To Equity Holders",-29640,-17372,-7703,44041,26524,44167,14805,68139,25248,60420,18511,47161,-3736,-2818,6263,-16304,-9783,993,-5600,343699,372191,-71497,-43936,
