Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"8 Sep 2020","25 Feb 2020","20 Aug 2019","26 Feb 2019","21 Aug 2018","26 Feb 2018","22 Aug 2017","21 Feb 2017","23 Aug 2016","23 Feb 2016","18 Aug 2015","24 Feb 2015","19 Aug 2014","25 Feb 2014","20 Aug 2013","19 Feb 2013","21 Aug 2012","21 Feb 2012","23 Aug 2011","22 Feb 2011","24 Aug 2010",
"Turnover",156855,81150,147478,75837,145104,75704,141000,71297,130028,62519,113694,57469,102204,51089.765,92457.126,46572.295,82730.587,41053.561,72297.777,36259.13,67402.44,
"Cost of Sales",119855,62099,113028,58307,110415,57678,107174,54591,99372,47987,90180,45736,80936,40675.09,73156.023,37045.013,65752.642,32857.42,57624.408,29076.055,54147.848,
"Gross Profit",37532,19051,34450,17530,34689,18026,33826,16706,,,,,,,,,16977.945,8196.141,14673.369,7183.075,13254.592,
"EBITDA (ProfileData Calc)",13167,7020,13098,6654,10287,5390,10124,4815,9365,4385,8120,3913,4393,3497.625,4268.266,3240.75,5779.31,2725.592,4916.162,2332.609,4311.212,
"Depreciation",5031,2555,4971,2475,2530,1195,2176,1077,2025,969,1733,849,-1525,688.067,-1335.722,637.064,1090.295,511.806,933.592,472.831,839.208,
"Operating Income",7751,4287,7867,4048,7527,4074,7725,3662,7224,3346,6183,2933,5708,2691.525,5357.378,2470.701,4563.104,2188.529,3907.718,1827.534,3387.037,
"Profit Before Exceptional Items",7751,4287,7867,4048,7527,4074,7725,3662,7224,3346,6183,2933,5708,2691.525,5357.378,2470.701,4563.104,2188.529,3907.718,1827.534,3387.037,
"Profit Before Interest And Tax",7751,4287,7867,4048,7527,4074,7725,3662,7224,3346,6183,2933,5708,2691.525,5357.378,2470.701,4563.104,2188.529,3907.718,1827.534,3387.037,
"Interest Received",443,187,272,139,215,121,226,102,174,78,216,122,225,119.177,258.793,133.779,142.166,38.459,94.614,43.911,105.741,
"Interest Paid",2910,1467,2599,1280,422,189,340,232,498,234,415,214,461,216.125,429.967,202.706,223.563,65.619,125.964,61.511,93.69,
"Net Interest Paid/(Received)",2467,1280,2327,1141,207,68,114,130,324,156,199,92,236,96.948,171.174,68.927,81.397,27.16,31.35,17.6,-12.051,
