Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"10 Sep 2020","12 Mar 2020","5 Sep 2019","7 Mar 2019","6 Sep 2018","8 Mar 2018","7 Sep 2017","9 Mar 2017","8 Sep 2016","10 Mar 2016","3 Sep 2015","5 Mar 2015","4 Sep 2014","6 Mar 2014","5 Sep 2013","7 Mar 2013","6 Sep 2012","8 Mar 2012","8 Sep 2011","10 Mar 2011","9 Sep 2010",
"Turnover",48385,147796,81104,77721,44033,113976,47289,86695,49796,85293,46424,92060,50160,102000,40431,89337,36894,134441,64201,123280,58613,
"Operating Income",-2637,13072,5846,15388,6726,14376,6547,11969,28514,14039,26259,12243,24025,11909,21572,9973,4458,36663,17505,33737,3588,
"Profit Before Exceptional Items",-2637,13072,5846,15388,6726,14376,6547,11969,6171,14039,7114,12243,6905,11909,5147,9973,4458,8490,4011,9252,3588,
"Profit Before Interest And Tax",-2637,13072,5846,15388,6726,14376,6547,11969,6171,14039,7114,12243,6905,11909,5147,9973,4458,8490,4011,9252,3588,
"Interest Paid",645,1500,419,846,386,690,501,460,311,580,260,517,243,516,176,453,181,336,179,309,138,
"Net Interest Paid/(Received)",645,1500,419,846,386,690,501,460,311,580,260,517,243,516,176,453,181,336,179,309,138,
"Income From Associates Before Tax",1215,2989,1555,2424,1364,2646,1296,2095,985,1310,642,1603,665,1224,505,584,271,421,221,329,235,
"Income Before Tax",-2067,14561,6982,16966,7704,16332,7342,13604,6845,14769,7496,13329,7327,12617,5476,10104,4548,8575,4053,9272,3685,
"Taxation",1332,5756,2863,4164,2158,4342,1962,3026,858,3859,1999,3534,2249,3483,1602,3670,1788,2510,1303,2757,1210,
"Profit For The Period",-3399,8805,4119,12802,5546,11990,5380,10578,5987,10910,5497,9795,5078,9134,3874,6434,2760,6065,2750,6515,2475,
"Income Attributable To Minority Interests",130,1655,680,1175,496,1067,513,955,470,1519,794,1066,539,1003,366,779,358,899,476,992,389,
"Attributable Income Before Extraordinary Items",-3529,7150,3439,11627,5050,10923,4867,9623,5517,9391,4703,8729,4539,8131,3508,5655,2402,792,413,851,2086,
"Income Attributable To Equity Holders",-3529,7150,3439,11627,5050,10923,4867,9623,5517,9391,4703,8729,4539,8131,3508,5655,2402,5166,2129,5523,2086,
"Total Comprehensive Income/Loss for the period",5945,3788,2523,15100,8369,10180,5038,5440,5987,14798,5883,10492,,10260,,6562,,,,,,
"Headline Earnings (Cont Ops)",3893,7481,3534,9162,5126,9757,4565,9860,5597,9300,4726,8325,4447,8062,3474,5763,2408,5015,2205,5122,1710,
"Embedded Value",58372,60156,59000,56234,54097,54283,53524,51246,,,,,,,,,,,,,,
"Enterprise Value (EV)",746629.102,767920.68,743113.12,711962.88,685105.655,703409.5,631919.2,613421.85,617282.94,604136.91,599351.61,590041,546272,485493,436920,414475,368147,337970,325603,321513,292954,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"10 Sep 2020","12 Mar 2020","5 Sep 2019","7 Mar 2019","6 Sep 2018","8 Mar 2018","7 Sep 2017","9 Mar 2017","8 Sep 2016","10 Mar 2016","3 Sep 2015","5 Mar 2015","4 Sep 2014","6 Mar 2014","5 Sep 2013","7 Mar 2013","6 Sep 2012","8 Mar 2012","8 Sep 2011","10 Mar 2011","9 Sep 2010",
"Fixed Assets",4701,3449,3742,3597,1923,1839,2027,2052,2161,2221,1839,1819,1678,1258,1155,1114,1074,1100,1109,1123,1063,
