Income statement (million),"Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Jul 2020","1 Jul 2020","12 Jul 2019","25 Jun 2019","29 Jun 2018","29 Jun 2018","7 Jun 2017","7 Apr 2017","7 Sep 2016","29 Feb 2016","8 Sep 2015","3 Mar 2015","9 Sep 2014","4 Mar 2014","10 Sep 2013","5 Mar 2013","4 Sep 2012","6 Mar 2012","6 Sep 2011","1 Mar 2011","7 Sep 2010",
,"EUR","EUR","EUR","EUR","EUR","EUR","EUR","EUR","EUR","EUR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR",
"Turnover",6241,11992,6152,11435,6666,12493,9896,16130,13059,6700,134868,,,,,,,,,,,
"Cost of Sales",3829,7337,3762,7075,4156,7610,5829,10184,8289,4250,,,,,,,,,,,,
"Gross Profit",2412,4655,2390,4360,2521,4883,4067,5946,4770,2450,,,,,,,,,,,,
"Operating Expenses",3155,5204,2188,4275,2706,4647,4295,5562,3636,1812,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",-278,,355,,,,,,,,20926,8374,16658,6824,11837,5973,,4699,,2855,,
"EBITDA (company calc)",702,,391,,,,,,,,,,,,,,,,,,,
"Depreciation",382,,112,,,,,,,,2222,,,,,,,,,,,
"Operating Income",-681,-389,262,221,-78,-150,-168,278,1461,802,17828,,,,,,,,,,,
"Profit Before Exceptional Items",-681,-389,262,221,-78,-150,-168,278,1461,802,17828,,,,,,,,,,,
"Profit Before Interest And Tax",-681,-389,262,221,-78,-150,-168,278,1461,802,17828,,,,,,,,,,,
"Interest Received",59,90,38,68,35,38,,61,184,80,79,,,,,,,,,,,
"Interest Paid",698,1085,482,646,245,410,,452,327,164,1838,,,,,,,,,,,
"Net Interest Paid/(Received)",639,995,444,578,210,372,165,391,143,84,1759,,,,,,,,,,,
"Income From Associates Before Tax",-35,11,-11,55,31,-25,61,89,65,31,569,,,,,,,,,,,
"Income Before Tax",-1355,-1373,-193,-302,-257,-547,-272,-24,1383,749,16638,,,,,,,,,,,
"Taxation",83,22,113,218,135,200,90,213,205,108,1343,,,,,,,,,,,
"Profit For The Period",-1438,-1395,-306,-520,-392,-747,-362,-237,1178,641,15295,,,,,,,,,,,
"Income Attributable To Minority Interests",3,-222,46,55,29,42,18,42,5,2,-228,,,,,,,,,,,
"Attributable Income Before Extraordinary Items",-1441,-1173,-352,-575,-421,-789,-380,-279,1173,639,15523,,,,,,,,,,,
"Extraordinary Profit",-82,-449,-265,-672,-217,-3247,,,-5,-4,-2140,,,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",-82,-449,-265,-672,-217,-3247,,,-5,-4,,,,,,,,,,,,
"Income Attributable To Equity Holders",-1523,-1622,-617,-1247,-638,-4036,-380,-279,1168,635,13383,,,,,,,,,,,
"Total Comprehensive Income/Loss for the period",-2218,-1735,-450,-1165,,-4182,227,-1043,-104,,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-1359,-738,-396,-421,-250,-219,-283,-247,1156,623,12418,,,,,,,,,,,
"Enterprise Value (EV)",15543.1,15071.8,18328.8,20189.372,24728.7,265363.62,285596.83,295756.1,319787.47,294154.63,313278.48,186860.2,177433,151561.86,98972,99090.75,81569.4,74886.54,68985.59,52923,47576.48,

Balance sheet (million),"Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (15m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Jul 2020","1 Jul 2020","12 Jul 2019","25 Jun 2019","29 Jun 2018","29 Jun 2018","7 Jun 2017","7 Apr 2017","7 Sep 2016","29 Feb 2016","8 Sep 2015","3 Mar 2015","9 Sep 2014","4 Mar 2014","10 Sep 2013","5 Mar 2013","4 Sep 2012","6 Mar 2012","6 Sep 2011","1 Mar 2011","7 Sep 2010",
,"EUR","EUR","EUR","EUR","EUR","EUR","EUR","EUR","EUR","EUR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR","ZAR",
"Fixed Assets",1277,1352,2107,2146,3293,3430,3749,3860,4789,4528,58294,,,,,,,,,,,
"Right-of-use Asset",2395,,,,,,,,,,,,,,,,,,,,,
"Investments in Associates",149,208,234,430,768,2055,2037,1379,1164,974,15869,,,,,,,,,,,
"Investments and Loans",,,133,134,136,106,282,198,843,644,6697,,,,,,,,,,,
"Goodwill",3814,1676,4534,4485,4866,4593,8020,7178,9595,9457,135072,,,,,,,,,,,
"Intangible Assets",1506,4295,1841,1826,2714,2657,3457,3544,,,,,,,,,,,,,,
"Deferred Tax Asset",210,162,188,201,198,221,308,287,228,180,2682,,,,,,,,,,,
"Other Assets",279,332,327,311,696,,,,,,150,,,,,,,,,,,
"Long-Term Receivables",4,9,4,3,2,2,55,20,13,13,,,,,,,,,,,,
"Total Fixed Assets",9634,8034,9368,9536,12673,13064,17908,16466,16632,15796,218764,,,,,,,,,,,
"Stock",1954,2130,2245,2155,2652,2556,2714,2594,2120,2107,26394,,,,,,,,,,,
"Debtors",943,954,937,1216,1143,1055,1094,1075,1397,1188,27113,,,,,,,,,,,
"Cash",1810,1795,1733,1275,1233,723,620,687,3569,3068,37905,,,,,,,,,,,
"Tax",49,65,,73,,,,,,,,,,,,,,,,,,
"Other Current Assets",521,1623,810,2115,172,107,,202,1023,916,3364,,,,,,,,,,,
"Total Current Assets",5277,6567,5725,6834,5200,4441,4428,4558,8109,7279,94776,,,,,,,,,,,
"Total Assets",14911,14601,15093,16370,17873,17505,22336,21024,24741,23075,313540,,,,,,,,,,,
"Ordinary Share Capital & Premium",10578,10578,10470,10434,10434,10701,21266,10671,18668,18546,,,,,,,,,,,,
"Distributable Reserves",-13329,-11719,-10382,-9778,-9157,-9777,-16085,-5171,-6076,-6655,,,,,,,,,,,,
"Non-Distributable Reserves",-1769,-1230,-1048,-1029,-727,,,,,,,,,,,,,,,,,
"Other Capital",,,-34,-148,,,,,,,,,,,,,,,,,,
"Ordinary Shareholders' Interest",-4520,-2371,-994,-521,550,924,5181,5500,12592,11891,176201,,,,,,,,,,,
"Preference Shareholders",,,,,,,450,,437,437,4882,,,,,,,,,,,
"Minority Interest",1071,1273,1166,1162,1247,1166,61,590,49,22,1087,,,,,,,,,,,
"Total Shareholders' Interest",-3449,-1098,172,641,1797,2090,5692,6090,13078,12350,182170,,,,,,,,,,,
"Interest Bearing Loans",10793,10371,1992,2027,703,,,,5552,4445,56344,,,,,,,,,,,
"Deferred Tax Liability",377,397,554,556,787,752,1008,1195,1159,1067,13578,,,,,,,,,,,
"Retirement Obligation",135,133,132,115,175,205,184,184,136,136,,,,,,,,,,,,
"Other Long-Term Liabilities",2061,167,246,251,434,430,630,588,203,236,4908,,,,,,,,,,,
"Total Long-Term Liabilities",13366,11068,2924,2949,2099,1387,1822,1967,7050,5884,74830,,,,,,,,,,,
"Creditors and Provisions",3137,2692,2813,2984,3715,4330,4818,4623,3664,3994,48831,,,,,,,,,,,
"Tax",170,216,,,,,,,,,,,,,,,,,,,,
"Bank Overdrafts/Short-Term Loans",705,999,8801,8363,10089,9553,9839,8203,379,811,7703,,,,,,,,,,,
"Other Current Liabilities",982,724,383,1433,173,145,165,141,570,36,6,,,,,,,,,,,
"Total Current Liabilities",4994,4631,11997,12780,13977,14028,14822,12967,4613,4841,56540,,,,,,,,,,,
