Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"6 Aug 2020","20 Mar 2020","2 Aug 2019","25 Mar 2019","8 Aug 2018","22 Mar 2018","15 Aug 2017","13 Mar 2017","15 Aug 2016","9 Mar 2016","6 Aug 2015","19 Mar 2015","7 Aug 2014","7 Mar 2014","1 Aug 2013","28 Feb 2013","2 Aug 2012","28 Feb 2012","27 Jul 2011","1 Mar 2011","4 Aug 2010",
"Turnover",661053,1557318,773040,1727792,831266,1425777,622558,1433648,901560,1657358,859497,1715240,888203,1690921,769152,1406317,652854,1261019,618627,1138130,549725,
"Cost of Sales",639130,1494235,725816,1584314,772574,1359186,599878,1371019,815025,1499277,754590,1453059,776610,1475875,674422,1179536,541924,1036271,512366,900285,431114,
"Gross Profit",21923,63083,47224,143478,58692,66591,22680,62629,86535,158081,104907,262181,111593,215046,94730,226781,110930,224748,106261,237845,118611,
"Operating Expenses",37478,80622,40509,32114,18857,13117,20066,,,,,,,,,325917,,151913,,156692,78103,
"EBITDA (ProfileData Calc)",-6239,7198,18363,,,,,,,,,,,,,,,,,,,
"EBITDA (company calc)",-4500,4836,28244,,,,,,,,,,,,,,,,,,,
"Depreciation",8103,14943,6649,,,,,,,,,,,,,,,,,,,
"Operating Income",-14603,-8778,11305,60988,14529,19299,-14606,-25780,-585,438,21324,79646,25931,-92739,15922,-91086,32150,75706,30224,88497,41722,
"Profit Before Exceptional Items",-14603,-8778,11305,60988,14529,19299,-14606,-25780,-585,438,21324,79646,25931,-92739,15922,-91086,32150,75706,30224,88497,41722,
"Profit Before Interest And Tax",-14603,-8778,11305,60988,14529,19299,-14606,-25780,-585,438,21324,79646,25931,-92739,15922,-91086,32150,75706,30224,88497,41722,
"Interest Received",261,1033,409,902,478,828,316,839,395,1037,598,1090,421,533,221,512,139,310,520,1701,1274,
"Interest Paid",4599,15723,6323,21972,11211,23946,10828,18585,9730,20397,10678,22036,10207,18885,8179,14788,6272,10976,5989,13455,6823,
"Net Interest Paid/(Received)",4338,14690,5914,21070,10733,23118,10512,17746,9335,19360,10080,20946,9786,18352,7958,14276,6133,10666,5469,11754,5549,
"Income Before Tax",-18941,-23468,5391,39918,3796,-3819,-25118,-43526,-9920,-18922,11244,58700,16145,-111091,7964,-105362,26017,65040,24755,76743,36173,
"Taxation",-4943,-6247,2150,14250,2601,2404,-5188,-7527,-3412,-5003,3261,21182,4799,10357,2520,12923,7686,19251,7799,24267,11040,
"Profit For The Period",-13998,-17221,3241,25668,1195,-6223,-19930,-35999,-6508,-13919,7983,37518,11346,-121448,5444,-118285,18331,45789,16956,52476,25133,
"Attributable Income Before Extraordinary Items",-13998,-17221,3241,25668,1195,-6223,-19930,-35999,-6508,-13919,7983,37518,11346,-121448,5444,-118285,18331,45789,16956,52476,25133,
"Extraordinary Profit",767,1360,2852,-29332,-12556,-51127,-10511,-3140,-190,1486,,394,-22,824,427,161,51,354,-14,-706,,
"Extraordinary Profit: Discontinued Operations",767,1360,2852,-29332,-12556,-51127,-10511,-3140,,,,,,,,,,,,,,
"Income Attributable To Equity Holders",-13231,-15861,6093,-3664,-11361,-57350,-30441,-39139,-6698,-12433,7983,37912,11324,-120624,5871,-118124,18382,46143,16942,51770,25133,
"Total Comprehensive Income/Loss for the period",-12911,-17514,4444,-2831,-10539,-57919,-30447,-39853,-6698,-12433,8265,37912,,-120624,,-118124,,,,,,
"Headline Earnings (Cont Ops)",-13231,-8406,6231,7019,-1144,-56193,-15988,-25722,-6696,-14225,7542,37514,11347,32777,5318,56702,18346,47847,16889,52300,24913,
"Enterprise Value (EV)",192048,140488,310077,252516,305151,137925,295353,298635,290106,229146,341945,384012,375884,405734,425289,431674,427318,313394,494931,439756,419505,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"6 Aug 2020","20 Mar 2020","2 Aug 2019","25 Mar 2019","8 Aug 2018","22 Mar 2018","15 Aug 2017","13 Mar 2017","15 Aug 2016","9 Mar 2016","6 Aug 2015","19 Mar 2015","7 Aug 2014","7 Mar 2014","1 Aug 2013","28 Feb 2013","2 Aug 2012","28 Feb 2012","27 Jul 2011","1 Mar 2011","4 Aug 2010",
"Fixed Assets",203469,204839,189769,191650,194083,293035,273538,289699,313096,313633,316786,315993,302658,284015,327639,321122,310878,305929,291678,259642,239477,
"Right-of-use Asset",10483,15171,,,,,,,,,,,,,,,,,,,,
"Intangible Assets",,,,,,,8212,7783,8483,8780,9516,9994,10789,10482,157504,157938,334847,337222,341871,343991,346068,
"Deferred Tax Asset",,798,205,,9783,4465,32226,21787,12468,8977,6692,4101,2481,,,,,,,,,
"Total Fixed Assets",213952,220808,189974,191650,203866,297500,313976,319269,334047,331390,332994,330088,315928,294497,485143,479060,645725,643151,633549,603633,585545,
"Stock",144811,175694,219486,181003,175726,162879,340932,326407,431129,321305,383417,379527,318531,289247,316714,283166,287885,244966,227577,188579,161124,
"Debtors",326897,204735,375121,230942,407543,214971,333897,275130,332587,229596,358306,255625,388911,331927,358939,226698,272861,165296,256245,131476,232563,
"Cash",13689,15789,13194,15600,14481,11520,19576,22336,23204,21817,35918,36390,25411,28677,25791,32764,17817,27715,15393,44600,22714,
"Tax",3767,2776,,,,,,,5497,5556,1891,2960,5282,3166,7829,4127,3213,574,5064,1353,1049,
"Other Current Assets",86000,86000,86521,239666,253521,198024,,,,,,1,,143,,,,,,,,
"Total Current Assets",575164,484994,694322,667211,851271,587394,694405,623873,792417,578274,779532,674503,738135,653160,709273,546755,581776,438551,504279,366008,417450,
"Total Assets",789116,705802,884296,858861,1055137,884894,1008381,943142,1126464,909664,1112526,1004591,1054063,947657,1194416,1025815,1227501,1081702,1137828,969641,1002995,
"Ordinary Share Capital & Premium",461343,461343,461343,461343,461342,441645,441645,441645,441645,441645,441645,441645,441645,441645,441645,441645,441645,441645,441645,441645,441645,
"Distributable Reserves",-3677,9554,31507,25414,17717,29078,55987,86428,119059,125567,147469,139486,113314,101968,228860,223416,360032,341701,312868,295912,268569,
"Non-Distributable Reserves",730,410,414,2063,2052,1230,1793,1799,2323,2513,1309,1027,611,633,236,-191,-301,-352,-720,-706,,
"Ordinary Shareholders' Interest",458396,471307,493264,488820,481111,471953,499425,529872,563027,569725,590423,582158,555570,544246,670741,664870,801376,782994,753793,736851,710214,
"Total Shareholders' Interest",458396,471307,493264,488820,481111,471953,499425,529872,563027,569725,590423,582158,555570,544246,670741,664870,801376,782994,753793,736851,710214,
"Interest Bearing Loans",20762,26389,32029,39005,43338,50294,47920,52025,55679,63899,72647,80267,50287,42033,39177,46059,59135,70055,77490,71513,87793,
"Deferred Tax Liability",15395,20522,16119,25971,28028,33862,32879,35026,37028,37183,39309,37306,35982,33629,34116,33425,34649,33842,30047,28566,26725,
"Other Long-Term Liabilities",12005,14404,8036,8406,1004,492,492,492,450,,2242,2891,1873,1774,2240,2301,2631,1756,2316,2370,,
