Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"17 Aug 2020","24 Feb 2020","28 Oct 2019","25 Feb 2019","20 Aug 2018","26 Feb 2018","21 Aug 2017","27 Feb 2017","12 Sep 2016","7 Mar 2016","7 Sep 2015","9 Mar 2015","8 Sep 2014","10 Mar 2014","9 Sep 2013","11 Mar 2013","10 Sep 2012","12 Mar 2012","12 Sep 2011","7 Mar 2011","13 Sep 2010",
"Turnover",190367,99170,203576,102944,181461,88153,172407,84895,172942,84475,185266,99837,202683,98268,169891,79850,159114,83303,142436,67232,122256,
"Cost of Sales",,,,,,,,,,,,,,,,,,53936,90467,42901,79183,
"Gross Profit",,,,,,,,,,,,,,,,,,29367,51969,24331,43073,
"Operating Expenses",,,,,,,,,,,,,,,,,,,,12605,,
"EBITDA (ProfileData Calc)",-87370,20758,26676,28441,34471,20453,48338,21978,,,,,,,,,,,,,,
"Depreciation",22575,10977,17968,8392,16425,8301,16204,8174,,,,,,,,,,,,,,
"Operating Income",-110683,9483,8623,19915,16304,11020,30634,13346,23730,14275,44492,28361,41674,19381,38779,18280,31749,20476,29950,12018,23937,
"Profit Before Exceptional Items",-110683,9483,8623,19915,16304,11020,30634,13346,23730,14275,44492,28361,41674,19381,38779,18280,31749,20476,29950,12018,23937,
"Exceptional Item 1",,,,,,,,,,,,,,,,,,,,-627,,
"Exceptional Item 1: Exceptional Item 1",,,,,,,,,,,,,,,,,,,,-919,,
"Exceptional Item 1: Non-trading item profit",,,,,,,,,,,,,,,,,,,,292,,
"Profit Before Interest And Tax",-110683,9483,8623,19915,16304,11020,30634,13346,23730,14275,44492,28361,41674,19381,38779,18280,31749,20476,29950,11391,23937,
"Interest Received",922,381,787,420,1716,1192,1568,807,1819,719,1274,594,1220,512,,,,428,991,565,1332,
"Interest Paid",7303,2636,1253,252,3759,1689,3265,1409,2340,1080,2230,1060,1925,961,,,,972,1817,983,2114,
"Net Interest Paid/(Received)",6381,2255,466,-168,2043,497,1697,602,521,361,956,466,705,449,1139,561,1007,544,826,418,782,
"Income From Associates Before Tax",-347,370,1074,876,1443,766,1071,326,509,641,2057,1673,4144,2153,2066,796,4961,269,292,137,217,
