Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2020","7 Jul 2020","28 Nov 2019","31 May 2019","18 Oct 2018","31 May 2018","19 Oct 2017","31 May 2017","7 Oct 2016","31 May 2016","11 Nov 2015","5 Jun 2015","31 Oct 2014","29 May 2014","31 Oct 2013","9 May 2013","24 Oct 2012","10 May 2012","27 Oct 2011","9 May 2011","28 Oct 2010","26 May 2010",
"Turnover",62326,123731,62057,126244,63737,117678,56181,120055,60703,125825,58348,119097,59832,111861,56890,108347,55067,112637,49992,102068,47179,90922,
"Cost of Sales",38562,77554,38561,78296,38907,76547,36149,73690,37680,73286,39548,81456,40737,72109,37165,65303,33096,69620,30492,61585,29278,59080,
"Gross Profit",23764,46177,23496,47948,24830,41131,20032,46365,24436,52539,18800,37641,19095,39752,19725,43044,20976,43017,19500,40483,17901,31842,
"Operating Expenses",21613,,23124,,22230,,23570,,23360,31639,18974,40944,-18593,32171,15503,32540,16455,31790,15386,29528,13373,26677,
"EBITDA (ProfileData Calc)",,,,,,,,,,,,,,,,10504,,11227,,,,,
"Depreciation",,,,,,,,,1779,,1580,2568,826,2569,1255,2660,1303,2427,984,1859,795,1730,
"Operating Income",2527,1946,406,5039,2600,-4402,-3506,914,1267,7537,-1754,-5471,-324,5012,2967,7844,3218,8800,3130,9096,3733,3435,
"Other Income",,,,,76,,485,,,,,,,,,,,,,,,,
"Profit Before Exceptional Items",2527,1946,406,5039,2676,-4402,-3021,914,1267,7537,-1754,-5471,-324,5012,2967,7844,3218,8800,3130,9096,3733,3435,
"Profit Before Interest And Tax",2527,1946,406,5039,2676,-4402,-3021,914,1267,7537,-1754,-5471,-324,5012,2967,7844,3218,8800,3130,9096,3733,3435,
"Interest Received",,,,,,,,,,,,,,,,,,,,-1483,,-91,
"Interest Paid",,,,,,,,,,,,,,,,1437,,1415,,,,,
"Net Interest Paid/(Received)",311,852,551,1197,559,1029,432,871,462,1287,672,-1231,615,1235,519,1437,591,1415,697,1483,442,91,
"Income Before Tax",2216,1094,-145,3842,2117,-5431,-3453,43,805,6250,-2426,-4240,-939,3777,2448,6407,2627,7385,2433,7613,3291,3344,
"Taxation",1155,-1031,-22,1340,863,-897,-684,-370,311,1244,-105,-2083,-480,1416,788,1970,745,3047,855,2785,1053,1001,
"Profit For The Period",1061,2125,-123,2502,1254,-4534,-2769,413,494,5006,-2321,-2157,-459,2361,1660,4437,1882,4338,1578,4828,2238,2343,
"Attributable Income Before Extraordinary Items",1061,2125,-123,2502,1254,-4534,-2769,413,494,5006,-2321,-2157,-459,2361,1660,4437,1882,4338,1578,4828,2238,2343,
"Extraordinary Profit",,,,,,,,,,,,,,97,,-402,,,,,,,
"Extraordinary Profit: Discontinued Operations",,,,,,,,,,,,,,97,,-402,,,,,,,
"Income Attributable To Equity Holders",1061,2125,-123,2502,1254,-4534,-2769,413,494,5006,-2321,-2157,-459,2458,1660,4035,1882,4338,1578,4828,2238,2343,
"Total Comprehensive Income/Loss for the period",1217,2996,-154,3365,1162,-4549,-2777,1445,581,4722,-3157,459,,,,,,,,,,,
"Headline Earnings (Cont Ops)",1054,2236,-123,2573,1263,-4403,-2888,502,494,5054,-2321,-2157,-241,1455,1660,4474,1882,4338,1578,4789,2238,2290,
"Enterprise Value (EV)",20800,21262,21613,33758,44046,25464,37362,24871,41551,37305,36414,48300,38828,42479,40082,47402,57320,51266,44400,42928,47662,34675,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"30 Nov 2020","7 Jul 2020","28 Nov 2019","31 May 2019","18 Oct 2018","31 May 2018","19 Oct 2017","31 May 2017","7 Oct 2016","31 May 2016","11 Nov 2015","5 Jun 2015","31 Oct 2014","29 May 2014","31 Oct 2013","9 May 2013","24 Oct 2012","10 May 2012","27 Oct 2011","9 May 2011","28 Oct 2010","26 May 2010",
"Fixed Assets",27602,27940,26877,31047,31047,28994,30753,31098,28394,31042,35172,31256,28998,28800,28800,34237,35796,35978,36848,36872,33762,22406,
"Right-of-use Asset",4260,,,,,,,,,,,,,,,,,,,,,,
"Goodwill",437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,
"Intangible Assets",1734,1910,1383,1886,1108,1141,1360,1622,1943,2202,1066,2904,994,923,923,1081,7,7,8,8,5,5,
"Deferred Tax Asset",,4601,,,,,,,,,,,,,,,,,,,,,
"Other Assets",,,4636,,,,,,,,,,,,,,,,,,,,
"Total Fixed Assets",34033,34888,33333,33370,32592,30572,32550,33157,30774,33681,36675,34597,30429,30160,30160,35755,36240,36422,37293,37317,34204,22848,
"Stock",18997,18652,16711,20091,17555,16768,18926,17051,16054,17433,17985,19202,,17230,,,,,,,,,
"Debtors",21116,16435,17378,16531,23365,16255,17854,16419,18044,20911,15482,15865,,17811,,,,,,,,,
"Cash",2057,1461,1533,538,461,635,309,1823,1445,1596,811,626,,3,,,,,,,,,
"Tax",,,,,,,,207,577,346,2073,1774,,248,,,,,,,,,
"Other Current Assets",,,,,22,126,5,95,13,,,2932,51157,7489,42781,36220,49985,39872,38671,34638,,38764,
"Total Current Assets",42170,36548,35622,37160,41403,33784,37094,35595,36133,40286,36351,40399,51157,42781,42781,36220,49985,39872,38671,34638,38257,38764,
"Total Assets",76203,71436,68955,70530,73995,64356,69644,68752,66907,73967,73026,74996,81586,72941,72941,71975,86225,76294,75964,71955,72461,61612,
"Ordinary Share Capital & Premium",6871,6871,6871,6871,6871,6871,6871,6871,6871,6871,6871,6871,6871,6871,6871,6871,6871,6871,6871,6871,6871,6871,
"Distributable Reserves",41799,40582,37338,37430,27938,24536,35789,28155,36401,25985,35387,32576,38755,35682,35682,34989,35767,24397,33342,21619,29136,18617,
"Non-Distributable Reserves",,,,,,,,,,,,,,,,,,9630,,10350,,8596,
"Translation Reserves",,,,,94,2,,17,,131,,,,,,,,-93,,-207,,98,
"Other Capital",,,,,7379,9527,,10442,,11053,,,,,,,,,,,,,
"Ordinary Shareholders' Interest",48670,47453,44209,44301,42282,40936,42660,45485,43272,44040,42258,39447,45626,42553,42553,41860,42638,40805,40213,38633,36007,34182,
"Total Shareholders' Interest",48670,47453,44209,44301,42282,40936,42660,45485,43272,44040,42258,39447,45626,42553,42553,41860,42638,40805,40213,38633,36007,34182,
"Interest Bearing Loans",1617,2217,2601,2350,2384,389,714,386,587,1143,3154,3088,4627,4253,4253,5873,8462,7603,8210,8792,10362,2865,
