Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"15 Sep 2020","24 Feb 2020","26 Aug 2019","25 Feb 2019","27 Aug 2018","19 Feb 2018","28 Aug 2017","20 Feb 2017","29 Aug 2016","16 Feb 2016","24 Aug 2015","23 Feb 2015","18 Aug 2014","10 Feb 2014","20 Aug 2013","12 Feb 2013","20 Aug 2012","20 Feb 2012","16 Aug 2011","22 Feb 2011","18 Aug 2010",
"Turnover",34578.298,18863.505,37861.772,19441.603,35662.856,17966.337,29873.856,14094.915,25949.004,12242.46,19817.915,8747.104,14296.765,7136.317,11717.972,5428.616,10204.811,4667.881,7834.829,3800.647,6991.748,
"Operating Expenses",31208.391,,34097.93,,,,,,,,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",2015.744,1941.117,3405.376,1684.097,3088.857,1469.72,2687.934,1294.137,2606.808,,,,,,,,,,,,,
"EBITDA (company calc)",3369.907,,3763.842,,,,,,,,,,,,,,,,,,,
"Depreciation",1117.238,754.235,920.97,454.366,857.232,424.066,750.697,345.266,787.339,364.731,645.416,315.506,579.641,269.288,359.254,147.906,459.381,245.223,538.399,258.046,537.761,
"Operating Income",1578.021,1185.704,2673.903,1298.355,2435.51,1149.238,2116.053,1036.811,1952.003,882.915,1501.136,716.293,1344.509,650.61,1134.016,517.417,929.593,405.271,612.466,298.122,490.17,
"Profit Before Exceptional Items",1578.021,1185.704,2673.903,1298.355,2435.51,1149.238,2116.053,1036.811,1952.003,882.915,1501.136,716.293,1344.509,650.61,1134.016,517.417,929.593,405.271,612.466,298.122,490.17,
"Exceptional Item 1",-879.157,,-68.278,,,,,,,,,,,,,,,,,,,
"Profit Before Interest And Tax",698.864,1185.704,2605.625,1298.355,2435.51,1149.238,2116.053,1036.811,1952.003,882.915,1501.136,716.293,1344.509,650.61,1134.016,517.417,929.593,405.271,612.466,298.122,490.17,
"Interest Received",226.676,116.124,193.585,91.426,136.727,61.516,161.171,82.917,140.264,,,,,,,,,,,,,
"Interest Paid",807.99,409.132,540.098,270.933,467.196,230.41,441.171,207.137,394.921,,,,,,,,,,,,,
