Income statement (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"26 Nov 2020","30 Jul 2020","28 Nov 2019","30 May 2019","8 Nov 2018","17 May 2018","9 Nov 2017","18 May 2017","10 Nov 2016","19 May 2016","12 Nov 2015","21 May 2015","13 Nov 2014","22 May 2014","21 Nov 2013","14 May 2013","13 Nov 2012","15 May 2012","15 Nov 2011","24 May 2011","10 Nov 2010","18 May 2010",
"Turnover",1662.23,5316.203,2910.718,9875.023,5131.604,10389.559,5189.505,9149.604,4417.281,9737.386,5282.505,10648.379,5627.87,9225.584,4864.363,9057.386,4792.277,8068.483,3859.003,6896.418,3581.03,7365.023,
"Cost of Sales",,,,,,,,,,,,,,,,,,,,5852.862,,6255.962,
"Gross Profit",,,,,,,,,,,,,,,,,,,,1043.556,,1109.061,
"Operating Expenses",,,,,,,,,,,,,,,,,,,,497.982,,493,
"EBITDA (ProfileData Calc)",-39.011,-816.935,-799.769,168.153,300.027,-226.606,236.867,137.965,219.744,600.763,282.638,560.725,255.723,410.74,208.868,145.148,4.803,587.994,285.367,654.286,325.785,721.352,
"EBITDA (company calc)",-44.952,-689.51,-802.393,55.558,240.853,,,,,,,,,,,,,,,,,,
"Depreciation",33.216,-74.173,36.161,213.549,116.044,184.435,90.363,145.882,71.688,159.273,83.81,153.429,71.513,140.576,77.584,195.029,-102.342,185.577,86.575,147.654,69.571,138.587,
"Operating Income",-101.15,-816.318,-864.925,-157.991,124.809,-505.982,109.777,-106.396,100.345,391.965,176.144,335.381,162.744,223.471,113.831,219.004,87.207,359.013,178.651,442.329,221.836,500.745,
"Profit Before Exceptional Items",-101.15,-816.318,-864.925,-157.991,124.809,-505.982,109.777,-106.396,100.345,391.965,176.144,335.381,162.744,223.471,113.831,219.004,87.207,359.013,178.651,442.329,221.836,500.745,
"Exceptional Item 1",,,,,,,,,,,,,,,,-323,,,,,,,
"Profit Before Interest And Tax",-101.15,-816.318,-864.925,-157.991,124.809,-505.982,109.777,-106.396,100.345,391.965,176.144,335.381,162.744,223.471,113.831,-103.996,87.207,359.013,178.651,442.329,221.836,500.745,
"Interest Received",18.627,24.965,13.264,43.96,20.982,49.113,23.004,44.864,15.024,34.049,15.286,41.544,17.365,32.984,17.614,36.892,17.317,41.636,19.631,61.591,34.111,85.518,
"Interest Paid",56.943,79.648,40.588,101.129,50.201,82.842,36.01,85.597,36.862,60.422,26.345,41.664,20.893,48.987,24.931,60.596,30.364,37.919,17.232,25.27,12.447,25.288,
"Net Interest Paid/(Received)",38.316,54.683,27.324,57.169,29.219,33.729,13.006,40.733,21.838,26.373,11.059,0.12,3.528,16.003,7.317,23.704,13.047,-3.717,-2.399,-36.321,-21.664,-60.23,
"Income From Associates Before Tax",6.966,47.486,15.787,68.075,38.339,41.388,12.338,40.893,21.715,19.04,8.659,32.72,5.144,14.229,-0.161,17.223,2.621,1.768,0.51,2.712,0.267,0.973,
"Income Before Tax",-132.5,-823.515,-876.462,-147.085,133.929,-498.323,109.109,-106.236,100.222,384.632,173.744,367.981,164.36,221.697,106.353,-110.477,76.781,364.498,181.56,481.362,243.767,561.948,
