Income statement (ZAR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"17 Nov 2020","22 Jun 2020","19 Nov 2019","11 Jun 2019","20 Nov 2018","12 Jun 2018","21 Nov 2017","13 Jun 2017","22 Nov 2016","14 Jun 2016",
"Turnover",390869,698822,330856,524351,225769,310177,114710,166663,78526,56900,
"Operating Expenses",105436,178186,81027,135837,59879,76917,25466,38348,,,
"Operating Income",245526,466097,223782,352544,146825,218390,84501,117068,56245,39784,
"Profit Before Exceptional Items",245526,466097,223782,352544,146825,218390,84501,117068,56245,39784,
"Amortisation",6206,10837,4017,6679,2229,2232,933,1552,756,525,
"Exceptional Item 1",450743,-294851,47610,-52703,-32960,375396,58686,127281,-1263,18126,
"Profit Before Interest And Tax",690063,160409,267375,293162,111636,591554,142254,242797,54226,57385,
"Interest Received",25678,58258,26692,48917,22125,23601,5942,13026,5250,4118,
"Interest Paid",59635,116625,49698,81786,22021,33091,10970,15769,5768,4996,
"Net Interest Paid/(Received)",33957,58367,23006,32869,-104,9490,5028,2743,518,878,
"Income Before Tax",656106,102042,244369,260293,111740,582064,137226,240054,53708,56507,
"Taxation",33118,-3175,3466,2398,-476,3839,1232,-671,,,
"Profit For The Period",622988,105217,240903,257895,112216,578225,135994,240725,53708,56507,
"Income Attributable To Minority Interests",4001,330,686,329,1095,1499,,,,,
"Attributable Income Before Extraordinary Items",618987,104887,240217,257566,111121,576726,135994,240725,53708,56507,
"Income Attributable To Equity Holders",618987,104887,240217,257566,111121,576726,135994,240725,53708,56507,
"Total Comprehensive Income/Loss for the period",591288,347637,224988,401078,239238,454323,134954,239359,53708,56507,
"Headline Earnings (Cont Ops)",185302,208069,169879,175961,111121,374126,135623,113444,53708,38733,
"Enterprise Value (EV)",7207990,7115685,7169847,6584363,4713311,4542562,2410604,2190277,1525190,1422590,

Balance sheet (ZAR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
