Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"27 Aug 2020","19 Feb 2020","29 Aug 2019","21 Feb 2019","23 Aug 2018","22 Feb 2018","30 Aug 2017","23 Feb 2017","25 Aug 2016","25 Feb 2016","6 Aug 2015","19 Feb 2015","31 Jul 2014","20 Feb 2014","13 Aug 2013","1 Mar 2013",
"Working Revenue",55018.7,72925.4,23534.9,50656.4,23910,45911.6,19219.2,31240.7,14704.7,22717.4,10245.5,21780.5,9828.5,19331.2,9215.4,16553.5,
"Working Cost",37725.3,56100.4,20662.1,41515.2,19642.4,36482.7,15986.7,20709.1,9311.8,16380.4,7879.5,,6340.4,,5849.5,,
"Working Profit",13849.8,16825,2872.8,9141.2,4267.6,9428.9,3232.5,10531.6,5392.9,6337,2366,7469.1,1999.9,7357.9,1977.1,5679.9,
"Profit Before Exceptional Items",13849.8,16825,2872.8,9141.2,4267.6,9428.9,3232.5,10531.6,5392.9,6337,2366,7469.1,1999.9,7357.9,1977.1,5679.9,
"Amortisation",3443.6,7214.1,2924.7,6613.8,3094.7,5699.7,2496.7,4041.9,1945.4,3636.6,1608.6,3254.7,1488.2,3103.9,1388.8,2362.8,
"Exceptional Income",2098.4,-8890,-1232,-1655.9,-15.5,-8844.2,-4806.2,-1686.5,-2545.7,-1596.2,-560.5,-1191.9,426.4,-2091,-48.8,-723.8,
"Profit Before Interest And Tax",12504.6,720.9,-1283.9,871.5,1157.4,-5115,-4070.4,4803.2,901.8,1104.2,196.9,3022.5,938.1,2163,539.5,2593.3,
"Interest Received",504.1,560.4,287.3,482.1,191.3,415.5,194.8,331.4,161.8,257,116.9,183.2,88.7,160.3,57.8,105.5,
