Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"31 Aug 2020","16 Mar 2020","2 Sep 2019","18 Mar 2019","3 Sep 2018","19 Mar 2018","29 Sep 2017","27 Mar 2017","22 Aug 2016","22 Feb 2016","24 Aug 2015","23 Feb 2015","25 Aug 2014","24 Feb 2014","26 Aug 2013","25 Feb 2013","27 Aug 2012","27 Feb 2012","29 Aug 2011","28 Feb 2011","27 Aug 2010",
"Turnover",2539,17232,5596,16614,5469,15351,7560,7700,12186,5837,10553,5290,9970,4963,10267,5221,9494,4766,8651,4412,7797,
"Operating Expenses",,,,,,,,,10147,5291,7950,3886,7480,3704,7536,3753,4463,3497,4463,3204,4197,
"EBITDA (ProfileData Calc)",-632,4027,1333,3647,1253,3224,1476,2086,1970,734,2896,1750,2288,1193,2526,1344,2405,1233,2213,1025,2206,
"Depreciation",515,1669,593,1650,577,1593,822,788,1131,531,992,484,900,434,851,412,818,388,769,379,685,
"Operating Income",-1652,2700,871,2260,786,2160,1007,877,926,15,2077,1382,1590,825,1880,1056,2103,881,1809,754,1646,
"Non Trading Income",,,,,,,,,,,,,,,,,24,24,,,,
"Profit Before Exceptional Items",-1652,2700,871,2260,786,2160,1007,877,926,15,2077,1382,1590,825,1880,1056,2127,905,1809,754,1646,
"Exceptional Item 1",502,39,24,10,75,-334,-174,165,-227,254,-103,-32,7,5,57,10,-338,69,-265,-79,-32,
"Profit Before Interest And Tax",-1150,2739,895,2270,861,1826,833,1042,699,269,1974,1350,1597,830,1937,1066,1789,974,1544,675,1614,
"Interest Received",1,17,6,77,10,34,10,20,33,20,51,12,22,11,31,15,37,16,43,22,60,
"Interest Paid",556,1176,498,1255,566,1088,515,542,756,349,625,288,546,270,505,264,521,237,496,265,566,
"Net Interest Paid/(Received)",555,1159,492,1178,556,1054,505,522,723,329,574,276,524,259,474,249,484,221,453,243,506,
"Income From Associates Before Tax",2,3,1,8,3,2,1,1,18,32,20,-1,,,,,,,,,-3,
"Income Before Tax",-1703,1583,404,1100,308,774,329,521,-6,-28,1420,1073,1073,571,1463,817,1305,753,1091,432,1105,
"Taxation",-540,526,186,546,183,495,198,256,533,303,435,235,391,224,473,288,434,308,515,233,448,
"Profit For The Period",-1163,1057,218,554,125,279,131,265,-539,-331,985,838,682,347,990,529,871,445,576,199,657,
"Income Attributable To Minority Interests",,401,162,358,198,231,190,-235,-89,118,141,95,231,82,293,149,239,145,143,51,150,
"Attributable Income Before Extraordinary Items",-1163,656,56,196,-73,48,-59,500,-450,-449,844,743,451,265,697,380,632,300,433,148,507,
"Extraordinary Profit",-264,-3,111,-203,210,-291,1,-51,36,4,46,47,67,37,,,,,,,,
"Extraordinary Profit: Discontinued Operations",-264,-3,111,-203,210,-291,1,4,36,,,47,67,37,,,,,,,,
"Extraordinary Profit: Profit for discontinued operations",,,,,,,,,,4,46,,,,,,,,,,,
"Income Attributable To Equity Holders",-1427,653,167,-7,137,-243,-58,248,-414,-445,890,790,518,302,697,380,632,300,433,148,507,
