Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (16m)","Interim (12m)","Interim (6m)","Final (12m)",
,"17 Sep 2020","17 Feb 2020","12 Sep 2019","14 Feb 2019","11 Sep 2018","19 Feb 2018","18 Sep 2017","20 Feb 2017","19 Sep 2016","15 Feb 2016","21 Sep 2015","16 Feb 2015","16 Sep 2014","25 Feb 2014","17 Sep 2013","25 Feb 2013","25 Sep 2012","27 Feb 2012","19 Sep 2011","16 May 2011","19 Oct 2010","11 May 2010",
"Turnover",90411,45029,87696,45714,94881,47456,93112,46158,86442,39646,80943,38342,83844,39072,82247,41720,82576,47578,121042,92993,52162,106508,
"Operating Expenses",83210,43057,96393,47520,76960,44714,79566,40395,73162,34657,,34440,75979,36404,79348,41019,84213,44956,121143,,50664,86052,
"EBITDA (ProfileData Calc)",8543,,,,,,,,14799,,,,,,,,,,,,,,
"Depreciation",4417,,2287,,1424,,1338,,1395,,,,,,,,,,,,,,
"Operating Income",3214,2083,-8423,-1663,8195,2840,12872,6197,12037,5077,11012,3913,8295,2701,3215,827,-4103,3103,-3004,-11263,1553,21679,
"Profit Before Exceptional Items",3214,2083,-8423,-1663,8195,2840,12872,6197,12037,5077,11012,3913,8295,2701,3215,827,-4103,3103,-3004,-11263,1553,21679,
"Exceptional Item 1",,,,,,,,,,,,,,,,,-1634,-76,-15952,,,,
"Profit Before Interest And Tax",3214,2083,-8423,-1663,8195,2840,12872,6197,12037,5077,11012,3913,8295,2701,3215,827,-5737,3027,-18956,-11263,1553,21679,
"Interest Received",912,515,492,262,492,233,1317,675,1367,634,468,164,167,77,182,44,156,81,396,335,435,1001,
"Interest Paid",515,430,,991,,,,,250,,1,,27,26,310,84,164,36,14,12,1,517,
"Net Interest Paid/(Received)",-397,-85,-492,729,-492,-233,-1317,-675,-1117,-634,-467,-164,-140,-51,128,40,8,-45,-382,-323,-434,-484,
"Income From Associates Before Tax",,,,,,,,,,,,,,,,,,,-34,,,9,
