Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"8 Dec 2020","10 Jun 2020","4 Dec 2019","3 Jun 2019","30 Nov 2018","25 May 2018","1 Dec 2017","24 May 2017","30 Nov 2016","26 May 2016","25 Nov 2015",
"Turnover",661.009,308.084,508.107,229.268,421.913,207.308,333.143,147.483,276.249,131.391,234.051,
"Operating Expenses",381.886,187.58,339.394,165.358,278.886,137.032,230.402,113.189,198.749,93.728,160.607,
"Operating Income",279.123,120.504,168.713,63.91,143.027,70.276,102.741,48.158,101.564,48.622,83.981,
"Profit Before Exceptional Items",279.123,120.504,168.713,63.91,143.027,70.276,102.741,48.158,101.564,48.622,83.981,
"Exceptional Item 1",8.536,4.871,-0.701,-4.413,-6.979,-19.067,14.975,,,,,
"Profit Before Interest And Tax",287.659,125.375,168.012,59.497,136.048,51.209,117.716,48.158,101.564,48.622,83.981,
"Interest Received",26.315,14.095,26.266,13.079,26.432,12.82,21.47,,,,,
"Interest Paid",16.408,8.282,12.399,5.588,14.133,8.002,5.833,,0.655,0.351,0.445,
"Net Interest Paid/(Received)",-9.907,-5.813,-13.867,-7.491,-12.299,-4.818,-15.637,,0.655,0.351,0.445,
"Income Before Tax",297.566,131.188,181.879,66.988,148.347,56.027,133.353,48.158,100.909,48.271,83.536,
"Taxation",91.484,39.932,55.938,22.787,47.378,19.029,40.804,13.858,28.604,13.354,24.224,
"Profit For The Period",206.082,91.256,125.941,44.201,100.969,36.998,92.549,34.3,72.305,34.917,59.312,
"Attributable Income Before Extraordinary Items",206.082,91.256,125.941,44.201,100.969,36.998,92.549,34.3,72.305,34.917,59.312,
"Income Attributable To Equity Holders",206.082,91.256,125.941,44.201,100.969,36.998,92.549,34.3,72.305,34.917,59.312,
"Total Comprehensive Income/Loss for the period",206.076,91.29,125.923,44.201,100.969,36.998,92.549,34.3,72.305,34.917,,
"Headline Earnings (Cont Ops)",206.082,91.256,128.102,46.362,100.969,36.998,92.549,34.301,72.31,34.917,60.397,
"Enterprise Value (EV)",1967.677,924.058,1314.1,1312.773,1246.447,1558.234,1062.005,1893.699,1798.658,2421.661,-94.432,

