Income statement (GBP million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","21 May 2020","14 Nov 2019","24 May 2019","8 Nov 2018","24 May 2018","9 Nov 2017","24 May 2017","24 Nov 2016","24 May 2016","9 Nov 2015","29 May 2015","22 Oct 2014","29 May 2014","25 Oct 2013","30 May 2013","30 Oct 2012","30 May 2012","21 Nov 2011","20 May 2011","16 Nov 2010","3 May 2010",
"Turnover",34.512,94.608,47.71,96.438,48.566,101.471,50.267,42.535,20.905,28.651,12.206,20.731,10.052,12.559,5.795,10.095,4.719,7.498,3.116,5.929,3.111,4.783,
"Operating Expenses",,19.025,,21.166,,19.383,,18.523,,,,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",12.224,63.355,31.353,67.827,31.745,88.299,40.313,65.822,16.889,,,,,,,,,,,,,,
"Depreciation",1.131,2.881,4.403,3.006,1.531,2.656,1.231,2.018,0.931,,,,,,,,,,,,,,
"Operating Income",10.792,58.13,26.488,54.976,29.208,81.803,36.803,63.789,19.482,17.787,9.146,10.955,5.283,7.884,4.18,6.384,1.034,-1.554,-2.308,3.998,1.589,3.841,
"Other Income",,,,,,0.662,,,,,,,,,,,,,,,,,
"Profit Before Exceptional Items",10.792,58.13,26.488,54.976,29.208,82.465,36.803,63.789,19.482,17.787,9.146,10.955,5.283,7.884,4.18,6.384,1.034,-1.554,-2.308,3.998,1.589,3.841,
"Exceptional Item 1",-1.921,-1.141,-2.266,2.473,0.017,,0.199,,,,,,,,,,,,,,,,
"Profit Before Interest And Tax",8.871,56.989,24.222,57.449,29.225,82.465,37.002,63.789,19.482,17.787,9.146,10.955,5.283,7.884,4.18,6.384,1.034,-1.554,-2.308,3.998,1.589,3.841,
"Interest Received",3.14,7.663,4.039,7.975,1.687,6.152,3.095,5.273,0.843,3.6,1.868,0.809,0.087,0.157,0.051,,0.191,,0.12,,0.058,,
"Interest Paid",18.065,47.247,24.51,51.241,24.947,51.877,26.417,16.591,4.449,6.684,2.846,2.289,0.377,0.245,0.034,,0.025,,1.099,,1.124,,
"Net Interest Paid/(Received)",14.925,39.584,20.471,43.266,23.26,45.725,23.322,11.318,3.606,3.084,0.978,1.48,0.29,0.088,-0.017,-0.194,-0.166,1.168,0.979,2.065,1.066,1.844,
"Income From Associates Before Tax",0.538,,0.042,0.013,0.035,0.539,0.027,0.059,0.21,0.578,0.239,0.165,0.072,,,,,,,,,,
"Income Before Tax",-5.516,17.405,3.793,14.196,6,37.279,13.707,52.53,16.086,15.281,8.407,9.64,5.065,7.796,4.197,6.578,1.2,-2.722,-3.287,1.933,0.523,1.997,
"Taxation",1.769,7.242,2.886,0.664,-0.084,7,4.715,3.351,0.615,0.638,0.404,0.605,0.277,0.514,0.221,0.084,0.151,0.124,0.034,-0.015,0.001,-0.354,
"Profit For The Period",-7.285,10.163,0.907,13.532,6.084,30.279,8.992,49.179,15.471,14.643,8.003,9.035,4.788,7.282,3.976,6.494,1.049,-2.846,-3.321,1.948,0.522,2.351,
"Income Attributable To Minority Interests",1.456,4.178,1.353,0.616,0.733,3.513,1.042,5.317,4.577,0.363,0.185,1.203,0.833,0.89,0.31,-0.033,0.292,-0.353,0.071,0.728,-0.038,-0.02,
"Attributable Income Before Extraordinary Items",-8.741,5.985,-0.446,12.916,5.351,26.766,7.95,43.862,10.894,14.28,7.818,7.832,3.955,6.392,3.666,6.527,0.757,-2.493,-3.392,1.22,0.56,2.371,
"Extraordinary Profit",,,,0.296,0.304,4.06,2.893,3.624,,,,,,,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",,,,0.296,0.304,4.06,2.893,,,,,,,,,,,,,,,,
"Income Attributable To Equity Holders",-8.741,5.985,-0.446,13.212,5.655,30.826,10.843,47.486,10.894,14.28,7.818,7.832,3.955,6.392,3.666,6.527,0.757,-2.493,-3.392,1.22,0.56,2.371,
"Total Comprehensive Income/Loss for the period",-27.673,-5.291,0.98,-5.407,-14.857,31.772,7.37,67.571,18.898,10.493,3.833,8.325,,,,,,,,,,,
"Headline Earnings (Cont Ops)",1.194,23.314,17.439,19.956,5.734,22.638,8.596,4.578,2.421,9.629,7.189,,3.955,,3.666,,0.337,,-3.938,,0.56,,
"Enterprise Value (EV)",2943.188,2886.911,3475.722,3628.414,3754.165,4540.813,4835.057,5685.75,4977.105,5583.622,3975.798,2921.477,2959.046,1897.82,1292.474,1209.337,949.137,723.859,794.155,265.887,363.797,333.657,

Balance sheet (GBP million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"12 Nov 2020","21 May 2020","14 Nov 2019","24 May 2019","8 Nov 2018","24 May 2018","9 Nov 2017","24 May 2017","24 Nov 2016","24 May 2016","9 Nov 2015","29 May 2015","22 Oct 2014","29 May 2014","25 Oct 2013","30 May 2013","30 Oct 2012","30 May 2012","21 Nov 2011","20 May 2011","16 Nov 2010","3 May 2010",
