Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)",
,"23 Sep 2020","10 Mar 2020","19 Sep 2019","5 Mar 2019","1 Oct 2018","5 Mar 2018","4 Sep 2017","6 Mar 2017","29 Aug 2016","23 Feb 2016","27 Aug 2015","23 Feb 2015","25 Aug 2014","24 Feb 2014","19 Aug 2013","25 Feb 2013","17 Sep 2012","12 Mar 2012","3 Oct 2011",
"Turnover",519185,273409,555665,288467,588913,303219,598829,300263,572233,253806,410771,177011,273598,126914,229840,112903,171854,70168,56197,
"Other Expenses",183780,101762,193434,100410,171925,90830,158068,92050,171521,88947,127269,66530,89571,50866,74948,42772,78507,43270,24284,
"Net Rental / Investment Income",335405,171647,362231,188057,416988,212389,440761,208213,400712,164859,283502,110481,184027,76048,154892,70131,93347,26898,31913,
"Interest Receivable",85780,47687,90535,42520,84713,51834,97665,48281,84877,23888,585,1441,8299,1107,1616,676,2005,1054,232,
"Total Income",421185,219334,452766,230577,501701,264223,538426,256494,485589,188747,284087,111922,192326,77155,156508,70807,95352,27952,32145,
"Debenture Interest",,,,,,,,,,,,,64022,67649,93174,45835,45694,44694,1987,
"Interest Payable",168891,87822,184198,90740,167016,80983,159520,79895,130820,51065,77588,30541,41421,16110,40821,17814,25085,8372,15204,
"Income Before Exceptional Items",252294,131512,268568,139837,334685,183240,378906,176599,354769,137682,206499,81381,86883,-6604,22513,7158,24573,-25114,14954,
"Amortisation",,,,,,,,,,,,,2159,-2159,-1889,-953,-1679,,,
"Exceptional Item 1",-313772,-38332,-776714,-44036,-452149,-182298,-73580,63631,-30877,-162682,153468,12418,110303,6709,36083,-4439,29948,-29448,-23855,
"Income Before Tax",-61478,93180,-508146,95801,-117464,942,305326,240230,323892,-25000,359967,93799,195027,2264,60485,3672,56200,-54562,-8901,
"Tax",69023,540,29792,12167,-611,-4773,14326,,,,8063,120,370,593,-84849,3312,35098,2111,-1981,
"Profit For The Period",-130501,92640,-537938,83634,-116853,5715,291000,240230,323892,-25000,351904,93679,194657,1671,145334,360,21102,-56673,-6920,
"Net Income Before Extraords",-130501,92640,-537938,83634,-116853,5715,291000,240230,323892,-25000,351904,93679,194657,1671,145334,360,21102,-56673,-6920,
"Extraordinary Items",102241,18558,1075,13935,55177,-18934,-167552,,,,,,,,,,,,,
"Extraordinary Items: Exchange differences",,18558,,13935,,-18934,,,,,,,,,,,,,,
"Income Attributable To Equity Holders",-28260,111198,-536863,97569,-61676,-13219,123448,240230,323892,-25000,351904,93679,194657,1671,145334,360,21102,-56673,-6920,
"Total Comprehensive Income/Loss for the period",-28260,111198,-536863,97569,-61676,-13219,123448,71533,212090,23908,361127,,,,,,,,,
"Headline Earnings (Cont Ops)",-81586,92640,194317,92263,93737,5715,403292,243345,444429,77454,166294,80033,145777,67161,117532,45242,4322,-19830,9608,
"Enterprise Value (EV)",2013937,1815764,1668521,3243920,2381429,3861265,3982090,4152569,4638738,4935082,4088426,3048210,1841644,1909972,1408561,1356372,1098167,1012744,294531,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)",
,"23 Sep 2020","10 Mar 2020","19 Sep 2019","5 Mar 2019","1 Oct 2018","5 Mar 2018","4 Sep 2017","6 Mar 2017","29 Aug 2016","23 Feb 2016","27 Aug 2015","23 Feb 2015","25 Aug 2014","24 Feb 2014","19 Aug 2013","25 Feb 2013","17 Sep 2012","12 Mar 2012","3 Oct 2011",
"Ordinary Capital & Premium",2842473,2842473,2842473,2842473,2257206,2257206,2263137,2848404,2906923,2910877,2037921,1409830,945436,423,301,301,301,301,142,
"Distributable Reserves",-758095,-534954,-504642,243243,246816,544887,731327,846405,788906,619409,832781,667711,646880,-50253,-46061,-53616,-56500,-54154,8282,
"Non-Distributable Reserves",,,,,,,,,,,,,,504147,498284,360865,363389,283266,277505,
"Other Capital",,-195321,,-201019,,47,47,-270202,-101505,59607,10297,,,1031257,,587965,588918,590597,142417,
"Translation Reserves",-111638,,-213879,,-214954,-289065,-270131,,,,,,,,,,,,,
"Ordinary Unitholders Interest",1972740,2112198,2123952,2884697,2289068,2513075,2724380,3424607,3594324,3589893,2880999,2077541,1592316,1485574,452524,895515,896108,820010,428346,
"Debentures",,,,,,,,,,,,,,,587029,,,,,
"Total Stockholders' Interest",1972740,2112198,2123952,2884697,2289068,2513075,2724380,3424607,3594324,3589893,2880999,2077541,1592316,1485574,1039553,895515,896108,820010,428346,
"Interest Bearing Loans",1629634,954875,538627,1839623,377684,1726593,1368923,1563185,1928971,1803128,1716145,1074289,360066,319459,219905,229389,123110,192888,298505,
"Other Long-Term Liabilities",,,,,,,,,,,,46397,,,,,,,,
"Long-Term Liabilities",1629634,954875,538627,1839623,377684,1726593,1368923,1563185,1928971,1803128,1716145,1120686,360066,319459,219905,229389,123110,192888,298505,
"Deferred Tax Liability",12754,7303,7303,7303,7303,10160,14953,3615,3615,3615,3615,,,,,83807,80496,48252,45874,
"Total Capital Employed",3615128,3074376,2669882,4731623,2674055,4249828,4108256,4991407,5526910,5396636,4600759,3198227,1952382,1805033,1259458,1208711,1099714,1061150,772725,
"Investments In Associates",252272,216693,206094,235587,223184,251442,247906,237316,262938,,,,,,,,,,,
"Fixed Assets / Property",3152293,3342700,3293827,4556020,4536661,4832026,4839133,5040695,5001844,4286235,4154707,3147502,2210450,1844831,1574401,1526708,1433330,1059262,788375,
"Goodwill",,,,,,,,,,88630,77018,,,,,,,,,
"Intangible Assets",,,,,,,,,,,,6231,,6408,,7499,7729,3834,3102,
"Deferred Tax Asset",,,,,,,,,,,,3755,3755,4817,4587,,,,,
"Other Assets",12367,53145,78725,64927,96907,168850,150460,114382,233669,404618,107244,,5781,,7028,,,,,
"Debtors",44222,50411,43920,34996,56169,46389,35732,41009,38659,34870,85182,54543,23824,15211,11261,13514,13893,6855,6165,
"Cash and Short Term Funds",142191,173295,336767,269305,110095,101456,154424,153684,149129,370928,248474,33915,64449,41514,23555,30950,20042,48594,3974,
"Other Current Assets",604744,332150,530751,46531,292593,18403,120037,3819,136781,341889,27631,28563,25228,,66,47,37,,,
"Current Assets",791157,555856,911438,350832,458857,166248,310193,198512,324569,747687,361287,117021,113501,56725,34882,44511,33972,55449,10139,
"Total Assets",4208089,4168394,4490084,5207366,5315609,5418566,5547692,5590905,5823020,5527170,4700256,3274509,2333487,1912781,1620898,1578718,1475031,1118545,801616,
"Creditors",107923,95894,90318,92340,100543,78194,89727,87358,80681,126217,68884,76282,43828,40043,85644,35977,69021,57299,21536,
"Dividends",,,,,,,,,,,,,,,,45834,,,,
"Receiver of Revenue",28598,5588,9409,5343,,,,,,,,,,56,,,,96,,
"Other Current Liabilities",456440,992536,1720475,378060,2541011,1090544,1349709,512140,215429,4317,30613,,337277,67649,275796,288196,306296,,7355,
"Current Liabilities",592961,1094018,1820202,475743,2641554,1168738,1439436,599498,296110,130534,99497,76282,381105,107748,361440,370007,375317,57395,28891,
"Net Current Assets",198196,-538162,-908764,-124911,-2182697,-1002490,-1129243,-400986,28459,617153,261790,40739,-267604,-51023,-326558,-325496,-341345,-1946,-18752,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (6m)",
,"23 Sep 2020","10 Mar 2020","19 Sep 2019","5 Mar 2019","1 Oct 2018","5 Mar 2018","4 Sep 2017","6 Mar 2017","29 Aug 2016","23 Feb 2016","27 Aug 2015","23 Feb 2015","25 Aug 2014","24 Feb 2014","19 Aug 2013","25 Feb 2013","17 Sep 2012","12 Mar 2012","3 Oct 2011",
"Number of Linked Units Issued (Actual)",376067000,376067000,376067000,349395000,349395000,349395000,350328000,350328000,357362000,357802000,267424000,208498000,160210000,169122000,120618000,120618000,120618000,120618080,57024000,
