Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"10 Nov 2020","22 Jun 2020","12 Nov 2019","27 May 2019","13 Nov 2018","28 May 2018","10 Nov 2017","5 Jun 2017","15 Nov 2016","6 Jun 2016","16 Nov 2015","8 Jun 2015","17 Nov 2014","13 Jun 2014","18 Nov 2013","14 Jun 2013","19 Nov 2012","8 Jun 2012","21 Nov 2011","13 Jun 2011","22 Nov 2010","21 Jun 2010",
"Turnover",21396,43043,21479,41774,20511,41018,19818,40970,20237,37325,16782,32760,16257,31905,15989,32143,16454,33079,16701,33308,17231,36474,
"Cost of Sales",,,,,,6256,4058,6498,3035,5011,1981,3249,1166,,,,,,,,,,
"Gross Profit",,,,,,,,,,,13457,26581,13299,,,,,,,,,,
"Operating Expenses",15783,34158,16241,31912,1035,22219,10819,21713,11028,22026,10453,18471,12006,,10307,37749,12598,31250,15382,29443,14213,34790,
"EBITDA (ProfileData Calc)",5715,8594,5409,9760,4740,9858,4880,9858,4899,7717,3055,8119,4194,10353,6471,7623,,8658,,9546,,,
"EBITDA (company calc)",5908,9602,5560,10581,4985,,,,,,,,,,,,,,,,,,
"Depreciation",3337,5822,3350,4842,2352,4780,2336,4752,2305,4448,2172,4506,2489,5891,3091,18180,2966,6138,3190,4965,2399,8207,
"Operating Income",2552,2687,2148,4767,2194,4939,2510,5214,2550,3278,902,3336,1565,4076,3009,-11145,593,2408,1223,3865,2896,19816,
"Non Trading Income",,,,,,,,,,,,,,,,,149,579,,540,,25688,
"Other Income",117,79,42,185,104,203,64,219,128,203,116,293,127,163,112,279,,238,,213,,503,
"Profit Before Exceptional Items",2669,2766,2190,4952,2298,5142,2574,5433,2678,3481,1018,3629,1692,4239,3121,-10866,742,3225,1223,4618,2896,46007,
"Exceptional Item 1",-289,,-138,,131,42,6,-270,-78,-101,-93,89,59,344,314,432,-551,-579,-153,83,-516,-1068,
"Profit Before Interest And Tax",2380,2766,2052,4952,2429,5184,2580,5163,2600,3380,925,3718,1751,4583,3435,-10434,191,2646,1070,4701,2380,44939,
"Interest Received",,,,,,,,,,,,,,,,,269,,,,,,
"Interest Paid",723,1803,864,947,563,893,358,618,300,521,241,562,286,636,269,656,,1872,,1068,,,
"Net Interest Paid/(Received)",723,1803,864,947,563,893,358,618,300,521,241,562,286,636,269,656,-269,1872,,1068,,,
"Income From Associates Before Tax",,11,11,2,,,,,,,,,,,,,,,,,,,
"Income Before Tax",1657,974,1199,4007,1866,4291,2222,4545,2300,2859,684,3156,1465,3947,3166,-11090,460,774,1070,3633,2380,44939,
"Taxation",576,366,358,1176,481,1133,594,691,540,538,78,-28,387,357,202,442,301,595,568,979,830,4485,
"Profit For The Period",1081,608,841,2831,1385,3158,1628,3854,1760,2321,606,3184,1078,3590,2964,-11532,159,179,502,2654,1550,40454,
"Income Attributable To Minority Interests",2,5,4,36,41,106,36,57,6,111,42,105,46,121,55,123,68,126,67,120,69,127,
"Attributable Income Before Extraordinary Items",1079,603,837,2795,1344,3052,1592,3797,1754,2210,564,3079,1032,3469,2909,-11655,91,53,435,2534,1481,40327,
"Extraordinary Profit",,,,,,,,,,,,,,353,-18,-104,,-269,-269,-1312,-472,-2869,
"Extraordinary Profit: Discontinued Operations",,,,,,,,,,,,,,353,-18,-104,,-269,,,,,
"Income Attributable To Equity Holders",1079,603,837,2795,1344,3052,1592,3797,1754,2210,564,3079,1032,3822,2891,-11759,91,-216,166,1222,1009,37458,
"Total Comprehensive Income/Loss for the period",320,1451,1269,4139,3099,2484,2249,3757,1504,2589,324,2087,,,,,,,,,,,
"Headline Earnings (Cont Ops)",1086,1036,870,3080,1428,3025,1525,3706,1689,1651,357,3029,1024,4347,3318,440,127,1658,908,2469,1238,1314,
"Enterprise Value (EV)",20564.208,17741.709,47790.389,46280.346,34605.505,34700.014,39001.788,44546.961,35276.127,33447.437,39477.166,42822.085,29902.424,19835.378,15771.751,9708.759,11059.797,17665.814,23057.708,26081.004,27019.18,22255.77,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"10 Nov 2020","22 Jun 2020","12 Nov 2019","27 May 2019","13 Nov 2018","28 May 2018","10 Nov 2017","5 Jun 2017","15 Nov 2016","6 Jun 2016","16 Nov 2015","8 Jun 2015","17 Nov 2014","13 Jun 2014","18 Nov 2013","14 Jun 2013","19 Nov 2012","8 Jun 2012","21 Nov 2011","13 Jun 2011","22 Nov 2010","21 Jun 2010",
"Fixed Assets",33772,33608,33206,32035,30725,30377,29186,27918,26084,25350,24473,24479,24493,25123,24876,24881,24881,36507,36525,37304,37304,37938,
"Right-of-use Asset",4362,4502,,,,,,,,,,,,,,,,,,,,,
"Investments and Loans",76,62,89,78,73,100,41,40,2410,2318,2244,2231,2891,2759,2612,2499,2492,2260,,2103,,,
"Intangible Assets",4614,4739,4678,4521,4598,4492,4718,4720,4620,4405,4577,2982,2779,2833,2665,2581,2581,3555,3299,3965,3965,4338,
"Deferred Tax Asset",1063,828,328,255,189,499,451,442,445,434,387,270,16,13,41,40,40,53,43,56,56,58,
"Other Assets",1311,1184,4988,862,877,687,721,695,795,281,431,480,94,109,115,133,352,95,2542,276,2618,2184,
"Long-Term Receivables",179,148,178,210,244,262,291,310,218,901,348,413,193,202,210,219,,244,,239,,,
"Total Fixed Assets",45377,45071,43467,37961,36706,36417,35408,34125,34572,33689,32460,30855,30466,31039,30519,30353,30346,42714,42409,43943,43943,44518,
"Stock",849,972,1194,1267,1384,1435,1606,1384,1274,971,912,638,738,646,832,760,760,617,1039,1121,1121,1274,
"Debtors",7826,7019,8286,7425,7716,6657,8425,8156,7355,7341,7316,5388,5589,5565,5861,5797,5804,5692,5824,5503,5503,5981,
"Cash",3925,4728,1218,1428,2314,2728,1373,1612,2015,2548,706,3643,3912,1842,1191,2384,2387,1167,1310,1784,1784,3855,
"Tax",29,9,180,76,49,54,53,9,193,43,42,11,27,8,18,16,16,26,20,105,105,2,
"Other Current Assets",2889,3587,4961,4787,3746,3209,2795,2763,328,1961,437,1447,745,305,1192,2265,2265,2323,1748,1891,1891,1189,
"Total Current Assets",15518,16315,15839,14983,15209,14083,14252,13924,11165,12864,9413,11127,11011,8366,9094,11222,11232,9825,9941,10404,10404,12301,
"Total Assets",60895,61386,59306,52944,51915,50500,49660,48049,45737,46553,41873,41982,41477,39405,39613,41575,41578,52539,52350,54347,54347,56819,
"Ordinary Share Capital & Premium",5050,5050,5050,5050,5050,5050,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,
"Treasury Shares",,,,,,,,,,,,,771,771,771,771,771,771,771,771,771,1171,
"Distributable Reserves",21895,21863,22335,22390,21827,19930,21241,20533,19275,19019,16609,18023,14339,15743,14734,11197,11197,23363,23872,24467,24467,23208,
"Non-Distributable Reserves",1359,1642,1540,1621,1574,1579,1473,1376,1346,1507,1453,1507,2711,2580,2311,2164,2164,1887,1789,1764,1764,620,
