Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Sep 2017","Jun 2017","Mar 2017","Dec 2016","Sep 2016","Jun 2016","Mar 2016","Dec 2015","Sep 2015","Jun 2015","Mar 2015","Dec 2014","Sep 2014","Jun 2014","Mar 2014","Dec 2013","Sep 2013","Jun 2013","Mar 2013","Dec 2012","Sep 2012","Jun 2012","Mar 2012","Dec 2011","Sep 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (9m)","Interim (6m)",
,"30 Sep 2020","31 Mar 2020","1 Oct 2019","28 Mar 2019","1 Oct 2018","29 Mar 2018","13 Dec 2017","2 Oct 2017","21 Jun 2017","31 Mar 2017","21 Dec 2016","30 Sep 2016","30 Jun 2016","14 Apr 2016","6 Jan 2016","30 Sep 2015","29 Jun 2015","13 Mar 2015","22 Dec 2014","30 Sep 2014","17 Jun 2014","29 Apr 2014","9 Dec 2013","30 Sep 2013","2 Jul 2013","12 Apr 2013","18 Dec 2012","28 Sep 2012","25 Jun 2012","16 Feb 2012","10 Jan 2012","27 Sep 2011","23 Jun 2011","13 Jun 2011","17 Dec 2010","11 Aug 2010","11 May 2010",
"Turnover",79666,42297,100037,53631,113568,60058,30861,120628,36119,60322,29622,105426,27681,51740,27241,98116,73496,49174,25046,103439,79780,55093,25109,98675,70750,33331,171297,140862,99614,55963,268142,221896,157996,86231,236900,174719,117467,
"Cost of Sales",48138,26002,63514,34172,70588,38345,19413,80136,27912,40863,20247,68307,19775,33464,17805,68845,49889,33170,16666,77326,55415,39242,19049,81197,56306,26253,151518,123444,87449,49260,225784,187006,131683,72992,200721,146512,98082,
"Gross Profit",31529,16296,36523,19459,42980,21714,11449,40492,8207,19459,9375,37119,7906,18276,9436,29271,23607,16004,8380,26113,24365,15850,6059,17477,14443,7078,19779,17418,12164,6704,42358,34890,26314,13329,36179,28207,19384,
"Operating Expenses",29498,14937,36648,19110,38688,18110,9720,36488,,-17772,8642,34885,,,8616,,,12880,,,,12359,,,,6786,,22845,,8098,,23626,,8172,7114,19567,2413,
"Operating Income",2194,1417,152,566,4508,3805,1728,4189,446,1836,733,2738,41,934,820,3518,3184,3124,1665,3981,3921,3491,1441,654,107,292,-5519,-5427,-3723,-1395,14420,11264,10192,5067,12434,8640,5440,
"Other Income",,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,124,,,,212,,,,
"Profit Before Exceptional Items",2194,1417,152,566,4508,3805,1728,4189,446,1836,733,2738,41,934,820,3518,3184,3124,1665,3981,3921,3491,1441,654,107,381,-5519,-5427,-3723,-1271,14420,11264,10192,5279,12434,8640,5440,
