Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"24 Nov 2020","24 Apr 2020","15 Nov 2019","29 Apr 2019","19 Nov 2018","23 Apr 2018","20 Nov 2017","20 Apr 2017","14 Nov 2016","18 Apr 2016","13 Nov 2015","20 Apr 2015","20 Nov 2014","12 May 2014","19 Nov 2013","29 Apr 2013","29 Nov 2012","10 May 2012","15 Nov 2011","19 Apr 2011","9 Nov 2010","24 May 2010",
"Turnover",375246,198952,386280,198801,317576,153989,301203,79840,132644,63381,103116,59485,67773,31037,,-12666,319,-6692,252,-6466,-24558,-3717,
"Net Rental / Investment Income",375246,198952,386280,198801,317576,153989,301203,79840,132644,63381,114194,59485,61905,36555,26350,-12666,319,-6692,252,-6466,-24558,-3717,
"Interest Receivable",2080,,2430,,,,,,,,,,,,,4784,12256,8553,13721,9191,14416,7327,
"Depreciation",8568,,7109,,7402,,4661,,,,,,,,,,,,,,,,
"Total Income",377326,198952,388710,198801,317576,153989,301203,79840,132644,63381,114194,59485,61905,36555,26350,-7882,12575,1861,13973,2725,-10142,3610,
"EBITDA (ProfileData Calc)",107212,,163674,,,,,,,,,,,,,,,,,,,,
"Interest Payable",98080,52691,108516,53623,110544,55695,70887,27351,47580,21489,26792,11740,17845,7296,7092,339,-958,732,3122,1490,6779,4806,
"Expenses",250176,,254236,,,,,,,,,,,,,,,,,,,,
"Income Before Exceptional Items",29070,146261,25958,145178,207032,98294,230316,52489,85064,41892,87402,47745,44060,29259,19258,-8221,13533,1129,10851,1235,-16921,-1196,
"Exceptional Item 1",-30455,-135411,9048,-140449,-181272,-91112,126462,44776,-21898,-7408,,,,,,2958,1227,1274,1601,861,-4316,-12213,
"Income From Associates Before Tax",3498,889,25970,15273,25383,19393,47861,8847,20825,7957,31216,5947,13217,5565,30477,7358,7419,2501,3187,3269,21915,34249,
"Income Before Tax",2113,11739,60976,20002,51143,26575,404639,106112,83991,42441,118618,22979,57277,9592,49735,2095,22179,4904,15639,5365,678,20840,
"Tax",4746,7582,25914,14135,792,1761,54274,1631,22336,14671,10580,2419,8915,2014,-4131,-627,2936,-1076,364,-170,3461,94,
"Profit For The Period",-2633,4157,35062,5867,50351,24814,350365,104481,61655,27770,108038,20560,48362,7578,53866,2722,19244,5980,15274,5535,-2783,20746,
"Income Attributable To Minority Interests",1549,3239,12927,6070,14694,9318,58588,3428,12151,8568,12802,8947,5115,-3926,2368,,343,342,517,538,4349,2197,
"Net Income Before Extraords",-4182,918,22135,-203,35657,15496,291777,101053,49504,19202,95235,11613,43247,11504,51498,2722,18901,5638,14756,4997,-7132,18549,
"Income Attributable To Equity Holders",-4182,918,22135,-203,35657,15496,291777,101053,49504,19202,95235,11613,43247,11504,51498,2722,18901,5638,14756,4997,-7132,18549,
"Total Comprehensive Income/Loss for the period",18061,8111,41278,5428,59144,27249,363990,105249,62721,27511,117677,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-6966,18,4296,-213,6140,-2020,44239,3968,3651,-5036,22091,7005,7670,4319,13315,2722,11829,4364,5412,4136,7541,30983,
"Enterprise Value (EV)",1525367,1715515,1674864,1732228,1848057,1803539,1671299,1004521,1170938,1204447,1231849,918747,872915,874515,554541,401211,291824,316770,253870,285132,241302,316632,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"24 Nov 2020","24 Apr 2020","15 Nov 2019","29 Apr 2019","19 Nov 2018","23 Apr 2018","20 Nov 2017","20 Apr 2017","14 Nov 2016","18 Apr 2016","13 Nov 2015","20 Apr 2015","20 Nov 2014","12 May 2014","19 Nov 2013","29 Apr 2013","29 Nov 2012","10 May 2012","15 Nov 2011","19 Apr 2011","9 Nov 2010","24 May 2010",
"Ordinary Capital & Premium",272592,273641,290296,282010,293497,294824,309319,314088,322706,321237,329076,328669,209259,209259,209259,209259,209259,203296,203296,203296,203296,203296,
"Treasury Shares",1337,373,,,137,,1107,2559,2559,2559,2559,2559,2559,2559,2559,2559,1239,1276,1276,3220,,,
"Distributable Reserves",554162,559262,558344,536007,536210,504406,504254,315708,214655,184414,165151,85143,82346,50602,44829,-3947,-2261,-16695,-18857,-28999,-71725,-46428,
"Non-Distributable Reserves",33353,33353,33353,31737,31073,29601,26150,13156,12389,11063,11322,1683,1683,9730,9454,10694,8156,3331,5299,5702,3197,4763,
"Other Capital",12355,11518,11770,17875,15681,14149,11826,10362,8999,7976,6657,5359,4188,3232,2311,1567,844,121,,,,,
"Translation Reserves",27670,10930,6976,2630,3733,-1153,-137,,,,,,,,,,,,,,,,
"Ordinary Unitholders Interest",898795,888331,900739,870259,880057,841827,850305,650755,556190,522131,509647,418295,294917,270264,263294,215014,214758,188777,188462,176779,134768,161631,
"Minority Interest",127025,154837,156005,149473,143402,135993,104024,48460,45032,41449,32881,36350,27403,18362,19555,,,11051,10709,18763,98738,97366,
"Total Stockholders' Interest",1025820,1043168,1056744,1019732,1023459,977820,954329,699215,601222,563580,542528,454645,322320,288626,282849,215014,214758,199828,199170,195542,233506,258997,
"Interest Bearing Loans",878679,1124825,1027987,1089761,1096960,983382,907140,520133,444179,455385,454245,253392,227216,188126,,6533,,,,,,,
"Other Long-Term Liabilities",39814,,,,,,,,,,,,,,172070,,5795,,,,,,
