Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"1 Sep 2020","24 Feb 2020","20 Aug 2019","20 Feb 2019","22 Aug 2018","20 Feb 2018","23 Aug 2017","22 Feb 2017","23 Aug 2016","17 Feb 2016","19 Aug 2015","18 Feb 2015","20 Aug 2014","19 Feb 2014","21 Aug 2013","21 Feb 2013","22 Aug 2012","22 Feb 2012","24 Aug 2011","23 Feb 2011","16 Aug 2010",
"Turnover",1905764,1078651,1892316,1046353,1721876,876774,1635790,903641,1712376,912532,1356025,716178,1247386,667596,1123204,606060,1044221,552785,906058,456154,786340,
"Cost of Sales",1217294,696211,1270223,690883,1095588,550605,1046749,581068,1099905,586777,891763,476431,816179,431096,715749,384616,660088,346802,549436,277651,484881,
"Gross Profit",688470,382440,622093,355470,626288,326169,589041,322573,612471,325755,464262,239747,431207,236500,407455,221444,384133,205983,356622,178503,301459,
"Operating Expenses",481254,26500,486051,264108,446423,223523,422076,218122,412613,215899,319148,165784,300060,155119,282697,145805,256077,129926,225206,106044,192816,
"EBITDA (ProfileData Calc)",209304,118320,137325,92038,183102,104866,171036,106486,202206,111141,147828,75269,132758,82527,126814,,,,,,,
"Depreciation",71326,36496,39061,22527,40656,24109,45262,22045,42878,20530,34967,17121,33303,16807,31618,15461,27486,12759,24006,11706,25156,
"Operating Income",135890,80864,96981,68835,139209,78537,121703,82406,156980,89326,110147,56842,97844,64574,93140,60178,100570,63298,107410,60753,83487,
"Profit Before Exceptional Items",135890,80864,96981,68835,139209,78537,121703,82406,156980,89326,110147,56842,97844,64574,93140,60178,100570,63298,107410,60753,83487,
"Profit Before Interest And Tax",135890,80864,96981,68835,139209,78537,121703,82406,156980,89326,110147,56842,97844,64574,93140,60178,100570,63298,107410,60753,83487,
"Interest Received",2088,960,1283,676,3237,2220,4071,2035,2348,1285,2714,1306,1611,1146,2056,,,,,,,
"Interest Paid",12859,7916,12345,7157,7404,3896,6429,3252,6767,3218,2480,1267,2635,1533,3085,,,,,,,
