Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"17 Aug 2020","31 Mar 2020","30 Sep 2019","1 Apr 2019","28 Sep 2018","22 May 2018","29 Sep 2017","28 Apr 2017","21 Oct 2016","25 Apr 2016","13 Aug 2015","20 Feb 2015","14 Aug 2014","26 Feb 2014","16 Aug 2013","21 Feb 2013","15 Aug 2012","16 Feb 2012","18 Aug 2011","28 Feb 2011","18 Aug 2010",
"Turnover",,,,,249,9625,4052,9373,5055,9277,4249,8055,3844,6590,2982,4553,2138,4649,2430,2353,1292,
"Operating Expenses",,,33,,,,,,,,,,,,,,,,,,,
"EBITDA (ProfileData Calc)",,,,,4466,4411,,,,,,,,,,,,,,,,
"Depreciation",2,2,1,,34,3048,,,,,,,,,,,,,,,,
"Operating Income",31,54,-70,2731,4401,1002,-813,-2357,-3953,1171,1635,3107,1422,3121,1470,2421,1088,2162,958,1315,580,
"Profit Before Exceptional Items",31,54,-70,2731,4401,1002,-813,-2357,-3953,1171,1635,3107,1422,3121,1470,2421,1088,2162,958,1315,580,
"Exceptional Item 1",,,,,,,,,,,,,,,,,-1,,,,,
"Profit Before Interest And Tax",31,54,-70,2731,4401,1002,-813,-2357,-3953,1171,1635,3107,1422,3121,1470,2421,1087,2162,958,1315,580,
"Interest Received",18,51,26,58,31,68,35,57,25,23,11,13,6,18,11,16,6,5,2,10,7,
"Interest Paid",,,,,26,1654,888,1451,934,1199,583,1075,595,835,367,605,272,420,164,234,126,
"Net Interest Paid/(Received)",-18,-51,-26,-58,-5,1586,853,1394,909,1176,572,1062,589,817,356,589,266,415,162,224,119,
"Income From Associates Before Tax",,,,,,4,-4,-6,-20,9,5,4,2,182,9,2,,-2,,,,
"Income Before Tax",49,105,-44,2789,4406,-580,-1670,-3757,-4882,4,1068,2049,835,2486,1123,1834,821,1745,796,1091,461,
"Taxation",29,182,3,10,17,30,40,-11,-88,61,48,22,-1,83,66,61,53,100,52,9,61,
"Profit For The Period",20,-77,-47,2779,4389,-610,-1710,-3746,-4794,-57,1020,2027,836,2403,1057,1773,768,1645,744,1082,400,
"Income Attributable To Minority Interests",,,,,,-289,-848,-2003,-2425,89,528,1065,459,1012,500,746,305,654,350,458,175,
"Attributable Income Before Extraordinary Items",20,-77,-47,2779,4389,-321,-862,-1743,-2369,-146,492,962,377,1391,557,1027,463,991,394,624,225,
"Extraordinary Profit",,-379,53,69,,,,,,,,,,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",,-379,53,69,,,,,,,,,,,,,,,,,,
"Income Attributable To Equity Holders",20,-456,6,2848,4389,-321,-862,-1743,-2369,-146,492,962,377,1391,557,1027,463,991,394,624,225,
"Total Comprehensive Income/Loss for the period",242,-505,-20,-629,1345,-1849,-2294,-6151,-5645,5621,2027,3514,,,,,,,,,,
"Headline Earnings (Cont Ops)",12,-24,-16,-3215,-1282,265,-256,-771,-574,908,493,968,377,1404,563,991,465,1001,397,629,228,
"Enterprise Value (EV)",-165.065,151.85,4703.4,5813.135,6741.69,48372.8,46893.929,50096.35,55097.32,60695.95,55046.4,52556.84,47797.435,45001.9,38713.25,30036.767,23604.016,19691.8,15793.966,12842,11919.875,

Balance sheet (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
