Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Final (12m)","Interim (6m)",
,"19 Nov 2020","9 Jun 2020","21 Nov 2019","23 May 2019","20 Nov 2018","23 May 2018","22 Nov 2017","24 May 2017","23 Nov 2016","25 May 2016","19 Nov 2015","21 May 2015","20 Nov 2014","22 May 2014","21 Nov 2013","23 May 2013","19 Nov 2012","17 May 2012","17 Nov 2011","19 May 2011","17 Mar 2011","2 Sep 2010",
"Turnover",1565,11686,5958,11619,5696,9842,6385,13222,6294,12283,5851,11343,5444,10767,5224,9910,4790,9031,4356,6487,2211,1070,
"EBITDA (ProfileData Calc)",207,1895,1945,4147,1964,,2064,,,,,,,,,,,,,,,,
"Depreciation",447,881,458,738,382,,441,,,,,,,,,,,,,,,,
"Operating Income",-263,1027,1520,3129,1475,2765,1605,4699,1581,3425,1564,3042,1351,3122,1408,2832,1340,3018,1174,1452,577,253,
"Profit Before Exceptional Items",-263,1027,1520,3129,1475,2765,1605,4699,1581,3425,1564,3042,1351,3122,1408,2832,1340,3018,1174,1452,577,253,
"Profit Before Interest And Tax",-263,1027,1520,3129,1475,2765,1605,4699,1581,3425,1564,3042,1351,3122,1408,2832,1340,3018,1174,1452,577,253,
"Interest Received",12,47,14,333,152,332,70,43,17,35,19,79,57,21,10,45,31,49,26,24,30,16,
"Interest Paid",507,1289,576,1144,518,1010,641,1066,517,892,443,760,325,394,192,430,244,469,235,415,144,74,
"Net Interest Paid/(Received)",495,1242,562,811,366,678,571,1023,500,857,424,681,268,373,182,385,213,420,209,391,114,58,
