Income statement (NAD '000),"Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Nov 2020","12 Dec 2019","13 Jun 2019","19 Dec 2018","29 Jun 2018","7 Dec 2017","30 Jun 2017","16 Nov 2016","27 Jun 2016","4 Nov 2015","29 Jun 2015","10 Nov 2014","30 Jun 2014","4 Nov 2013","26 Jun 2013","8 Nov 2012","30 May 2012","25 Nov 2011","26 May 2011","3 Dec 2010","2 Jun 2010",
"Interest Paid",263467,141727,202144,85825,188881,121114,173668,78171,134279,65087,105496,,57095,,27814,,30092,,22139,,,
"Interest Received",1425671,1067952,554792,271927,480794,41184,225467,2833,153167,1388,6421,,3095,,3849,,24509,,29306,,,
"Net Interest Received",1162204,926225,352648,186102,291913,-79930,51799,-75338,18888,-63699,-99075,,-54000,,-23965,,-5583,,7167,,,
"Operating expenses",,388998,,280051,,191746,,,,,,,,,,,,,,,,
"Comm&Other Inc",,,,-5486,,-16309,,,,,,,,,,,,,,,,
"Operating Income",706000,777344,515000,44027,800939,449250,1246762,560171,1150286,534616,1017073,252675,843554,87525,595239,62266,713304,71548,587018,33605,185455,
"Net Income Before Exceptional Items",706000,777344,515000,44027,800939,449250,1246762,560171,1150286,534616,1017073,252675,843554,87525,595239,62266,713304,71548,587018,33605,85843,
"Exceptional Inc 1",,,,,,,,-410449,,-352454,,-73263,,-19118,-27814,-10957,91518,-11348,70681,24348,75655,
"Exceptional Inc 1: Advances",,,,,,,,,,,,,,,,,,,,,88261,
"Exceptional Inc 1: Fair value gains",,,,,,,,,,,,,,,,,,,,329,,
"Exceptional Inc 1: Fair values",,,,,,,,,,,,,,,,,97101,,63514,,,
"Exceptional Inc 1: Finance costs",,,,,,,,,,,,-49747,,-19439,-27814,-13053,,,,,,
"Exceptional Inc 1: Financing Costs",,,,,,,,,,,,,,,,,-30092,-14299,-22139,-10624,-20489,
"Exceptional Inc 1: Insurance operations",,,,,,,,,,,,-23516,,,,,,,,,,
"Exceptional Inc 1: Investment revenue",,,,,,,,,,,,,,321,,2096,,,,,,
"Exceptional Inc 1: Investments",,,,,,,,,,,,,,,,,24509,2951,29306,34643,7883,
"Net Income Before Tax",705825,777344,514847,44027,241657,27776,581477,149722,449874,182162,396395,179412,300238,68407,43696,51309,264793,60200,223954,57953,161498,
"Tax",37666,16550,-148280,-15399,-31971,-25266,51525,-16796,30076,31150,93157,50781,47566,3364,4312,898,24969,8282,12441,743,-7641,
"Profit For The Period",668159,760794,663127,59426,273628,53042,529952,166518,419798,151012,303238,128631,252672,65043,39384,50411,239824,51918,211513,57210,169139,
"Income Attributable To Minority Interests",-845,-9706,104422,-21519,94798,,,,,,,,,,,,,,,,,
"Attributable Income Before Extraordinary Items",669004,770500,558705,80945,178830,53042,529952,166518,419798,151012,303238,128631,252672,65043,39384,50411,239824,51918,211513,57210,169139,
"Extraordinary Items",,-22496,,30007,,,,,,,,,,,,,,,,,,
"Income Attributable To Equity Holders",669004,748004,558705,110952,178830,53042,529952,166518,419798,151012,303238,128631,252672,65043,39384,50411,239824,51918,211513,57210,169139,
"Total Comprehensive Income/Loss for the period",478514,720345,672264,98041,246218,50606,514828,167153,443913,,,,,,,,,,,,,
"Headline Earnings (Cont Ops)",679054,759382,550134,82254,204848,53035,542517,166346,419432,148141,275744,107648,141522,22842,33863,50202,138540,47471,146916,52458,70356,

Balance sheet (NAD '000),"Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Nov 2020","12 Dec 2019","13 Jun 2019","19 Dec 2018","29 Jun 2018","7 Dec 2017","30 Jun 2017","16 Nov 2016","27 Jun 2016","4 Nov 2015","29 Jun 2015","10 Nov 2014","30 Jun 2014","4 Nov 2013","26 Jun 2013","8 Nov 2012","30 May 2012","25 Nov 2011","26 May 2011","3 Dec 2010","2 Jun 2010",
"Ordinary Share Capital & Premium",,2273279,,1145638,,223895,223895,223895,311177,241121,278228,257735,257519,252770,220552,214388,182421,180250,180420,183149,180645,
"Ordinary Share Capital & Premium: Contingency reserves",,,,,,,,,,2250,2250,2983,2983,4610,4610,2970,2970,2361,2361,2522,1902,
"Ordinary Share Capital & Premium: Revaluation reserve",,,,,,,,,,14976,52083,30857,30641,24265,21797,17273,16806,15244,15414,17982,16098,
"Ordinary Share Capital & Premium: Share Capital",,,,,,,,177595,,177595,177595,177595,177595,177595,169545,169545,162645,162645,162645,162645,162645,
"Ordinary Share Capital & Premium: Share Premium",,,,,,,,46300,,46300,46300,46300,46300,46300,,24600,,,,,,
"Treasury Shares",,197959,,200804,,178358,178358,775,,53279,57043,69026,69026,53838,52832,52832,56672,18731,18731,18731,18731,
"Distributable Reserves",,3906413,,3292017,,2448621,2399031,2011314,1877887,1585866,1319941,1132446,1022961,848608,783565,808959,772580,534237,556116,373322,355230,
"Non-Distributable Reserves",,-2010773,,-3198827,,48891,47875,87917,,,14976,14976,14976,14976,14976,14976,14976,14976,14976,,,
"Translation Reserves",,,,,,,,,,-2724,-5936,-2164,-2075,2635,1869,,,,,,,
"Life Fund",,,,2300174,,250000,,,,,,,,,,,,,,,,
"Life Fund: Equity loan",,,,,,250000,,,,,,,,,,,,,,,,
"Ordinary Shareholders' Interest",3600743,3970960,3046082,3338198,3586623,2793049,2492443,2322351,2189064,1877542,1550166,1333967,1224355,1065151,968130,985491,913305,710732,732781,537740,517144,
"Minority Interest",503722,524359,489931,439894,402546,7,7,,,,,,,,,,,,,,,
"Total Shareholders' Interest",4104465,4495319,3536013,3778092,3989169,2793056,2492450,2322351,2189064,1877542,1550166,1333967,1224355,1065151,968130,985491,913305,710732,732781,537740,517144,
