Income statement (ZAR '000),"May 2020","Nov 2019","May 2019","Nov 2018","May 2018","Nov 2017","May 2017","Nov 2016","May 2016","Nov 2015","May 2015","Nov 2014","May 2014","Nov 2013",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"21 Aug 2020","21 Feb 2020","30 Aug 2019","28 Feb 2019","31 Jul 2018","13 Feb 2018","31 Jul 2017","31 Jan 2017","4 Aug 2016","4 Feb 2016","26 Aug 2015","6 Feb 2015","24 Jul 2014","23 Jan 2014",
"Turnover",395579,206913,471740,205754,416420,212224,447341,222716,376451,182895,247721,117896,191270,85232,
"Admin & Collection Fees",34406,13445,44518,22458,17385,9426,34259,9110,23946,12503,34928,7236,19785,4650,
"Other Expenses",,,53036,,,,,,,,,,,,
"Net Rental / Investment Income",361173,193468,374186,183296,399035,202798,413082,213606,352505,170392,212793,110660,171485,80582,
"Interest Receivable",5585,2578,3348,1745,4314,2707,3340,1538,2635,1182,2093,771,3066,1105,
"Depreciation",,,86,,88,,,,,,,,,,
"Total Income",366758,196046,377534,185041,403349,205505,458089,215144,355140,171574,214886,111431,174551,81687,
"Interest Payable",105353,50644,102383,53993,120050,62336,127899,66158,117675,51330,78776,34823,53456,24510,
"Expenses",25970,14600,24648,15802,,,,,,,206,,11487,19792,
"Income Before Exceptional Items",235435,130802,250503,115246,283299,143169,330190,148986,237465,120244,135904,76608,109608,37385,
"Exceptional Item 1",-687941,-151965,29967,29703,12697,44008,114327,156725,-69906,14651,90464,22330,-22975,-68506,
"Income Before Tax",-452506,-21163,280470,144949,295996,187177,444517,305711,167559,134895,226368,98938,86633,-31121,
"Tax",16674,2831,5650,655,,,,,,177,,,,2075,
"Profit For The Period",-469180,-23994,274820,144294,295996,187177,444517,305711,167559,134718,226368,98938,86633,-33196,
"Income Attributable To Minority Interests",25776,11130,28420,7981,2567,258,7414,569,8719,5058,,,,,
"Net Income Before Extraords",-494956,-35124,246400,136313,293429,186919,437103,305142,158840,129660,226368,98938,86633,-33196,
"Income Attributable To Equity Holders",-494956,-35124,246400,136313,293429,186919,437103,305142,158840,129660,226368,98938,86633,-33196,
"Total Comprehensive Income/Loss for the period",-487960,31328,310187,168261,297495,215460,390398,190082,210527,151050,226368,,,,
"Headline Earnings (Cont Ops)",152616,124054,197081,84332,264937,100573,320222,223267,164371,75176,124628,61243,98373,35310,
"Enterprise Value (EV)",3091659,3621561,3966411,3538574,3635199,4152264,4302094,4312533,2950746,3364924,2476548,2014352,1895966,1530758,

Balance sheet (ZAR '000),"May 2020","Nov 2019","May 2019","Nov 2018","May 2018","Nov 2017","May 2017","Nov 2016","May 2016","Nov 2015","May 2015","Nov 2014","May 2014","Nov 2013",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
