Income statement (USD '000),"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Dec 2018",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Final (12m)",
,"13 Nov 2020","14 Aug 2020","5 May 2020","12 Feb 2020","6 Dec 2019",
"Turnover",149130,290252,145478,619760,612704,
"Operating Expenses",105627,209260,106996,433461,466328,
"EBITDA (ProfileData Calc)",,209788,,,,
"Depreciation",,130682,,,,
"Operating Income",54109,95674,46409,222684,194426,
"Profit Before Exceptional Items",54109,95674,46409,222684,194426,
"Amortisation",,1121,,,,
"Exceptional Item 1",-7715,-17445,-16638,-13500,-1433,
"Profit Before Interest And Tax",46394,77108,29771,209184,192993,
"Interest Received",23,456,400,2505,1709,
"Interest Paid",29123,66134,36112,153185,138427,
"Net Interest Paid/(Received)",29100,65678,35712,150680,136718,
"Income Before Tax",17294,11430,-5941,58504,56275,
"Taxation",-152,241,-833,1948,2025,
"Profit For The Period",17446,11189,-5108,56556,54250,
"Income Attributable To Minority Interests",494,-421,-729,-168,3872,
"Attributable Income Before Extraordinary Items",16952,11610,-4379,56724,50378,
"Income Attributable To Equity Holders",16952,11610,-4379,56724,50378,
"Total Comprehensive Income/Loss for the period",18328,-1504,-13269,56481,54123,
"Headline Earnings (Cont Ops)",19913,17177,46,61393,70271,
"Enterprise Value (EV)",15993111,11692334,11615881,11621836,3301707,

Balance sheet (USD '000),"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Dec 2018",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Final (12m)",
,"13 Nov 2020","14 Aug 2020","5 May 2020","12 Feb 2020","6 Dec 2019",
"Fixed Assets",4103625,4055280,4008541,4157279,4136082,
"Fixed Assets: Containers",,4054337,4007433,4156151,4134016,
"Fixed Assets: Fixed assets",,943,1108,1128,2066,
"Investments and Loans",555427,318398,297549,254363,127790,
"Intangible Assets",3525,4170,4727,5291,7384,
"Deferred Tax Asset",1388,1383,1388,1388,2087,
"Other Assets",93067,104564,111425,111852,97076,
"Long-Term Receivables",256994,249384,245507,251111,,
"Total Fixed Assets",5014026,4733179,4669137,4781284,4370419,
"Stock",46757,59562,59796,53214,62726,
"Debtors",101771,106761,118905,109384,110222,
"Cash",155166,189848,128664,180552,137298,
"Other Current Assets",95631,73862,77304,78183,88104,
"Total Current Assets",399325,430033,384669,421333,398350,
"Total Assets",5413351,5163212,5053806,5202617,4768769,
"Ordinary Share Capital & Premium",414620,413323,412249,411178,406664,
"Treasury Shares",74525,46828,33223,17746,9149,
"Distributable Reserves",894135,877183,861194,866458,809734,
"Other Capital",-11828,-13204,-9401,-511,-436,
"Ordinary Shareholders' Interest",1222402,1230474,1230819,1259379,1206813,
"Minority Interest",26332,25838,25530,26266,29178,
"Total Shareholders' Interest",1248734,1256312,1256349,1285645,1235991,
"Interest Bearing Loans",3481145,3406474,3426079,3583866,3218138,
"Deferred Tax Liability",7335,7683,6644,7789,7039,
"Other Long-Term Liabilities",61630,67038,76991,54042,15014,
"Total Long-Term Liabilities",3550110,3481195,3509714,3645697,3240191,
"Creditors and Provisions",353614,162403,26793,32798,70007,
"Bank Overdrafts/Short-Term Loans",240144,241519,239066,213863,191689,
"Other Current Liabilities",20749,21783,21884,24614,30891,
"Total Current Liabilities",614507,425705,287743,271275,292587,
"Total Liabilities",4164617,3906900,3797457,3916972,3532778,
"Total Equity and Liabilities",5413351,5163212,5053806,5202617,4768769,

Share/unit data,"Sep 2020","Jun 2020","Mar 2020","Dec 2019","Dec 2018",
,"Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Final (12m)",
,"13 Nov 2020","14 Aug 2020","5 May 2020","12 Feb 2020","6 Dec 2019",
"Exchange Rate (period end)",16.71,21.29,17.8,14.06,14.38,
"Exchange Rate (weighted average)",16.91,20.94,15.38,14.45,13.25,
