Income statement (ZAR '000),"Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Aug 2016","Aug 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"30 Sep 2020","29 Nov 2019","12 Jul 2019","4 Jul 2019","5 Nov 2018","10 Jul 2018","10 Jul 2018","10 Jul 2018","10 Jul 2018","9 May 2014","28 Nov 2013","30 May 2013","14 Nov 2012","29 May 2012","30 Nov 2011","31 May 2011","30 Nov 2010","6 May 2010",
"Operating Expenses",4258,6896,2872,7708,3749,8912,1163,2715,27823,1387,29999,12741,28352,15387,54494,11203,17593,7286,
"Operating Income",-4258,-6896,-2872,-7708,-3749,-8912,-1163,-1239,-17823,-1387,-24537,-12741,-26147,-15387,-54494,-11203,-17593,-7286,
"Profit Before Exceptional Items",-4258,-6896,-2872,-7708,-3749,-8912,-1163,-1239,-17823,-1387,-24537,-12741,-26147,-15387,-54494,-11203,-17593,-7286,
"Exceptional Item 1",28,677,41,215,54,42294,86,39,-37789,49,32,56,126,62,-30,73,131,,
"Profit Before Interest And Tax",-4230,-6219,-2831,-7493,-3695,33382,-1077,-1200,-55612,-1338,-24505,-12685,-26021,-15325,-54524,-11130,-17462,-7286,
"Interest Received",8,71,48,17,9,18,16,13,12,,44,279,48,26,268,201,478,410,
"Interest Paid",,,,2,2,,69,135,345,317,109,12,1994,1164,774,113,319,445,
"Net Interest Paid/(Received)",-8,-71,-48,-15,-7,-18,53,122,333,317,65,-267,1946,1138,506,-88,-159,35,
"Income From Associates Before Tax",,,,,,,,,,-1854,,,,,,,,,
"Income Before Tax",-4222,-6148,-2782,-7478,-3688,33400,-1130,-1322,-55945,-3509,-24570,-12418,-27967,-16463,-55030,-11042,-17303,-7321,
"Taxation",,,,,,,,,1854,,,,-327,53,106,,95,84,
"Profit For The Period",-4222,-6148,-2782,-7478,-3688,33400,-1130,-1322,-57799,-3509,-24570,-12418,-27640,-16516,-55136,-11042,-17398,-7405,
"Income Attributable To Minority Interests",,,,,,-23,,,-3861,2239,-1005,-85,-466,-348,-1073,-42,-694,-213,
"Attributable Income Before Extraordinary Items",-4222,-6148,-2782,-7478,-3688,33423,-1130,-1322,-53938,-5748,-23565,-12333,-27174,-16168,-54063,-11000,-16704,-7192,
"Extraordinary Profit",,,,-2,-2,-1099,,,,,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",,,,-2,-2,-1099,,,,,,,,,,,,,
"Income Attributable To Equity Holders",-4222,-6148,-2782,-7480,-3690,32324,-1130,-1322,-53938,-5748,-23565,-12333,-27174,-16168,-54063,-11000,-16704,-7192,
"Total Comprehensive Income/Loss for the period",-4222,-6148,-2782,-7480,-3690,32302,-1130,-1322,-57799,,,,,,,,,,
"Headline Earnings (Cont Ops)",-4222,-6148,-2782,-7478,-3688,-8893,-1135,-2759,-27751,-11450,-27862,-11733,-29336,-16168,-31949,-11000,-16668,-7191,
"Enterprise Value (EV)",58698,58725,49311,48050,42140,42110,18982,19025,29134,98179,126799,112747,59927,75175,78799,189719,138570,159715,

Balance sheet (ZAR '000),"Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Aug 2016","Aug 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Final (12m)","Final (12m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"30 Sep 2020","29 Nov 2019","12 Jul 2019","4 Jul 2019","5 Nov 2018","10 Jul 2018","10 Jul 2018","10 Jul 2018","10 Jul 2018","9 May 2014","28 Nov 2013","30 May 2013","14 Nov 2012","29 May 2012","30 Nov 2011","31 May 2011","30 Nov 2010","6 May 2010",
"Fixed Assets",,,,,,,,,147,17329,17390,17546,17044,18958,19711,18792,15093,8018,
"Intangible Assets",39000,39000,39000,39000,39000,39000,3920,3920,3920,24601,24601,24601,24601,24601,24827,55213,45870,338136,
"Other Assets",822,793,782,1158,1182,1328,1293,1207,1169,1169,1120,,,2331,2438,2541,2468,2664,
"Total Fixed Assets",39822,39793,39782,40158,40182,40328,5213,5127,5236,43099,43111,42147,41645,45890,46976,76546,63431,348818,
"Debtors",43,465,69,1011,896,650,155,138,895,982,666,3189,1818,1835,3311,1223,2905,1377,
"Cash",370,343,2074,3335,321,352,425,377,348,296,147,199,3292,2773,2711,4137,24553,5503,
"Other Current Assets",,,105,2605,7347,7381,105,105,570,905,575,3378,3322,,,,,,
"Total Current Assets",413,808,2248,6951,8564,8383,685,620,1812,2183,1388,6766,8432,4608,6022,5360,27458,6880,
"Total Assets",40234,40601,42030,47108,48746,48711,5898,5747,7048,45282,44499,48913,50077,50498,52998,81906,90889,355698,
"Ordinary Share Capital & Premium",214695,214695,209586,209586,209586,209586,186798,186798,186798,186798,179875,172466,121945,115051,115051,115051,115051,91812,
"Distributable Reserves",-185669,-181447,-178081,-175298,-171509,-169613,-202052,-200917,-205266,-157315,-151569,-140337,-128004,-116998,-100830,-56384,-45384,248249,
"Non-Distributable Reserves",,,,,,,,,,7782,,,,,,,,1793,
"Other Capital",,,,,,1795,1909,1909,7541,,7782,,,,,,,,
"Ordinary Shareholders' Interest",29026,33248,31505,34288,38077,41768,-13345,-12210,-10927,37265,36087,32129,-6059,-1947,14221,58667,69667,341854,
"Minority Interest",-138,-138,-138,-138,-9213,-9213,-9190,-9195,-9156,-3055,-2864,-2304,-2218,-2101,-1753,-905,-863,-382,
"Total Shareholders' Interest",28888,33110,31367,34150,28864,32555,-22535,-21405,-20083,34210,33223,29825,-8277,-4048,12468,57762,68804,341472,
"Interest Bearing Loans",,,,,,,,,,201,,263,,386,755,1294,1815,2316,
"Deferred Tax Liability",,,,,,,,,,,,,,380,327,221,221,907,
"Other Long-Term Liabilities",,,,,,,1213,1145,1262,1102,1262,1029,791,780,750,8280,724,8164,
"Total Long-Term Liabilities",,,,,,,1213,1145,1262,1303,1262,1292,791,1546,1832,9795,2760,11387,
"Creditors and Provisions",10273,6418,9258,11489,14910,10984,24111,23618,17203,4514,7474,17740,15865,20080,21347,10387,15410,1792,
"Tax",,,,,,,1854,1854,1854,1854,,,,,,,,,
"Bank Overdrafts/Short-Term Loans",,,,,151,152,151,151,3080,1767,,,,,,,,,
"Other Current Liabilities",1072,1073,1405,1470,4821,5020,1104,384,3732,1634,2540,56,41698,32920,17351,3962,3915,1047,
"Total Current Liabilities",11345,7491,10663,12958,19882,16156,27220,26007,25869,9769,10014,17796,57563,53000,38698,14349,19325,2839,
"Total Liabilities",11345,7491,10663,12958,19882,16156,28433,27152,27131,11072,11276,19088,58354,54546,40530,24144,22085,14226,
"Total Equity and Liabilities",40234,40601,42030,47108,48746,48711,5898,5747,7048,45282,44499,48913,50077,50498,52998,81906,90889,355698,

Share/unit data,"Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Aug 2016","Aug 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
