Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"27 Oct 2020","12 Jun 2020","17 Oct 2019","10 May 2019","24 Oct 2018","10 May 2018","18 Oct 2017","11 May 2017","19 Oct 2016","11 May 2016","21 Oct 2015","13 May 2015","14 Oct 2014","13 May 2014","15 Oct 2013","15 May 2013","16 Oct 2012","16 May 2012","18 Oct 2011","10 May 2011","20 Oct 2010","11 May 2010",
"Turnover",1359599,2879500,1404037,2779675,1358781,2513241,1228301,2468923,1204241,2043994,990679,2038353,984940,1975314,946598,1945419,936129,1798012,847264,1588315,740766,1351611,
"Cost of Sales",911844,1931720,936001,1897229,917890,1726216,851471,1653373,813376,1245627,598211,1258868,621123,1195903,566392,1161574,550741,1034898,496129,891874,416709,754764,
"Gross Profit",447715,947780,468036,882446,440891,787025,376830,815550,390865,798367,392468,779485,363817,779411,380206,783845,385388,763114,351135,696441,324057,596847,
"Operating Expenses",357343,722653,372935,672830,351645,659951,346143,697378,363401,730616,373363,,,,,,,,,,,,
"Operating Income",98573,257701,106202,255284,103018,136435,22537,143264,35443,85641,27242,108697,15978,166857,69795,166411,69744,176987,67755,166415,44989,142372,
"Profit Before Exceptional Items",98573,257701,106202,255284,103018,136435,22537,143264,35443,85641,27242,108697,15978,166857,69795,166411,69744,176987,67755,166415,44989,142372,
"Exceptional Item 1",593,-1024,-1399,-2625,-1429,331,813,-509,3818,1939,,,,,,,,,,,,,
"Profit Before Interest And Tax",99166,256677,104803,252659,101589,136766,23350,142755,39261,87580,27242,108697,15978,166857,69795,166411,69744,176987,67755,166415,44989,142372,
"Interest Received",4357,7353,3391,4293,1796,3386,3083,1594,467,14060,7212,13511,6330,12071,6527,11750,6769,15222,10016,17715,10929,17412,
"Interest Paid",42011,95845,51260,109226,55217,17553,9613,24046,13670,30932,14884,30297,15046,27079,17141,35418,20366,38224,19260,34370,14758,31167,
"Net Interest Paid/(Received)",37654,88492,47869,104933,53421,14167,6530,22452,13203,16872,7672,16786,8716,15008,10614,23668,13597,23002,9244,16655,3829,13755,
"Income From Associates Before Tax",-1,-14,-3,-13,,23,17,44,28,79,50,64,22,21,17,25,20,34,8,11,10,-13,
"Income Before Tax",61511,168171,56931,147713,48168,122622,16837,120347,26086,70787,19620,91975,7284,151870,59198,142768,56167,154019,58519,137579,41170,128604,
"Taxation",12717,40805,12954,38047,14209,40648,10976,36740,6043,16602,4004,23815,1484,41200,17103,41090,18803,44517,18184,43468,16510,37234,
"Profit For The Period",48794,127366,43977,109666,33959,81974,5861,83607,20043,54185,15616,68160,5800,110670,42095,101678,37364,109502,40335,94111,24660,91370,
"Income Attributable To Minority Interests",,,,3330,-3,-1432,-1515,-4734,-872,-734,,,,,,,,,,,,,
"Attributable Income Before Extraordinary Items",48794,127366,43977,106336,33962,83406,7376,88341,20915,54919,15616,68160,5800,110670,42095,101678,37364,109502,40335,94111,24660,91370,
"Extraordinary Profit",,,,-104,-2,,,,,,,,,,,,,,,,,,
"Income Attributable To Equity Holders",48794,127366,43977,106232,33960,83406,7376,88341,20915,54919,15616,68160,5800,110670,42095,101678,37364,109502,40335,94111,24660,91370,
"Total Comprehensive Income/Loss for the period",48794,127366,43977,109562,33957,81899,6031,83415,20167,54540,15949,68068,,,,,,,,,,,
"Headline Earnings (Cont Ops)",49517,131312,45389,109806,35872,89273,8244,95563,22246,57696,17218,71943,8021,112899,43733,104900,38591,112248,41173,97046,26355,94222,
"Enterprise Value (EV)",753478,806599,1093174,1042560,952518,833796,762937,681015,709241,715562,770454,1094465,975853,1119384,1387690,1254676,1263220,1153873,1008587,953613,929228,747269,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"27 Oct 2020","12 Jun 2020","17 Oct 2019","10 May 2019","24 Oct 2018","10 May 2018","18 Oct 2017","11 May 2017","19 Oct 2016","11 May 2016","21 Oct 2015","13 May 2015","14 Oct 2014","13 May 2014","15 Oct 2013","15 May 2013","16 Oct 2012","16 May 2012","18 Oct 2011","10 May 2011","20 Oct 2010","11 May 2010",
"Fixed Assets",1000616,993796,1035636,1003231,1021851,1004903,997482,990573,1015896,1039515,1027494,1022644,1016352,986896,1005020,939934,963538,938715,906741,828456,771874,704506,
"Right-of-use Asset",591242,608646,678593,,,,,,,,,,,,,,,,,,,,
"Investments and Loans",2888,2699,74,3078,1718,1955,1846,1925,1811,2089,1956,1802,146,2175,120,104,2570,2414,1083,1007,2690,2518,
"Goodwill",16561,16561,16561,16561,16561,16561,20152,20152,27231,10670,10685,,,,,,,,,,,,
"Intangible Assets",16296,13528,14101,10981,10369,10603,10977,12655,14668,17415,21795,25261,30869,37568,43257,38064,40032,37362,30440,31611,28813,25716,
"Deferred Tax Asset",7692,5811,6693,5365,6004,5050,5889,3161,12244,4759,7203,3133,6187,4627,5749,3167,5717,3196,5116,3857,5357,3286,
"Other Assets",,,,758330,826973,906223,,,,,,,,,,,,,,,,,
"Total Fixed Assets",1635295,1641041,1751658,1797546,1883476,1945295,1036346,1028466,1071850,1074448,1069133,1052840,1053554,1031266,1054146,981269,1011857,981687,943380,864931,808734,736026,
"Stock",114615,107807,114708,103457,80787,66424,77320,67033,99600,59993,69177,51743,56909,64890,65400,56637,61241,60060,63241,68260,61146,43250,
"Debtors",351787,321184,370897,313110,354091,335532,330046,298900,326195,276124,285465,262255,290541,240990,273432,234700,284406,272455,267847,218857,238506,179915,
"Cash",269337,262573,154163,175944,137047,139617,102507,126453,48351,91342,88408,118314,127078,166639,118779,131901,75207,63976,49265,80176,35129,104882,
"Tax",4690,335,3365,913,5434,3176,2873,1551,1738,2120,6766,2328,4938,1270,821,137,3718,234,3889,100,,,
"Other Current Assets",7109,6079,11256,6937,8670,8881,20000,19135,13428,9139,7310,7955,4176,97,3398,3811,1171,1041,2565,2637,146,152,
"Total Current Assets",747538,697978,654389,600361,586029,553630,532746,513072,489312,438718,457126,442595,483642,473886,461830,427186,425743,397766,386807,370030,334927,328199,
"Total Assets",2382833,2339019,2406047,2397907,2469505,2498925,1569092,1541538,1561162,1513166,1526259,1495435,1537196,1505152,1515976,1408455,1437600,1379453,1330187,1234961,1143661,1064225,
"Ordinary Share Capital & Premium",,,,,,,,,,,,,,,,,,,,,10851,194,
"Treasury Shares",,,,,,,,,,,,,,,,,,,,,100715,28323,
"Distributable Reserves",,,,,,,,,,,,,,,,,,,,,519195,512389,
"Non-Distributable Reserves",,,,,,,,,,,,,,,,,,,,,12894,746,
