Income statement (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"16 Nov 2020","11 May 2020","11 Nov 2019","13 May 2019","12 Nov 2018","14 May 2018","13 Nov 2017","15 May 2017","14 Nov 2016","16 May 2016","9 Nov 2015","18 May 2015","10 Nov 2014","19 May 2014","11 Nov 2013","20 May 2013","12 Nov 2012","21 May 2012","7 Nov 2011","16 May 2011","8 Nov 2010","17 May 2010",
"Turnover",47844,90746,44389,86627,42707,86370,41995,81278,40151,80077,38552,74500,37546,75711,36688,69917,34426,66929,31747,61197,29516,58535,
"EBITDA (ProfileData Calc)",22010,41015,20081,35029,16685,34645,16188,31589,15439,,,,,,,,,,,,,,
"Depreciation",7565,13955,6967,10642,5316,9959,4981,9251,4523,,,,,,,,,,,,,,
"Operating Income",14465,27711,12883,24490,11106,24252,10964,21750,10717,21059,10169,19235,9430,20394,9998,18897,8970,16617,7302,13696,7061,11238,
"Profit Before Exceptional Items",14465,27711,12883,24490,11106,24252,10964,21750,10717,21059,10169,19235,9430,20394,9998,18897,8970,16617,7302,13696,7061,11238,
"Exceptional Item 1",-222,-835,140,-23,163,-785,-212,-481,-356,-735,-206,7,89,-91,-139,347,278,-45,3,-303,-194,-794,
"Profit Before Interest And Tax",14243,26876,13023,24467,11269,23467,10752,21269,10361,20324,9963,19242,9519,20303,9859,19244,9248,16572,7305,13393,6867,10444,
"Interest Received",443,884,456,630,325,703,317,777,388,716,348,346,149,333,218,117,67,109,90,109,83,124,
"Interest Paid",2161,4702,2196,3008,1440,2811,1405,2818,1335,2196,1051,1737,635,1051,533,927,476,748,340,864,447,1602,
"Net Interest Paid/(Received)",1718,3818,1740,2378,1115,2108,1088,2041,947,1480,703,1391,486,718,315,810,409,639,250,755,364,1478,
"Income From Associates Before Tax",,,,,,734,,,,,,,,,,,,,,,,-21,
"Income Before Tax",12525,23058,11283,22089,10154,22093,9664,19228,9414,18844,9260,17851,9033,19585,9544,18434,8839,15933,7055,12638,6503,8945,
"Taxation",3254,6414,3084,6557,3365,6531,2952,6102,3139,5934,2814,5341,2731,5918,2913,5210,2722,5730,2668,4659,2234,4745,
"Profit For The Period",9271,16644,8199,15532,6789,15562,6712,13126,6275,12910,6446,12510,6302,13667,6631,13224,6117,10203,4387,7979,4269,4200,
"Income Attributable To Minority Interests",241,700,365,710,225,218,-138,-292,-167,-7,-18,-162,112,424,144,233,121,47,-16,-266,-147,4,
"Attributable Income Before Extraordinary Items",9030,15944,7834,14822,6564,15344,6850,13418,6442,12917,6464,12672,6190,13243,6487,12991,5996,10156,4403,8245,4416,4196,
"Income Attributable To Equity Holders",9030,15944,7834,14822,6564,15344,6850,13418,6442,12917,6464,12672,6190,13243,6487,12991,5996,10156,4403,8245,4416,4196,
"Total Comprehensive Income/Loss for the period",1454,30754,10305,27421,17807,9695,7593,11493,4656,13174,,12788,,,,,,,,,,,
"Headline Earnings (Cont Ops)",9013,16034,7807,14744,6573,14946,6856,13540,6446,12957,6460,12336,6092,13133,6431,12770,5797,10374,4733,9626,4463,7579,
"Enterprise Value (EV)",270286.074,258732.559,268702.884,236144.433,252585.53,289433.807,309170.617,247604.008,250614.23,255554.51,220680.675,205542.54,203730.02,195142.34,192552.8,163002.6,159119.2,165344.95,137678.68,124225.74,110367,92370.389,

Balance sheet (ZAR million),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"16 Nov 2020","11 May 2020","11 Nov 2019","13 May 2019","12 Nov 2018","14 May 2018","13 Nov 2017","15 May 2017","14 Nov 2016","16 May 2016","9 Nov 2015","18 May 2015","10 Nov 2014","19 May 2014","11 Nov 2013","20 May 2013","12 Nov 2012","21 May 2012","7 Nov 2011","16 May 2011","8 Nov 2010","17 May 2010",
"Fixed Assets",57500,59277,54744,43989,42577,40529,40878,40181,39417,39744,38005,35959,33373,30802,28830,27741,26115,24367,22885,21577,20233,21383,
"Investments in Associates",57214,64429,52755,54299,51902,44082,48077,5,5,4,114,310,430,370,2,,,,,,,,
"Intangible Assets",13272,13363,12551,10845,10123,9073,9081,9186,9088,9517,7877,7603,5712,5369,5233,5332,5245,5123,4942,5215,6376,6673,
"Deferred Tax Asset",111,11,25,113,262,279,208,199,211,25,18,18,7,22,132,241,169,313,235,430,321,255,
"Other Assets",1086,741,628,632,508,,,,,,,,,,,,,,,,,,
"Long-Term Receivables",4262,4574,4222,4019,3907,2580,2697,2556,2359,1795,2544,2064,2020,1391,894,1120,927,875,758,760,839,820,
"Long-Term Receivables: Finance Lease",,,,,,,1382,1161,,761,,696,,,542,,119,,,,,,
"Long-Term Receivables: Financial Assets",,,,,,,446,424,724,280,678,605,622,141,216,198,220,201,213,189,184,181,
"Long-Term Receivables: Leased Assets",,,,,,,,,888,,971,,639,591,,726,,447,333,307,450,408,
"Long-Term Receivables: Trade and other receivables",,,,,,,869,971,747,754,895,763,759,659,136,196,588,227,212,264,205,231,
"Total Fixed Assets",133445,142395,124925,113897,109279,96543,100941,52127,51080,51085,48558,45954,41542,37954,35091,34434,32456,30678,28820,27982,27769,29131,
"Stock",1458,1382,1418,1413,1720,1243,1153,1268,1146,1675,1083,1189,1261,1069,1212,861,905,832,994,799,890,707,
"Debtors",19988,19197,25226,17649,22193,14819,18563,13489,14546,13275,14096,11559,13153,11557,13445,10971,12087,11379,11978,10773,10681,10024,
"Cash",14147,17057,8252,11066,8135,12538,6874,8873,8443,7934,6952,9250,2858,6127,3392,6528,1533,3781,1072,870,938,1061,
"Tax",379,55,1009,357,349,213,523,222,277,114,200,123,923,359,578,190,251,174,388,276,318,353,
"Other Current Assets",10090,10137,10504,9261,8524,6009,6356,5159,5167,4620,4329,3232,3178,3675,4089,2607,2098,1386,957,735,503,415,
"Other Current Assets: Finance Lease",,,,,,,1891,1556,,1390,,1122,,,1346,,1028,,499,,294,,
"Other Current Assets: Financial Assets",,,,,,,4347,3489,2979,2641,2446,2016,1738,1822,1469,1170,1070,695,458,273,196,153,
"Other Current Assets: Leased Assets",,,,,,,,,1603,,1571,,1253,1284,,1437,,691,,462,,262,
"Other Current Assets: Non-current assets held for sale",,,,,,,118,114,585,589,312,94,187,569,1274,,,,,,13,,
"Total Current Assets",46062,47828,46409,39746,40921,34822,33469,29011,29579,27618,26660,25353,21373,22787,22716,21157,16874,17552,15389,13453,13330,12560,
"Total Assets",179507,190223,171334,153643,150200,131365,134410,81138,80659,78703,75218,71307,62915,60741,57807,55591,49330,48230,44209,41435,41099,41691,
"Ordinary Share Capital & Premium",57073,57073,57073,57073,57073,42618,42618,,,,,,,,,,,,,,,,
"Treasury Shares",16786,16620,16618,16387,16434,1792,1833,1670,1719,1658,1658,1606,1616,1589,1563,1389,1614,1530,1533,1384,1384,422,
"Distributable Reserves",36416,34294,33707,32670,31177,28731,26873,26396,25216,24635,23975,23378,22410,22506,21544,21342,19885,20121,18170,17864,16672,14832,
"Non-Distributable Reserves",9930,16909,5642,4636,3395,-5089,1038,-663,-574,1181,1009,290,420,2140,1578,847,105,-61,168,-858,-1056,-672,
