Income statement (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (14m)","Interim (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"1 Dec 2020","30 Jun 2020","10 Oct 2019","25 Apr 2019","11 Oct 2018","25 Apr 2018","12 Oct 2017","26 Apr 2017","6 Oct 2016","24 May 2016","29 Feb 2016","18 Aug 2015","30 Mar 2015","26 Aug 2014","24 Mar 2014","6 Aug 2013","25 Mar 2013","31 Aug 2012","30 Mar 2012","5 Sep 2011","31 Mar 2011","3 Sep 2010",
"Turnover",288191,462156,170472,425329,233677,350889,160115,184192,72743,154190,131350,58600,115016,53977,108005,46348,100878,51183,106755,45832,195801,40495,
"Operating Expenses",257507,363988,160282,293020,198750,275107,147644,187348,73378,183291,154072,71577,146040,67137,141584,63272,125437,62839,153207,62475,145443,41074,
"Operating Income",39437,56376,25835,112416,40049,61427,22310,49583,18440,6618,409,2958,-26867,-10664,6927,11935,58613,29103,34310,-15154,61115,2176,
"Other Income",,,,,,,,,,,,,,,,,,,,1786,39357,6988,
"Profit Before Exceptional Items",39437,56376,25835,112416,40049,61427,22310,49583,18440,6618,409,2958,-26867,-10664,6927,11935,58613,29103,34310,-13368,100472,9164,
"Exceptional Item 1",,,,,,,,,,,,,,,,,,,,26716,-28600,-80400,
"Profit Before Interest And Tax",39437,56376,25835,112416,40049,61427,22310,49583,18440,6618,409,2958,-26867,-10664,6927,11935,58613,29103,34310,13348,61115,-71236,
"Interest Received",4907,4813,2213,4342,2155,3592,1906,2784,744,4505,4094,2656,6060,3445,2357,955,1007,1114,754,,10075,,
"Interest Paid",4175,9801,3455,8801,4415,11055,5940,3866,893,2697,2141,1183,2960,1323,5004,4592,48845,22588,64407,32237,169076,47071,
"Net Interest Paid/(Received)",-732,4988,1242,4459,2260,7463,4034,1082,149,-1808,-1953,-1473,-3100,-2122,2647,3637,47838,21474,63653,32237,159001,47071,
"Income From Associates Before Tax",,,,,,,,,,,9098,,-86,114,442,1,17218,2368,5715,-1156,54094,14957,
"Income Before Tax",40169,51388,24593,107957,37789,53964,18276,48501,18291,8426,11460,4431,-23853,-8428,4722,8299,27993,9997,-23628,-20045,-43792,-103350,
"Taxation",4198,11920,5647,17705,8594,7139,2611,8648,3951,116,2813,750,1462,707,-1475,592,18640,-7819,1263,5272,910,-7199,
"Profit For The Period",35971,39468,18946,90252,29195,46825,15665,39853,14340,8310,8647,3681,-25315,-9135,6197,7707,9353,17816,-24891,-25317,-44702,-96151,
"Income Attributable To Minority Interests",4366,3575,1580,1699,4016,4495,2890,1957,692,1419,2128,440,10946,12801,-1563,-2465,11971,2797,-3131,-1108,50849,-1023,
"Attributable Income Before Extraordinary Items",31605,35893,17366,88553,25179,42330,12775,37896,13648,6891,6519,3241,-36261,-21936,7760,10172,-2618,15019,-21760,-24209,-95551,-95128,
"Extraordinary Profit",,,,,,-1269,516,185,1052,-141,-403,164,92300,90700,2109,-833,2402,,,9341,,1051,
"Extraordinary Profit: Discontinued Operations",,,,,,-1269,516,185,1052,-141,-403,,92300,,2109,-833,2402,,,9341,,1051,
"Extraordinary Profit: Discount on Purchases",,,,,,,,,,,,164,,,,,,,,,,,
"Income Attributable To Equity Holders",31605,35893,17366,88553,25179,41061,13291,38081,14700,6750,6116,3405,56039,68764,9869,9339,-216,15019,-21760,-14868,-95551,-94077,
"Total Comprehensive Income/Loss for the period",32255,27487,9074,92411,31431,44364,15842,37795,14718,8311,,4342,,,,,,,,,,,
"Headline Earnings (Cont Ops)",31605,884,17366,88553,25179,39880,12127,24213,12523,6355,6116,3283,-28273,-18457,2545,7261,-11245,20219,,-23576,-126432,-94983,
