Income statement (USD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Mar 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)",
,"28 Jul 2020","4 Mar 2020","1 Aug 2019","6 Mar 2019","2 Aug 2018","30 May 2018",
"Turnover",3375000,8302000,3903069,7549318,3672742,1777792,
"Cost of Sales",3114000,7627000,3585127,6924931,3360680,1623991,
"Gross Profit",261000,675000,317942,624387,312062,153801,
"Operating Expenses",194000,389000,180000,379916,102627,84899,
"Operating Income",77000,310000,150299,275510,132123,74173,
"Profit Before Exceptional Items",77000,310000,150299,275510,132123,74173,
"Profit Before Interest And Tax",77000,310000,150299,275510,132123,74173,
"Interest Received",5000,7000,3801,6145,3140,1605,
"Interest Paid",40000,71000,35756,52253,21432,8067,
"Net Interest Paid/(Received)",35000,64000,31955,46108,18292,6462,
"Income Before Tax",42000,246000,118344,229402,113831,67711,
"Taxation",29000,96000,46627,83343,42573,24552,
"Profit For The Period",13000,150000,71717,146059,71258,43159,
"Income Attributable To Minority Interests",5000,14000,8742,10904,6277,3376,
"Attributable Income Before Extraordinary Items",8000,136000,62975,135155,64981,39783,
"Income Attributable To Equity Holders",8000,136000,62975,135155,64981,39783,
"Total Comprehensive Income/Loss for the period",-40000,112000,48595,136361,58864,61152,
"Headline Earnings (Cont Ops)",7000,138000,60115,133821,64393,39766,
"Enterprise Value (EV)",22475806,28837850,29992820,27296160,31570158,277866,

Balance sheet (USD '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Mar 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)",
,"28 Jul 2020","4 Mar 2020","1 Aug 2019","6 Mar 2019","2 Aug 2018","30 May 2018",
"Fixed Assets",791000,823000,754960,621756,716251,752629,
"Investments in Associates",235000,227000,231313,223452,222173,225292,
"Intangible Assets",214000,226000,230330,133962,124014,125935,
"Deferred Tax Asset",39000,34000,35308,36374,41545,42705,
"Other Assets",300000,295000,275170,256797,93996,111913,
"Total Fixed Assets",1579000,1605000,1527081,1272341,1197979,1258474,
"Stock",379000,517000,485400,440767,449802,412632,
"Debtors",336000,451000,576645,443645,469509,490355,
"Cash",460000,517000,314442,392853,315919,385732,
"Tax",16000,9000,12368,19478,13675,6017,
"Other Current Assets",222000,257000,298623,258253,314408,276378,
"Total Current Assets",1413000,1751000,1687478,1554996,1563313,1571114,
"Total Assets",2992000,3356000,3214559,2827337,2761292,2829588,
"Ordinary Shareholders' Interest",708000,751000,681562,532959,461301,456530,
"Minority Interest",48000,53000,53013,48372,50436,52243,
"Total Shareholders' Interest",756000,804000,734575,581331,511737,508773,
"Interest Bearing Loans",365000,294000,337048,313779,351402,400422,
"Deferred Tax Liability",60000,66000,75562,51206,52816,54428,
"Other Long-Term Liabilities",359000,366000,348956,316403,365722,401300,
"Total Long-Term Liabilities",784000,726000,761566,681388,769940,856150,
"Creditors and Provisions",815000,1271000,1146245,1075705,1080698,1066716,
"Tax",48000,47000,42503,24101,20103,37963,
"Bank Overdrafts/Short-Term Loans",402000,306000,317428,286388,237468,210933,
"Other Current Liabilities",187000,202000,212242,178424,141346,149053,
"Total Current Liabilities",1452000,1826000,1718418,1564618,1479615,1464665,
"Total Liabilities",2236000,2552000,2479984,2246006,2249555,2320815,
"Total Equity and Liabilities",2992000,3356000,3214559,2827337,2761292,2829588,

Share/unit data,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Mar 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)",
,"28 Jul 2020","4 Mar 2020","1 Aug 2019","6 Mar 2019","2 Aug 2018","30 May 2018",
"Exchange Rate (period end)",17.33,14.06,14.08,14.41,13.72,11.82,
"Exchange Rate (weighted average)",16.66,14.45,14.2,13.25,12.3,11.96,
"Number of Shares in Issue (Actual)",1266941899,1255000000,1244210706,1201798866,1201798866,2250000,
"Weighted Average Shares in Issue (Actual)",1266000000,1255000000,1244210706,1201798866,1201798866,2250000,
"Fully Diluted Weighted Average Shares in Issue",1266000000,1255000000,1244210706,1201798866,1204209416,2287433,
"Market Capitalisation (R'000)",22120806,28701850,29599773,27040474,31246771,,
"Number of Months",6,12,6,12,6,3,

Share statistics,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Mar 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)",
,"28 Jul 2020","4 Mar 2020","1 Aug 2019","6 Mar 2019","2 Aug 2018","30 May 2018",
"Earnings Per Share (ZARc)",16.66,158.95,71.01,145.75,61.52,21145.28,
"Diluted Earnings Per Share (ZARc)",16.66,158.95,71.01,145.75,61.52,20798.44,
"Headline Earnings Per Share (Cont Ops) (ZARc)",16.66,158.95,71.01,145.75,61.52,21133.32,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",16.66,158.95,71.01,145.75,61.52,20786.48,
"Interim Dividend (ZARc)",43.39,15.82,15.82,8.79,8.79,,
"Final Dividend (ZARc)",,40.81,,17.74,,,
"Dividend Per Share (ZARc)",43.39,56.63,15.82,26.53,8.79,,
"Distributions Per Share (ZARc)",43.39,56.63,15.82,26.53,8.79,,
"Net Asset Value Per Share (ZARc)",968.4,841.35,771.64,639.08,526.92,239830.4,
"Cash Generated Per Share",-8.84,35.46,1.77,20.89,4.63,,
"Earnings Per Share (Base Currency)",1,11,5,11,5,1768,
"Diluted Earnings Per Share (Base Currency)",1,11,5,11,5,1739,
"Headline Earnings Per Share (Cont) (Base Currency)",1,11,5,11,5,1767,
"Diluted Headline Earnings Per Share(Cont)(BaseCur)",1,11,5,11,5,1738,
"Distributions Per Share (Base Currency)",,3.76,1.11,1.92,0.67,,
"Net Asset Value Per Share (Base Currency)",54,59.84,54.78,44.35,38.38,20290.22,
"Price at Period End (Base Currency)",101,163,169,156,189,,
"JSE Market Price High (ZARc)",2700,2650,2650,3113,3113,,
"JSE Market Price Low (ZARc)",1100,2000,2000,1765,2220,,
"JSE Market Price at Period End (ZARc)",1746,2287,2379,2250,2600,,
"JSE Volume Traded (Actual)",5534684,8169125,2887385,33470160,10435544,,
"JSE Rand Value Traded (Actual)",99847370,189828032,68205554,864829603,286372450,,
"12 Month HEPS",104.6,158.95,155.24,145.75,123.04,84533.28,
"12 Month Dividend",84.2,56.63,33.56,26.53,26.54,8.79,

Cash flow items,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Mar 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)",
,"28 Jul 2020","4 Mar 2020","1 Aug 2019","6 Mar 2019","2 Aug 2018","30 May 2018",
"Cash generated by operations",,,,,,37435,
"Net Cash flow from operating activities",-112000,445000,22000,251000,55661,,
"Net cash flow from investing activities",-53000,-160000,-57930,-144249,-59566,-20602,
"Net cash flow from financing activities",124000,-137000,-27000,-128000,-96921,-61179,
"Dividends paid",-2000,-40000,-19233,-16169,-718,,
"Net increase(decrease) in cash & cash equivalents",-57000,124000,-79000,-29641,-106575,-36762,
"Cash & Cash Equivalent beginning of period",517000,393000,392853,422494,422494,422494,
"Translation effects on cash & cash equivalents",-16000,-24000,-16049,-9319,-5749,7584,
"Cash & Cash Equivalent end of period",460000,517000,314442,392853,315919,385732,

Ratios,"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Mar 2018",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Qtrly (3m)",
,"28 Jul 2020","4 Mar 2020","1 Aug 2019","6 Mar 2019","2 Aug 2018","30 May 2018",
"Return on Capital Employed",1.69,9.8,9.59,11.57,11.12,12.65,
"Return on Shareholder Funds",3.44,18.66,19.53,25.12,27.85,33.93,
"Return on Total Assets",3.02,7.86,7.93,8.52,8.63,10.02,
"Gross Profit Margin",7.73,8.13,8.15,8.27,8.5,8.65,
"Operating Profit Margin",2.28,3.73,3.85,3.65,3.6,4.17,
"Net Profit Margin",0.24,1.64,1.61,1.79,1.77,2.24,
"Debt:Equity (excl non-int debt)",1.57,1.28,1.47,1.66,1.97,2.1,
"Interest Bearing Debt as % of Long-Term Finance",32.56,26.78,31.45,35.05,40.71,44.04,
"Interest Cover",2.2,4.84,4.7,5.98,7.22,11.48,
"Quick Ratio",0.71,0.68,0.7,0.71,0.75,0.79,
"Current Ratio",0.97,0.96,0.98,0.99,1.06,1.07,
"Dividend Cover",0.38,2.81,4.49,5.49,7,,
"Dividend Cover (HEPS)",0.38,2.81,4.49,5.49,7,,
"Debtors Collection Period",18.17,19.83,26.96,21.45,23.33,25.17,
"Stock Turn",16.43,14.75,14.77,15.71,14.94,15.74,
"Price : Earnings",16.69,14.39,15.32,15.44,21.13,,
"Sales Per Share (Base Currency)",533.18,661.51,627.4,628.17,611.21,316051.91,
"Price/Sales Per Share",0.19,0.25,0.27,0.25,0.31,,
"Price/Net Asset Value",1.86,2.73,3.08,3.52,4.93,,
"Price/Cash Flow",-22.75,4.61,191,7.48,81.72,,
"NAV%Price",55.46,36.79,32.44,28.4,20.27,,
"Liquidity%",-10.02,17.44,1.77,11.18,4.95,,
"Cash Flow:Attributable Profit",-28,3.27,0.7,1.86,1.71,,
"Cash/Equity (%)",60.85,64.3,42.81,67.58,61.73,75.82,
"EV/Ebitda (Pd)",,95.17,,100.82,,2.94,
"PEG Ratio",1.84,1.59,,,,,

