Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"17 Nov 2020","3 Mar 2020","3 Sep 2019","26 Feb 2019","4 Sep 2018","27 Feb 2018","5 Sep 2017","28 Feb 2017","6 Sep 2016","23 Feb 2016","31 Aug 2015","23 Feb 2015","1 Sep 2014","24 Feb 2014","2 Sep 2013","25 Feb 2013","3 Sep 2012","20 Feb 2012","5 Sep 2011","21 Feb 2011","6 Sep 2010",
"Turnover",43080.295,22894.398,40614.297,20113.51,35028.475,18086.801,31906.66,15415.743,30650.309,15276.509,28823.384,14404.947,25721.683,13206.037,23773.481,12021.058,17893.351,8383.564,14766.631,7194.51,15201.095,
"Operating Expenses",42266.264,,38645.997,,,,,,,,,,,,,,,,,,,
"Operating Income",-585.327,242.396,512.841,-23.898,1030.861,484.708,780.568,289.177,991.242,469.129,577.087,383.367,978.463,518.032,939.191,566.304,975.702,465.269,1090.049,609.046,1274.174,
"Profit Before Exceptional Items",-585.327,242.396,512.841,-23.898,1030.861,484.708,780.568,289.177,991.242,469.129,577.087,383.367,978.463,518.032,939.191,566.304,975.702,465.269,1090.049,609.046,1274.174,
"Exceptional Item 1",,,,,,,,,,,,,228.182,99.314,-31.347,-15.624,-1.136,15.565,-76.533,-41.977,-12.24,
"Profit Before Interest And Tax",-585.327,242.396,512.841,-23.898,1030.861,484.708,780.568,289.177,991.242,469.129,577.087,383.367,1206.645,617.346,907.844,550.68,974.566,480.834,1013.516,567.069,1261.934,
"Interest Received",200.864,101.49,207.012,95.478,192.094,110.475,,,,,,,,,144.672,,195.029,94.054,224.727,116.633,279.505,
"Interest Paid",35.013,16.226,23.565,11.783,23.627,10.434,,,,,,,,,29.049,,13.894,6.364,18.089,6.655,17.018,
"Net Interest Paid/(Received)",-165.851,-85.264,-183.447,-83.695,-168.467,-100.041,-240.894,-115.98,-203.014,-69.537,-115.942,-51.905,114.091,51.157,-115.623,-55.469,-181.135,-87.69,-206.638,-109.978,-262.487,
"Income From Associates Before Tax",109.284,70.56,51.958,29.502,-4.83,-6.485,68.916,18.608,45.659,20.081,46.189,11.367,11.168,4.976,-14.89,-9.604,-39.538,-17.01,-51.388,-38.947,-30.386,
