Income statement (ZAR million),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"30 Sep 2020","30 Apr 2020","30 Sep 2019","29 Mar 2019","28 Sep 2018","29 Mar 2018","28 Sep 2017","30 Mar 2017","29 Sep 2016","29 Mar 2016","29 Sep 2015","31 Mar 2015","5 Sep 2014","26 Mar 2014","16 Sep 2013","27 Mar 2013","26 Sep 2012","2 Apr 2012","29 Sep 2011","30 Mar 2011","28 Sep 2010",
"Working Profit",-15.279,-65.638,-14.989,-22.593,-10.294,-8.42,-5.92,-22.157,-13.243,-29.937,-15.206,-31.878,-14.591,-32.312,-27.378,-44.892,-26.333,-372.841,-373.271,310.284,331.484,
"Profit Before Exceptional Items",-15.279,-65.638,-14.989,-22.593,-10.294,-8.42,-5.92,-22.157,-13.243,-29.937,-15.206,-31.878,-14.591,-32.312,-27.378,-44.892,-26.333,-372.841,-373.271,310.284,331.484,
"Exceptional Income",,,,,-60.808,193.609,137.873,608.605,116.945,-666.448,40.111,-125.106,13.068,-16.197,-83.351,,,-17.444,-7.012,-9.508,,
"Exceptional Income: Impairment of property, plant and equipment",,,,,,,,,,,,,,,,,,,,-1.787,,
"Exceptional Income: Impairments",,,,,,,,,,,,,,,,,,-8.257,,-7.721,,
"Exceptional Income: Loss  from equity accounted investment",,,,,,,,,,,,,,,,,,-9.187,,,,
"Profit Before Interest And Tax",-15.279,-65.638,-14.989,-22.593,-71.102,185.189,131.953,586.448,103.702,-696.385,24.905,-156.984,-1.523,-48.509,-110.729,-44.892,-26.333,-390.285,-380.283,300.776,331.484,
"Interest Received",182.332,307.677,211.478,29.618,10.256,48.859,29.754,76.493,42.764,83.153,32.08,56.413,28.059,77.97,28.977,56.612,35.225,46.255,3.403,6.122,4.218,
"Interest Paid",1552.782,95.664,43.03,115.578,127.604,249.127,120.443,208.692,108.573,142.889,49.495,69.817,29.733,42.05,13.723,1.955,0.001,0.486,2.061,0.522,0.901,
"Net Interest Paid/(Received)",1370.45,-212.013,-168.448,85.96,117.348,200.268,90.689,132.199,65.809,59.736,17.415,13.404,1.674,-35.92,-15.254,-54.657,-35.224,-45.769,-1.342,-5.6,-3.317,
"Income From Associates Before Tax",,,,,,,,,,,,,,1.235,,4.622,,3.515,,,,
"Pre-Tax Profit",-1385.729,146.375,153.459,-108.553,-188.45,-15.079,41.264,454.249,37.893,-756.121,7.49,-170.388,-3.197,-11.354,-95.475,14.387,8.891,-372.138,-378.941,306.376,334.801,
"Taxation",-378.155,49.572,43.747,-19.865,-173.467,79.123,22.221,151.565,38.531,-199.336,2.784,92.816,0.582,-2.343,-1.089,4.639,4.891,-13.811,14.371,4.862,,
"Profit For The Period",-1007.574,96.803,109.712,-88.688,-14.983,-94.202,19.043,302.684,-0.638,-556.785,4.706,-263.204,-3.779,-9.011,-94.386,9.748,4,-358.327,-393.312,301.514,334.801,
"Income From Associates After Tax",,,,,,,,,,,,,,,,,,,,-2.64,,
"Attributable Income Before Extraordinary Items",-1007.574,96.803,109.712,-88.688,-14.983,-94.202,19.043,302.684,-0.638,-556.785,4.706,-263.204,-3.779,-9.011,-94.386,9.748,4,-358.327,-393.312,298.874,334.801,
"Income Attributable To Equity Holders",-1007.574,96.803,109.712,-88.688,-14.983,-94.202,19.043,302.684,-0.638,-556.785,4.706,-263.204,-3.779,-9.011,-94.386,9.748,4,-358.327,-393.312,298.874,334.801,
"Total Comprehensive Income/Loss for the period",-1011.589,103.035,112.53,-87.827,-14.983,-94.202,19.043,302.684,-0.638,-579.366,-126.027,-240.623,,,,,,,,,,
"Profit Before Capex",-1007.574,96.803,109.712,-88.688,-14.983,-94.202,19.043,302.684,-0.638,-556.785,4.706,-263.204,-3.779,-9.011,-94.386,9.748,4,-358.327,-393.312,298.874,334.801,
"Profit After Capex",-1007.574,96.803,109.712,-88.688,-14.983,-94.202,19.043,302.684,-0.638,-556.785,4.706,-263.204,-3.779,-9.011,-94.386,9.748,4,-358.327,-393.312,298.874,334.801,
