Income statement (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"21 Aug 2020","31 Mar 2020","9 Sep 2019","27 Mar 2019","23 Aug 2018","15 Mar 2018","24 Aug 2017","23 Mar 2017","24 Aug 2016","17 Mar 2016","26 Aug 2015","23 Mar 2015","25 Aug 2014","20 Mar 2014","21 Aug 2013","27 Mar 2013","21 Aug 2012","26 Mar 2012","12 Aug 2011","22 Mar 2011","12 Aug 2010",
"Turnover",1273101,3227054,1532511,3014446,1422920,2807890,1366109,2523405,1192824,1949771,904594,1801895,871840,1658802,779265,1471744,695933,1348561,630221,1153842,541081,
"Cost of Sales",981443,2524659,1184747,2320695,1087863,2172461,1053104,1924425,904024,1494934,696306,1403346,679204,1324299,605594,1157365,545087,1039586,484459,875289,412666,
"Gross Profit",291658,702395,347764,693751,335057,635429,313005,598980,288800,454837,208288,398549,192636,334503,173671,314379,150846,308975,145762,278553,128415,
"Operating Expenses",309013,562862,267721,519794,258944,512887,243945,461810,222865,349951,170418,319708,154285,304949,148198,270486,134397,267974,129271,242570,113137,
"EBITDA (ProfileData Calc)",-17675,169999,78143,175596,70538,137163,68874,134836,66279,106187,39214,79591,38534,32674,26184,46204,17055,43951,16934,37559,15376,
"EBITDA (company calc)",44130,158165,92277,173957,,,,,,,,,,,,,,,,,,
"Depreciation",25132,41030,23741,39752,14250,26080,12969,17476,8008,12910,5673,10501,5087,8844,4245,8751,4249,7694,3831,7137,3875,
"Operating Income",-34658,130052,53335,131667,55208,107859,54359,116948,57927,93676,33197,69267,33264,20710,21228,35142,12200,33307,12660,28846,11403,
"Profit Before Exceptional Items",-34658,130052,53335,131667,55208,107859,54359,116948,57927,93676,33197,69267,33264,20710,21228,35142,12200,33307,12660,28846,11403,
"Exceptional Item 1",-3573,,,,,,,,,,,,,,,,,,,,-231,
"Profit Before Interest And Tax",-38231,130052,53335,131667,55208,107859,54359,116948,57927,93676,33197,69267,33264,20710,21228,35142,12200,33307,12660,28846,11172,
"Interest Received",461,1278,532,2829,1235,1486,606,711,308,297,978,148,771,3233,877,2670,1007,3434,686,2240,637,
"Interest Paid",11856,32257,15563,29737,14428,23360,11870,26491,13789,17250,8025,18194,9276,15831,7442,12460,6015,10896,5315,12721,6640,
"Net Interest Paid/(Received)",11395,30979,15031,26908,13193,21874,11264,25780,13481,16953,7047,18046,8505,12598,6565,9790,5008,7462,4629,10481,6003,
"Income Before Tax",-49626,99073,38304,104759,42015,85985,43095,91168,44446,76723,26150,51221,24759,8112,14663,25352,7192,25845,8031,18365,5169,
"Taxation",-35591,943,-2911,1854,-2985,-10819,1574,-735,3811,-758,-2008,-8313,619,-3817,1246,1219,-48,1916,618,2359,962,
"Profit For The Period",-14035,98130,41215,102905,45000,96804,41521,91903,40635,77481,28158,59534,24140,11929,13417,24133,7240,23929,7413,16006,4207,
"Income Attributable To Minority Interests",5037,2361,-535,-1348,155,-1738,-940,299,-36,696,634,325,588,113,166,359,401,484,243,664,308,
"Attributable Income Before Extraordinary Items",-19072,95769,41750,104253,44845,98542,42461,91604,40671,76785,27524,59209,23552,11816,13251,23774,6839,23445,7170,15342,3899,
"Extraordinary Profit",,,,,,,,,,,,,-1924,-8297,-6802,-6086,-2641,,,,,
"Extraordinary Profit: Discontinued Operations",,,,,,,,,,,,,,-8297,,,,,,,,
"Income Attributable To Equity Holders",-19072,95769,41750,104253,44845,98542,42461,91604,40671,76785,27524,59209,21628,3519,6449,17688,4198,23445,7170,15342,3899,
"Total Comprehensive Income/Loss for the period",-14770,98293,40910,103283,44954,97265,41896,91679,40589,78398,29358,,,,,,,,,,,
"Headline Earnings (Cont Ops)",-19072,95645,41844,101431,44721,98142,42259,91517,40453,74979,27524,58121,21628,3543,6592,17813,4161,23395,7215,15078,4130,
"Enterprise Value (EV)",95530,321350,320884,377095,317760,312682,446092,456572,351779,303910,328249,122228,110296,107951,97462,110386,110399,83541,107724,52946,189393,

Balance sheet (ZAR '000),"Jun 2020","Dec 2019","Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016","Jun 2016","Dec 2015","Jun 2015","Dec 2014","Jun 2014","Dec 2013","Jun 2013","Dec 2012","Jun 2012","Dec 2011","Jun 2011","Dec 2010","Jun 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"21 Aug 2020","31 Mar 2020","9 Sep 2019","27 Mar 2019","23 Aug 2018","15 Mar 2018","24 Aug 2017","23 Mar 2017","24 Aug 2016","17 Mar 2016","26 Aug 2015","23 Mar 2015","25 Aug 2014","20 Mar 2014","21 Aug 2013","27 Mar 2013","21 Aug 2012","26 Mar 2012","12 Aug 2011","22 Mar 2011","12 Aug 2010",
"Fixed Assets",19116,20642,20445,20266,22268,23559,19784,18015,17318,15176,8451,7052,7910,8001,6945,7657,8878,9187,9156,9899,9094,
"Right-of-use Asset",20881,28183,25612,,,,,,,,,,,,,,,,,,,
"Goodwill",215780,192993,192993,191230,192889,134480,141166,102287,102287,62501,41280,41280,41280,41280,41340,41280,41280,41280,41280,41205,41205,
"Intangible Assets",84863,74302,69307,74128,69145,44247,48188,39130,40953,32911,23991,23694,19800,20252,18348,17224,14368,13165,9972,9640,5842,
"Deferred Tax Asset",103822,63882,58757,58757,57689,44251,35510,36919,34711,38576,37641,35349,27294,26443,13617,18165,11615,13371,10078,10038,9826,
"Other Assets",5749,6937,6625,37547,41782,41744,3084,2709,2887,2933,3216,2016,1647,1831,1708,1616,2256,2078,1985,1939,1616,
"Total Fixed Assets",450211,386939,373739,381928,383773,288281,247732,199060,198156,152097,114579,109391,97931,97807,81958,85942,78397,79081,72471,72721,67583,
"Stock",3849,4229,5461,4965,4989,3546,3294,2742,4264,4111,3076,3085,2855,2581,3324,3198,4048,3343,2498,1271,2202,
"Debtors",618153,836224,758726,734787,703842,714389,651676,610219,638609,517788,449774,440039,441478,418034,412545,400261,348002,343434,303187,271352,258345,
"Cash",156906,49008,28704,41548,24582,25548,24783,75129,28253,13064,7712,10344,2894,13653,1817,18526,9686,15977,16689,47797,69974,
"Tax",3442,3069,2855,2221,,763,,,,447,,38,330,726,6326,1523,4685,861,2862,105,,
"Total Current Assets",782350,892530,795746,783521,733413,744246,679753,688090,671126,535410,460562,453506,447557,434994,424012,423508,366421,363615,325236,320525,330521,
"Total Assets",1232561,1279469,1169485,1165449,1117186,1032527,927485,887150,869282,687507,575141,562897,545488,532801,505970,509450,444818,442696,397707,393246,398104,
"Ordinary Share Capital & Premium",234051,234051,234051,234051,234051,234051,241867,241867,241867,241867,236867,236867,236867,236867,236867,236867,236867,236867,103752,103752,103752,
"Treasury Shares",13075,13075,13065,11158,10369,7658,12454,9330,8748,9488,7616,7616,7616,7616,-7616,7616,-7616,7616,,,,
"Distributable Reserves",448284,467356,405884,367791,308384,306805,253616,211155,285721,245050,195789,168264,130684,109056,111986,105537,92047,87849,77120,69950,58734,
"Other Capital",9805,6993,12714,10589,6852,7716,6738,2799,-123701,-123154,-123322,-124831,-125744,-125560,-140870,-125730,-140315,-125268,138,92,,
"Ordinary Shareholders' Interest",679065,695325,639584,601273,538918,540914,489767,446491,395139,354275,301718,272684,234191,212747,215599,209058,196215,191832,181010,173794,162486,
