Income statement (ZAR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"25 Nov 2020","25 May 2020","25 Nov 2019","10 Jun 2019","19 Nov 2018","14 May 2018","13 Nov 2017","15 May 2017","21 Nov 2016",
"Turnover",463527,961390,457805,455350,3268,20075,13176,19445,11932,
"Operating Expenses",8594,16614,9327,39876,28254,3597,2367,4191,2548,
"Operating Income",454933,944776,448478,415474,-24986,16478,10809,15254,9384,
"Profit Before Exceptional Items",454933,944776,448478,415474,-24986,16478,10809,15254,9384,
"Exceptional Item 1",716464,638638,939644,-281485,1378057,624001,265613,352739,10596,
"Profit Before Interest And Tax",1171397,1583414,1388122,133989,1353071,640479,276422,367993,19980,
"Interest Received",313,888,492,1696,681,875,434,931,437,
"Interest Paid",246620,676351,345808,409449,64643,1,1,,,
"Net Interest Paid/(Received)",246307,675463,345316,407753,63962,-874,-433,-931,-437,
"Income Before Tax",925090,907951,1042806,-273764,1289109,641353,276855,368924,20417,
"Taxation",160576,143303,210618,624620,996072,142766,62363,79274,4747,
"Profit For The Period",764514,764648,832188,-898384,293037,498587,214492,289650,15670,
"Attributable Income Before Extraordinary Items",764514,764648,832188,-898384,293037,498587,214492,289650,15670,
"Income Attributable To Equity Holders",764514,764648,832188,-898384,293037,498587,214492,289650,15670,
"Total Comprehensive Income/Loss for the period",764514,764648,832188,-898384,293037,498587,214492,289650,15670,
"Headline Earnings (Cont Ops)",764514,764648,832188,-898384,293037,498587,214492,289650,15670,
"Enterprise Value (EV)",11134215,10555759,10808586,10648406,10852167,1095706,1060704,824895,787425,

Balance sheet (ZAR '000),"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"25 Nov 2020","25 May 2020","25 Nov 2019","10 Jun 2019","19 Nov 2018","14 May 2018","13 Nov 2017","15 May 2017","21 Nov 2016",
"Fixed Assets",14108397,13391933,13692939,12753295,14412837,,,,1292616,
"Investments and Loans",,,,,,,,1634759,,
"Deferred Tax Asset",448,,456,456,456,,,,,
"Total Fixed Assets",14108845,13391933,13693395,12753751,14413293,,,1634759,1292616,
"Debtors",18469,6017,11004,10300,30870,17606,11894,19472,14296,
"Cash",4190,4037,3927,4108,4364,4239,4548,4418,4336,
"Tax",,463,,,,456,16,2,,
"Other Current Assets",,,,,,2258760,1900372,,,
"Total Current Assets",22659,10517,14931,14408,35234,2281061,1916830,23892,18632,
"Total Assets",14131504,13402450,13708326,12768159,14448527,2281061,1916830,1658651,1311248,
"Ordinary Share Capital & Premium",4553148,4553148,4553148,4553148,4553148,359883,359883,359883,359883,
"Distributable Reserves",-1357530,-2077595,-1950789,-2742232,-1491645,1490528,1206504,1008135,734155,
"Ordinary Shareholders' Interest",3195618,2475553,2602359,1810916,3061503,1850411,1566387,1368018,1094038,
"Total Shareholders' Interest",3195618,2475553,2602359,1810916,3061503,1850411,1566387,1368018,1094038,
"Interest Bearing Loans",9577384,9729015,9838859,9901219,9935948,,,,,
"Deferred Tax Liability",1353029,1192541,1259967,1049487,1421224,425343,345064,285567,208927,
"Total Long-Term Liabilities",10930413,10921556,11098826,10950706,11357172,425343,345064,285567,208927,
"Creditors and Provisions",3610,3342,4891,4113,26919,2177,1951,1612,2572,
"Dividends",1852,1999,2250,2397,2864,3059,3428,3454,3459,
"Tax",11,,,27,69,,,,2233,
"Bank Overdrafts/Short-Term Loans",,,,,,,,,19,
"Total Current Liabilities",5473,5341,7141,6537,29852,5236,5379,5066,8283,
"Total Liabilities",10935886,10926897,11105967,10957243,11387024,430579,350443,290633,217210,
"Total Equity and Liabilities",14131504,13402450,13708326,12768159,14448527,2281061,1916830,1658651,1311248,

Share/unit data,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"25 Nov 2020","25 May 2020","25 Nov 2019","10 Jun 2019","19 Nov 2018","14 May 2018","13 Nov 2017","15 May 2017","21 Nov 2016",
"Number of Shares in Issue (Actual)",52915960,52915960,52915960,35690991,18560147,14395300,14395300,14395300,14395300,
"Weighted Average Shares in Issue (Actual)",52916960,52915960,52915960,35690991,18560147,14395300,14395300,14395300,14395300,
"Fully Diluted Weighted Average Shares in Issue",52915960,52915960,52915960,35690991,18560147,21276919,20783919,20210402,19655703,
"Market Capitalisation (R'000)",1561021,830781,973654,751295,920583,1099945,1065252,829313,791742,
"Number of Months",6,12,6,12,6,12,6,12,6,

Share statistics,"Sep 2020","Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)",
,"25 Nov 2020","25 May 2020","25 Nov 2019","10 Jun 2019","19 Nov 2018","14 May 2018","13 Nov 2017","15 May 2017","21 Nov 2016",
"Earnings Per Share (ZARc)",1445,1445,1573,-2517,1579,3464,1490,2012.1,108.9,
"Diluted Earnings Per Share (ZARc)",1445,1445,1573,-2517,1579,2343.4,1032,1433.2,79.7,
"Headline Earnings Per Share (Cont Ops) (ZARc)",1445,1445,1573,-2517,1579,3464,1490,2012.1,108.9,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",1445,1445,1573,-2517,1579,2343.4,1032,1433.2,79.7,
"Interim Dividend (ZARc)",111,112,112,112,112,,,,,
"Final Dividend (ZARc)",,84,,77,,100,,112,,
"Dividend Per Share (ZARc)",111,196,112,189,112,100,,112,,
"Distributions Per Share (ZARc)",111,196,112,189,112,100,,112,,
"Net Asset Value Per Share (ZARc)",6039.04,4678.27,4917.91,5073.87,16495.04,8697,10881.24,6768.9,7599.97,
"3 Year Beta",0.99,0.74,1.07,,,,,,,
"Cash Generated Per Share",776.36,1593.16,771.39,-8169.34,-17643.82,-15.49,-51.25,-13.33,-38.17,
"Net Asset Value Per Share (Base Currency)",6039.04,4678.27,4917.91,5073.87,16495.04,8697,10881.24,6768.9,7599.97,
