Income statement (ZAR million),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015","Aug 2014","Feb 2014","Aug 2013","Feb 2013","Aug 2012","Feb 2012","Aug 2011","Feb 2011","Aug 2010","Feb 2010",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"7 Oct 2020","17 Apr 2020","8 Oct 2019","16 Apr 2019","9 Oct 2018","17 Apr 2018","4 Oct 2017","10 Apr 2017","5 Oct 2016","11 Apr 2016","5 Oct 2015","8 Apr 2015","7 Oct 2014","7 Apr 2014","7 Oct 2013","8 Apr 2013","1 Oct 2012","10 Apr 2012","3 Oct 2011","11 Apr 2011","4 Oct 2010","12 Apr 2010",
"Turnover",,7492,3152,7641,3408,8485,4440,10209,4912,9318,4799,8692,4263,5978,127.9,79.8,71.9,115.536,21.7,55.608,17.734,57.518,
"Cost of Sales",,5623,2524,6154,2760,6996,3863,8546,4201,7759,4165,7424,3655,5205,,,,,,,,,
"Gross Profit",-80,2078,628,1487,648,1489,577,1663,711,1559,634,1268,608,733,,,,,,,,,
"Operating Expenses",25,1914,942,1728,826,1671,738,3086,874,1585,818,1366,634,779,321,32.5,71.3,51.141,21.9,53.411,26.233,40.799,
"Operating Income",832,304,-213,546,386,251,26,313,-1,289,78,302,103,360,88.6,342.4,27.6,64.395,-0.2,2.2,-8.499,16.719,
"Profit Before Exceptional Items",832,304,-213,546,386,251,26,313,-1,289,78,302,103,360,88.6,342.4,27.6,64.395,-0.2,2.2,-8.499,16.719,
"Exceptional Item 1",,,,,,,,-1423,,-26,-184,-98,-26,-6,,,,,,81.339,,-17.548,
"Profit Before Interest And Tax",832,304,-213,546,386,251,26,-1110,-1,263,-106,204,77,354,88.6,342.4,27.6,64.395,-0.2,83.539,-8.499,-0.829,
"Interest Paid",47,351,160,324,150,289,144,232,104,180,82,143,67,86,31.3,37.2,14.9,7.185,1.8,2.346,0.198,0.539,
"Net Interest Paid/(Received)",47,351,160,324,150,289,144,232,104,180,82,143,67,86,31.3,37.2,14.9,7.185,1.8,2.346,0.198,0.539,
"Income From Associates Before Tax",,-52,97,295,314,442,206,621,317,827,253,300,179,193,105.2,300.2,101.6,285.8,88.7,199.756,106.947,128.551,
"Income Before Tax",785,-99,-276,517,550,404,88,-721,212,910,65,361,189,461,162.5,605.4,114.3,334.9,86.7,280.949,98.25,127.183,
"Taxation",13,97,-31,110,88,196,-26,21,-34,122,16,77,53,105,46.7,95.9,7.4,0.373,2.5,21.829,1.73,3.542,
"Profit For The Period",772,-196,-245,407,462,208,114,-742,246,788,49,284,136,356,115.8,509.5,106.9,334.527,84.2,259.12,96.52,123.641,
"Income Attributable To Minority Interests",,38,-33,33,-2,-46,-13,54,32,6,-16,42,2,50,11.7,-2.2,-1,,,,,,
"Attributable Income Before Extraordinary Items",772,-234,-212,374,464,254,127,-796,214,782,65,242,134,306,104.1,511.7,107.9,334.527,84.2,259.12,96.52,123.641,
"Extraordinary Profit",1357,795,651,-285,,,,,,,,,,,,,,,,,,,
"Extraordinary Profit: Discontinued Operations",1357,795,651,-285,,,,,,,,,,,,,,,,,,,
"Income Attributable To Equity Holders",2129,561,439,89,464,254,127,-796,214,782,65,242,134,306,104.1,511.7,107.9,334.527,84.2,259.12,96.52,123.641,
