Date,Open,High,Low,Close,Adj Close,Volume
2006-11-28,11800.000000,11946.000000,11700.000000,11800.000000,4353.743164,553047
2006-11-29,11800.000000,11999.000000,11725.000000,11834.000000,4366.289063,721736
2006-11-30,11850.000000,11850.000000,11150.000000,11451.000000,4224.976074,227945
2006-12-01,11550.000000,11550.000000,11425.000000,11450.000000,4224.606934,412047
2006-12-04,11400.000000,11450.000000,11245.000000,11380.000000,4198.780273,738681
2006-12-05,11495.000000,11495.000000,11255.000000,11320.000000,4176.642578,476597
2006-12-06,11300.000000,11301.000000,11201.000000,11290.000000,4165.574219,610038
2006-12-07,11290.000000,11290.000000,11100.000000,11140.000000,4110.229492,409520
2006-12-08,11140.000000,11152.000000,10900.000000,10950.000000,4040.126221,308929
2006-12-11,10950.000000,10950.000000,10700.000000,10805.000000,3986.626953,356057
2006-12-12,10900.000000,10950.000000,10630.000000,10650.000000,3929.438721,449269
2006-12-13,10649.000000,10899.000000,10500.000000,10650.000000,3929.438721,82476
2006-12-14,10700.000000,10800.000000,10325.000000,10800.000000,3984.782959,118681
2006-12-15,10815.000000,11000.000000,10815.000000,11000.000000,4058.574463,790135
2006-12-18,11000.000000,11020.000000,10950.000000,10980.000000,4051.196533,270498
2006-12-19,10850.000000,10900.000000,10556.000000,10810.000000,3988.472900,98311
2006-12-20,10600.000000,10980.000000,10600.000000,10925.000000,4030.902588,126985
2006-12-21,10950.000000,10950.000000,10455.000000,10455.000000,3857.490723,1454764
2006-12-22,10924.000000,10999.000000,10800.000000,10800.000000,3984.782959,179212
2006-12-27,10900.000000,11190.000000,10900.000000,11149.000000,4113.549805,72142
2006-12-28,11000.000000,11200.000000,11000.000000,11200.000000,4132.366211,101673
2006-12-29,11100.000000,11195.000000,11100.000000,11125.000000,4104.695313,7438
2007-01-02,11499.000000,11950.000000,11250.000000,11899.000000,4390.270508,53609
2007-01-03,11520.000000,11575.000000,11250.000000,11399.000000,4205.791016,301213
2007-01-04,11470.000000,11470.000000,10950.000000,11300.000000,4169.263672,100368
2007-01-05,10950.000000,11100.000000,10950.000000,11000.000000,4058.574463,182171
2007-01-08,11000.000000,11110.000000,11000.000000,11090.000000,4091.781250,171326
2007-01-09,11100.000000,11316.500000,11050.000000,11100.000000,4095.471436,454598
2007-01-10,11050.000000,11100.000000,10950.000000,11020.000000,4065.953613,345845
2007-01-11,11100.000000,11200.000000,10900.000000,10985.000000,4053.040527,48847
2007-01-12,11010.000000,11010.000000,10525.000000,10710.000000,3951.576172,435232
2007-01-15,10750.000000,11000.000000,10700.000000,10900.000000,4021.679688,683104
2007-01-16,10950.000000,11050.000000,10940.000000,10950.000000,4040.126221,117027
2007-01-17,10999.000000,11025.000000,10900.000000,10900.000000,4021.679688,655517
2007-01-18,11000.000000,11390.000000,11000.000000,11250.000000,4150.814941,352368
2007-01-19,11235.000000,11300.000000,10980.000000,11300.000000,4169.263672,120486
2007-01-22,11400.000000,11400.000000,11195.000000,11200.000000,4132.366211,524171
2007-01-23,11199.000000,11199.000000,10800.000000,10970.000000,4047.506104,81061
2007-01-24,11000.000000,11350.000000,11000.000000,11350.000000,4187.711426,153479
2007-01-25,11450.000000,11650.000000,11345.000000,11550.000000,4261.502930,117012
2007-01-26,11443.000000,11580.000000,11400.000000,11580.000000,4272.572266,176634
2007-01-29,11648.000000,11648.000000,11200.000000,11320.000000,4176.642578,108022
2007-01-30,11250.000000,11450.000000,11250.000000,11400.000000,4206.161133,99143
2007-01-31,11650.000000,12400.000000,11401.000000,11860.000000,4375.881836,657699
2007-02-01,11860.000000,13399.000000,11860.000000,12600.000000,4648.912598,467990
2007-02-02,12651.000000,12910.000000,12600.000000,12860.000000,4744.843750,257517
2007-02-05,12600.000000,12800.000000,12500.000000,12550.000000,4630.465820,315886
2007-02-06,12600.000000,12919.000000,12600.000000,12880.000000,4752.222168,151166
2007-02-07,12900.000000,13000.000000,12661.000000,12830.000000,4733.773438,523190
2007-02-08,12750.000000,12800.000000,12525.000000,12650.000000,4667.360352,383055
2007-02-09,12500.000000,12895.000000,12300.000000,12300.000000,4538.224121,437692
2007-02-12,12300.000000,12700.000000,12300.000000,12481.000000,4605.006348,48745
2007-02-13,12550.000000,12650.000000,12297.000000,12300.000000,4538.224121,168600
2007-02-14,12301.000000,12450.000000,12301.000000,12400.000000,4575.121582,789307
2007-02-15,12401.000000,12401.000000,11800.000000,11950.000000,4409.088867,222824
2007-02-16,12000.000000,12000.000000,11600.000000,11900.000000,4390.641113,367134
2007-02-19,12000.000000,12360.000000,11950.000000,12300.000000,4538.224121,433991
2007-02-20,12450.000000,12800.000000,12400.000000,12750.000000,4704.257813,538421
2007-02-21,12789.000000,13050.000000,12700.000000,12850.000000,4741.154297,296465
2007-02-22,12845.000000,13085.000000,12800.000000,12926.000000,4769.194336,218594
2007-02-23,12450.000000,13100.000000,12450.000000,13100.000000,4833.392578,404765
2007-02-26,13100.000000,13398.000000,12730.000000,13100.000000,4833.392578,280154
2007-02-27,12650.000000,13300.000000,12000.000000,12320.000000,4545.603516,388664
2007-02-28,12000.000000,12750.000000,12000.000000,12750.000000,4704.257813,418082
2007-03-01,12850.000000,13100.000000,12225.000000,12650.000000,4667.360352,367594
2007-03-02,12700.000000,12702.000000,12350.000000,12501.000000,4612.387207,419276
2007-03-05,12501.000000,12501.000000,12002.000000,12311.000000,4542.283203,212077
2007-03-06,12350.000000,12675.000000,12015.000000,12375.000000,4565.895996,107648
2007-03-07,12395.000000,12595.000000,12102.000000,12500.000000,4612.017090,123818
2007-03-08,12550.000000,13200.000000,12550.000000,12800.000000,4722.705566,254353
2007-03-09,12875.000000,12875.000000,12600.000000,12700.000000,4685.809570,98691
2007-03-12,12800.000000,13000.000000,12700.000000,12800.000000,4722.705566,138572
2007-03-13,13000.000000,13000.000000,12801.000000,12950.000000,4778.050781,289977
2007-03-14,12700.000000,12700.000000,12430.000000,12600.000000,4648.912598,313849
2007-03-15,12710.000000,13620.000000,12700.000000,12900.000000,4759.602051,599806
2007-03-16,12900.000000,12900.000000,12710.000000,12900.000000,4789.302246,266408
2007-03-19,13000.000000,13300.000000,12900.000000,13300.000000,4937.809082,197740
2007-03-20,13400.000000,13500.000000,13250.000000,13300.000000,4937.809082,198928
2007-03-22,13451.000000,13810.000000,13390.000000,13750.000000,5104.876465,329923
2007-03-23,13750.000000,14400.000000,13750.000000,14400.000000,5346.199219,609256
2007-03-26,14500.000000,14900.000000,14425.000000,14680.000000,5450.152344,290870
2007-03-27,14700.000000,14700.000000,14400.000000,14700.000000,5457.578613,359432
2007-03-28,14650.000000,14750.000000,14500.000000,14600.000000,5420.452148,162251
2007-03-29,14600.000000,14750.000000,14415.000000,14600.000000,5420.452148,211545
2007-03-30,14600.000000,14900.000000,14600.000000,14900.000000,5531.829102,232927
2007-04-02,14700.000000,14899.000000,14700.000000,14750.000000,5476.140625,92775
2007-04-03,15200.000000,15200.000000,14750.000000,14880.000000,5524.406250,356537
2007-04-04,14999.000000,14999.000000,14700.000000,14700.000000,5457.578613,125718
2007-04-05,14699.000000,14848.000000,14525.000000,14840.000000,5509.553711,52312
2007-04-10,14850.000000,14900.000000,14625.000000,14850.000000,5513.267578,119975
2007-04-11,14845.000000,14850.000000,14625.000000,14650.000000,5439.014160,78598
2007-04-12,14650.000000,14860.000000,14600.000000,14680.000000,5450.152344,69885
2007-04-13,14550.000000,14625.000000,14550.000000,14600.000000,5420.452148,316974
2007-04-16,14699.000000,14699.000000,14475.000000,14505.000000,5385.180664,309031
2007-04-17,14600.000000,14850.000000,14200.000000,14799.000000,5494.332520,307365
