Date,Price,Open,High,Low,Vol,Change,Beta,Alpha
2002-02-21,677.0,678.0,683.0,673.0,70270.0,-0.0015,1.1684632102216115,0.0018439660082769183
2002-02-22,657.0,677.0,677.0,658.0,27680.0,-0.029500000000000002,1.174160903894211,0.0018655527550188837
2002-02-25,668.0,649.0,668.0,649.0,125620.0,0.0167,1.204103003427013,0.0020074811723429582
2002-02-26,678.0,668.0,678.0,668.0,71220.0,0.015,1.2460175176897417,0.0020043603563793637
2002-02-27,689.0,688.0,703.0,683.0,751760.0,0.016200000000000003,1.2507277945472004,0.002205408348874614
2002-02-28,693.0,697.0,698.0,688.0,147070.0,0.0058,1.2602430188893505,0.0022352475970132003
2002-03-01,698.0,691.0,698.0,691.0,100830.0,0.0072,1.2620900655481497,0.002268426440933704
2002-03-04,703.0,698.0,703.0,698.0,160410.0,0.0072,1.259216968585405,0.0022966208735599727
2002-03-05,698.0,708.0,708.0,698.0,1420000.0,-0.0070999999999999995,1.2926887398701807,0.0024472962205029725
2002-03-06,688.0,698.0,698.0,678.0,2900000.0,-0.0143,1.266887353279022,0.002368409146708952
2002-03-07,703.0,688.0,708.0,688.0,64430.00000000001,0.0218,1.2633051285004204,0.002207328190080508
2002-03-08,703.0,703.0,737.0,703.0,28100.0,0.0,1.253440188879197,0.002334208656248723
2002-03-11,717.0,703.0,727.0,703.0,103850.0,0.0199,1.3221683755289624,0.002528423330343634
2002-03-12,706.0,717.0,717.0,705.0,531880.0,-0.015300000000000001,1.29150088272523,0.0026270296693744473
2002-03-13,688.0,703.0,703.0,688.0,736890.0,-0.0255,1.2679799060306105,0.002536808719102011
2002-03-14,688.0,693.0,693.0,678.0,659630.0,0.0,1.3111883386341388,0.002458115066780584
2002-03-15,683.0,683.0,683.0,678.0,25090.0,-0.0073,1.376932710111732,0.0023212890922712473
2002-03-18,693.0,683.0,693.0,678.0,479250.0,0.0146,1.3731294669379241,0.002290715650389984
2002-03-19,693.0,688.0,693.0,688.0,56710.0,0.0,1.316317509609883,0.002495062299098452
2002-03-20,694.0,694.0,694.0,693.0,85060.0,0.0014000000000000002,1.310648649174192,0.0025586904000634157
2002-03-22,698.0,694.0,698.0,688.0,159800.0,0.0058,1.3104278486990872,0.0025629248845071956
2002-03-25,688.0,698.0,700.0,688.0,876780.0,-0.0143,1.313819164655654,0.0025605052151098703
2002-03-26,693.0,688.0,698.0,688.0,575850.0,0.0073,1.3331573973188644,0.0024930996772222487
2002-03-27,698.0,698.0,708.0,693.0,512870.0,0.0072,1.3145685145311443,0.0025444030461872083
2002-03-28,688.0,688.0,689.0,688.0,710010.0,-0.0143,1.3281654070990652,0.002697729716835429
2002-04-02,689.0,688.0,689.0,678.0,2080000.0,0.0015,1.315475471098445,0.0025857364030460656
2002-04-03,693.0,693.0,698.0,688.0,445870.0,0.0058,1.3023244904202167,0.002431960115574587
2002-04-04,698.0,688.0,703.0,688.0,1120000.0,0.0072,1.2848853591485905,0.00251323079916376
2002-04-05,703.0,698.0,703.0,698.0,566980.0,0.0072,1.2586664256117548,0.0025380549133374114
2002-04-08,703.0,708.0,713.0,703.0,707990.0,0.0,1.3672925873358397,0.002213933720616709
2002-04-09,708.0,708.0,708.0,708.0,95650.0,0.0070999999999999995,1.3699980902758784,0.00220826414559688
2002-04-10,708.0,708.0,708.0,703.0,1450000.0,0.0,1.3598976686396091,0.0022477936923646523
2002-04-11,713.0,713.0,713.0,703.0,207960.0,0.0070999999999999995,1.3600028435765523,0.00224790560050087
2002-04-12,721.0,708.0,727.0,693.0,1130000.0,0.011200000000000002,1.3710254705594902,0.0022986078492202933
2002-04-15,727.0,713.0,727.0,713.0,16990.0,0.0083,1.2269680543528252,0.0025103940877015114
2002-04-16,727.0,714.0,732.0,713.0,271980.0,0.0,1.214531636017479,0.002406710713329419
2002-04-17,737.0,737.0,747.0,727.0,84960.0,0.0138,1.2167991378041305,0.002412391957713674
2002-04-18,754.0,737.0,757.0,737.0,1150000.0,0.0231,1.1310080684963244,0.0023787622354600243
2002-04-19,755.0,752.0,757.0,752.0,134080.0,0.0013,1.1212032660816356,0.0024740806474401714
2002-04-22,762.0,742.0,762.0,742.0,104400.0,0.009300000000000001,1.1320799087241096,0.002559389077746234
2002-04-23,762.0,762.0,763.0,757.0,127940.0,0.0,1.0900828703108247,0.0024965305587088993
2002-04-24,757.0,764.0,764.0,757.0,2330000.0,-0.0066,1.054050364050109,0.002267486954249919
2002-04-25,742.0,755.0,755.0,742.0,45080.0,-0.019799999999999998,1.0667947263080904,0.002153372222703042
2002-04-26,747.0,747.0,752.0,747.0,52380.0,0.0067,1.1022808036778502,0.0019883584568413134
2002-04-29,757.0,752.0,757.0,752.0,38160.0,0.0134,1.0996517014152787,0.001978246143765998
2002-04-30,747.0,752.0,752.0,737.0,38130.0,-0.0132,1.0292621874171834,0.002052851569673442
2002-05-02,737.0,742.0,747.0,737.0,50820.0,-0.0134,1.0314834336673324,0.001995958332092805
2002-05-03,737.0,727.0,737.0,717.0,43440.0,0.0,0.9736079557400846,0.0017624437048463434
2002-05-06,727.0,727.0,737.0,722.0,134580.0,-0.013600000000000001,0.9697221367735622,0.001702889289691989
2002-05-07,727.0,727.0,732.0,727.0,35510.0,0.0,0.9343512651798436,0.0018152128435293203
2002-05-08,727.0,727.0,732.0,727.0,841660.0,0.0,0.9389694125615157,0.0018365387543091197
2002-05-09,737.0,727.0,747.0,727.0,3960000.0,0.0138,0.8765357587782268,0.0016576986481523536
2002-05-10,742.0,742.0,747.0,742.0,65780.0,0.0068000000000000005,0.8878201001952334,0.0015454981115587496
2002-05-13,767.0,747.0,776.0,747.0,329020.0,0.0337,0.897290652866074,0.0015161796426673884
2002-05-14,762.0,767.0,767.0,747.0,110320.0,-0.006500000000000001,0.8743686116788483,0.0014444696899684317
2002-05-15,737.0,752.0,767.0,737.0,230000.0,-0.032799999999999996,0.868160249765761,0.0014142547492180275
2002-05-16,757.0,747.0,757.0,747.0,179390.0,0.0271,0.9485948073721275,0.0010711002086570963
2002-05-17,757.0,757.0,762.0,752.0,264860.0,0.0,0.9638762199666412,0.0011535761680708874
2002-05-20,752.0,757.0,757.0,747.0,314960.0,-0.0066,0.9703572195212462,0.0012390454472385405
2002-05-21,752.0,752.0,756.0,752.0,285980.0,0.0,0.9953625458315378,0.0012561381929606433
2002-05-22,745.0,747.0,747.0,745.0,39070.0,-0.009300000000000001,0.9973568939803645,0.001193929962315424
2002-05-23,722.0,713.0,722.0,698.0,379470.0,-0.030899999999999997,1.0103777838323444,0.0012341170621214123
2002-05-24,732.0,723.0,732.0,717.0,191890.0,0.0139,1.021145560617331,0.0011079584923740378
2002-05-27,732.0,732.0,732.0,732.0,115540.0,0.0,1.023979997114545,0.00105368287227479
2002-05-28,727.0,733.0,737.0,727.0,517140.0,-0.0068000000000000005,1.0222302790334148,0.0010203102912307365
2002-05-29,737.0,727.0,737.0,727.0,286340.0,0.0138,1.0275491440871194,0.0010060756736483768
2002-05-30,742.0,742.0,747.0,737.0,359830.0,0.0068000000000000005,1.0220434362064619,0.001063129723553415
2002-05-31,752.0,747.0,752.0,747.0,150300.0,0.013500000000000002,1.0190484593041271,0.0010887575598767531
2002-06-03,752.0,754.0,755.0,747.0,158610.0,0.0,1.0342485022895118,0.0011755266794074098
2002-06-04,742.0,738.0,752.0,738.0,7520.0,-0.013300000000000001,1.040705846954033,0.0011864236000686864
2002-06-05,737.0,737.0,747.0,737.0,22590.0,-0.0067,1.017465432984346,0.0012119500406997895
2002-06-06,737.0,742.0,742.0,737.0,74630.0,0.0,0.9923152110132085,0.0011939345988856947
2002-06-07,737.0,747.0,747.0,737.0,66940.0,0.0,0.9922145968656944,0.001264239941452625
2002-06-10,732.0,737.0,737.0,727.0,371750.0,-0.0068000000000000005,0.9932583221710555,0.001405823102322649
2002-06-11,742.0,732.0,742.0,727.0,991570.0,0.0137,0.9881095749792879,0.0013554818064086486
2002-06-12,741.0,738.0,741.0,737.0,715710.0,-0.0013,1.0017646899989692,0.001420416421804936
2002-06-13,742.0,737.0,747.0,735.0,194240.0,0.0013,0.9934730848264287,0.001229576427553455
2002-06-14,737.0,742.0,742.0,737.0,492170.0,-0.0067,0.993132682462076,0.0012336816293238577
2002-06-18,737.0,737.0,742.0,737.0,49620.0,0.0,0.9984122982902998,0.0012197979986170902
2002-06-19,739.0,737.0,742.0,737.0,317440.0,0.0027,0.9921190048787966,0.0012066676353039818
2002-06-20,747.0,739.0,747.0,739.0,140370.0,0.0108,0.9860138359942325,0.0011957956756612432
2002-06-21,742.0,737.0,742.0,737.0,233600.0,-0.0067,0.9730087817284188,0.0012744357775272286
