Date,Price,Open,High,Low,Vol,Change,Beta,Alpha
2002-02-21,3510.0,3520.0,3520.0,3510.0,4000.0,-0.025,0.5400893374552789,0.0008120556631862395
2002-02-22,3500.0,3510.0,3510.0,3500.0,69710.0,-0.0028000000000000004,0.5767480454391749,0.0007602687817070685
2002-02-25,3500.0,3500.0,3500.0,3480.0,11340.0,0.0,0.5780604539579497,0.0007693334084851307
2002-02-26,3420.0,3500.0,3500.0,3400.0,25450.0,-0.0229,0.5720660644828252,0.0007616441777026144
2002-02-27,3400.0,3420.0,3420.0,3300.0,23610.0,-0.0058,0.5632412738949351,0.0005553052002394033
2002-02-28,3330.0,3330.0,3330.0,3330.0,7520.0,-0.0206,0.5882838275534752,0.0005181067354947022
2002-03-01,3280.0,3290.0,3300.0,3275.0,431770.0,-0.015,0.5844385647606876,0.0003918346212062044
2002-03-04,3300.0,3250.0,3300.0,3220.0,340530.0,0.0060999999999999995,0.5555173624740298,0.00019457116404005283
2002-03-05,3350.0,3320.0,3350.0,3320.0,163830.0,0.0152,0.588176995642081,0.00034549291484756194
2002-03-06,3350.0,3230.0,3350.0,3230.0,19660.0,0.0,0.6650534008396167,0.0002833317919745394
2002-03-07,3400.0,3300.0,3400.0,3300.0,206240.0,0.0149,0.6672377843099595,0.0002485355624484736
2002-03-08,3430.0,3400.0,3450.0,3400.0,9330.0,0.0088,0.6620253078010921,0.00032257494483353135
2002-03-11,3300.0,3390.0,3390.0,3280.0,19450.0,-0.0379,0.654098420432741,0.00031451163410835953
2002-03-12,3625.0,3310.0,3800.0,3310.0,28120000.0,0.09849999999999999,0.7113476734000531,0.00021331870992775476
2002-03-13,3625.0,3650.0,3650.0,3600.0,70500.0,0.0,0.8136221914910021,0.0006467244616822929
2002-03-14,3630.0,3625.0,3630.0,3600.0,43090.0,0.0014000000000000002,0.813484022208446,0.00063190000906055
2002-03-15,3665.0,3650.0,3650.0,3650.0,5000.0,0.0096,0.8311541663565303,0.0005894431963677546
2002-03-18,3750.0,3670.0,3750.0,3665.0,36670.0,0.0232,0.8389827103635924,0.0006624654635218617
2002-03-19,3800.0,3780.0,3800.0,3740.0,37180.0,0.013300000000000001,0.7831693830715474,0.0009065279309787066
2002-03-20,3800.0,3800.0,3800.0,3790.0,56280.0,0.0,0.7606497740330487,0.0009652733675569021
2002-03-22,3845.0,3850.0,3850.0,3845.0,8340.0,0.0118,0.7609617740450373,0.0009526778223019936
2002-03-25,3835.0,3850.0,3850.0,3830.0,41150.0,-0.0026,0.7721323950100046,0.0009801852782006949
2002-03-26,3950.0,3840.0,3950.0,3840.0,3410.0,0.03,0.7692650987741332,0.0009897399496429813
2002-03-27,3950.0,3950.0,3975.0,3950.0,10680.0,0.0,0.7541449175548652,0.0011111141428055205
2002-03-28,3995.0,3975.0,4000.0,3950.0,49540.0,0.011399999999999999,0.754751812590777,0.0011256063244341349
2002-04-02,3900.0,3975.0,3975.0,3900.0,25900.0,-0.023799999999999998,0.7251223503893567,0.0011610356891118027
2002-04-03,3870.0,3900.0,3900.0,3870.0,345400.0,-0.0077,0.6954005028382093,0.0010484082091626922
2002-04-04,3900.0,3850.0,3900.0,3850.0,81520.0,0.0078000000000000005,0.6748119338506844,0.0009552157365985317
2002-04-05,3825.0,3870.0,3880.0,3800.0,73690.0,-0.0192,0.6783803949595916,0.0009202484869795663
2002-04-08,3745.0,3745.0,3745.0,3745.0,0.0,-0.0209,0.6279833898276866,0.0008775563819779021
2002-04-09,3800.0,3700.0,3800.0,3700.0,45850.0,0.0147,0.6454794514636389,0.0008057747413074343
2002-04-10,3870.0,3850.0,3875.0,3850.0,12840.0,0.0184,0.6526212997596638,0.0008732149859223616
2002-04-11,3870.0,3870.0,3870.0,3870.0,11900.0,0.0,0.7210004123719126,0.001036189689680528
2002-04-12,3840.0,3840.0,3840.0,3840.0,0.0,-0.0078000000000000005,0.7267542822942585,0.0010481231178707596
2002-04-15,3500.0,3835.0,3840.0,3750.0,138630.0,-0.0885,0.8356002841806541,0.0008824989414874598
2002-04-16,3570.0,3505.0,3505.0,3500.0,630.0,0.02,0.8741163565908445,0.0005522310929398597
2002-04-17,3650.0,3680.0,3680.0,3650.0,75120.0,0.022400000000000003,0.8573556265409328,0.0005034965980058837
2002-04-18,3680.0,3655.0,3690.0,3655.0,6350.0,0.008199999999999999,0.8613054013453624,0.0006300414235197257
2002-04-19,3700.0,3680.0,3700.0,3680.0,2620.0,0.0054,0.8574776644107575,0.0006658587855183029
2002-04-22,3710.0,3710.0,3715.0,3700.0,41680.0,0.0027,0.8612197606540766,0.0006794166677964302
2002-04-23,3720.0,3720.0,3740.0,3720.0,48290.0,0.0027,0.8328017733147838,0.0006341464828326551
2002-04-24,3775.0,3730.0,3800.0,3730.0,31330.0,0.0148,0.832602727521917,0.0006375883472074792
2002-04-25,3830.0,3775.0,3830.0,3775.0,35210.0,0.0146,0.8393732845700592,0.0006368044562618027
2002-04-26,3850.0,3830.0,3850.0,3810.0,19450.0,0.0052,0.8400331554518439,0.0006884114290815309
2002-04-29,3840.0,3850.0,3850.0,3850.0,14410.0,-0.0026,0.8389151313939457,0.0007627208753508054
2002-04-30,3750.0,3800.0,3800.0,3750.0,21710.0,-0.023399999999999997,0.8346354345832481,0.0007077203699698054
2002-05-02,3760.0,3760.0,3760.0,3750.0,83260.0,0.0027,0.8407779939778459,0.0006006723143825614
2002-05-03,3770.0,3800.0,3800.0,3770.0,16190.000000000002,0.0027,0.8170046400038777,0.0004544471621328329
2002-05-06,3950.0,3850.0,3950.0,3850.0,74300.0,0.04769999999999999,0.8341967556316111,0.00031060387982756655
2002-05-07,4000.0,3950.0,4000.0,3950.0,1050000.0,0.0127,0.8994331593984508,0.000419766715971235
2002-05-08,4020.0,4000.0,4030.0,4000.0,1620000.0,0.005,0.8571532331759038,0.0003002358727393592
2002-05-09,4125.0,4100.0,4125.0,4100.0,199180.0,0.026099999999999998,0.8922079434053147,0.0004018078742498722
2002-05-10,4100.0,4150.0,4150.0,4100.0,213120.0,-0.0060999999999999995,0.8663019894246606,0.0005495327285644066
2002-05-13,4100.0,4080.0,4105.0,4080.0,111030.0,0.0,0.827659134473902,0.0007218023358705558
2002-05-14,4150.0,4130.0,4150.0,4130.0,4000.0,0.012199999999999999,0.8214267160084766,0.000691346869447175
2002-05-15,4120.0,4150.0,4150.0,4120.0,440.0,-0.0072,0.8348482370743523,0.0008216508434222672
2002-05-16,4000.0,4120.0,4120.0,4000.0,39580.0,-0.0291,0.8387101733526955,0.0007826086464071854
2002-05-17,4030.0,4000.0,4050.0,4000.0,17210.0,0.0075,0.8175252465037801,0.0007668864974241059
2002-05-20,4200.0,4035.0,4200.0,4035.0,11450.0,0.042199999999999994,0.8154143023815811,0.0008015077525144863
2002-05-21,4050.0,4150.0,4150.0,4050.0,253200.0,-0.035699999999999996,0.6927725435500354,0.000844649985600631
2002-05-22,4050.0,4100.0,4100.0,4050.0,2490.0,0.0,0.7116366151894634,0.0007883127148377666
2002-05-23,3960.0,4000.0,4000.0,3950.0,23850.0,-0.0222,0.7038418447751764,0.0006897089237470351
2002-05-24,4000.0,4000.0,4010.0,4000.0,129920.0,0.0101,0.7090646530274961,0.000656300199934908
2002-05-27,3960.0,3980.0,4000.0,3960.0,207920.0,-0.01,0.7124866275931026,0.0007807062229871946
2002-05-28,3790.0,3900.0,3900.0,3790.0,42390.0,-0.0429,0.7151815009056772,0.0007127728673582687
