Date,Price,Open,High,Low,Vol,Change,Beta,Alpha
2002-02-21,2722.0,2736.0,2855.0,2665.0,1920000.0,-0.0033,3.823069931186804,0.000900002034452441
2002-02-22,2679.0,2684.0,2712.0,2650.0,950080.0,-0.0158,3.798334793065667,0.0008649454731241871
2002-02-25,2703.0,2712.0,2722.0,2693.0,1160000.0,0.009000000000000001,3.801976251707734,0.0008283505271772319
2002-02-26,2755.0,2722.0,2755.0,2703.0,980500.0,0.0192,3.790826975547897,0.0008186098792066239
2002-02-27,2626.0,2750.0,2807.0,2598.0,1850000.0,-0.046799999999999994,3.796708323795917,0.0009375663655502792
2002-02-28,2598.0,2569.0,2626.0,2474.0,982450.0,-0.010700000000000001,3.9245845044496797,0.0007207469022263958
2002-03-01,2679.0,2607.0,2674.0,2512.0,912430.0,0.031200000000000002,3.9347075294307494,0.0007412589845998118
2002-03-04,2579.0,2712.0,2736.0,2569.0,1790000.0,-0.0373,3.958389965965874,0.0008283646906671912
2002-03-05,2588.0,2603.0,2645.0,2579.0,1710000.0,0.0034999999999999996,3.9691867938929826,0.0007712080124938006
2002-03-06,2626.0,2588.0,2655.0,2522.0,2420000.0,0.0147,4.002222941161485,0.0005632901485761136
2002-03-07,2598.0,2631.0,2688.0,2550.0,3050000.0,-0.010700000000000001,4.012527499698954,0.0005518287600702104
2002-03-08,2655.0,2569.0,2655.0,2550.0,4060000.0,0.0219,4.012988794316453,0.000534319135703147
2002-03-11,2569.0,2655.0,2655.0,2569.0,1860000.0,-0.032400000000000005,4.018624773832084,0.0005824660008822205
2002-03-12,2522.0,2569.0,2569.0,2512.0,2420000.0,-0.0183,4.04342875215483,0.0005101207991370626
2002-03-13,2474.0,2522.0,2541.0,2455.0,1920000.0,-0.019,4.007817402941302,0.00040206941550165746
2002-03-14,2479.0,2474.0,2522.0,2436.0,607770.0,0.002,4.018209836696107,0.0003564088292875053
2002-03-15,2493.0,2522.0,2522.0,2465.0,2590000.0,0.005600000000000001,4.066684307142821,0.00017722427265857464
2002-03-18,2427.0,2493.0,2498.0,2403.0,1620000.0,-0.0265,4.0600893132298905,0.0001098017067457585
2002-03-19,2427.0,2427.0,2441.0,2379.0,739750.0,0.0,4.044149656491926,4.256279630974678e-05
2002-03-20,2479.0,2417.0,2493.0,2417.0,2530000.0,0.021400000000000002,4.021510078868436,0.00011422577409009633
2002-03-22,2512.0,2474.0,2512.0,2469.0,1150000.0,0.013300000000000001,4.025901757276563,4.636406531368079e-05
2002-03-25,2503.0,2512.0,2522.0,2484.0,1380000.0,-0.0036,4.016651593881719,0.00011402749255782704
2002-03-26,2484.0,2508.0,2512.0,2474.0,1580000.0,-0.0076,3.964911386113822,0.00022112594297330328
2002-03-27,2412.0,2484.0,2484.0,2379.0,666660.0,-0.028999999999999998,3.9448045814802337,0.0002441015467848016
2002-03-28,2408.0,2393.0,2427.0,2379.0,875780.0,-0.0017000000000000001,3.9605277282271456,0.0001559109359958356
2002-04-02,2522.0,2408.0,2522.0,2379.0,844520.0,0.0473,3.931197603053852,0.00020748195278613366
2002-04-03,2617.0,2569.0,2617.0,2541.0,1970000.0,0.0377,3.969946795788683,0.0003209010807202082
2002-04-04,2779.0,2598.0,2812.0,2569.0,3090000.0,0.061900000000000004,4.009236707096184,0.00037957470807006486
2002-04-05,2841.0,2788.0,2841.0,2741.0,1040000.0,0.0223,4.10104324024774,0.00047638668819502796
2002-04-08,2845.0,2836.0,2921.0,2774.0,1200000.0,0.0014000000000000002,4.112542109958235,0.000501000813339793
2002-04-09,2855.0,2826.0,2883.0,2826.0,727770.0,0.0034999999999999996,4.121984623340488,0.000489652277746901
2002-04-10,2864.0,2855.0,2883.0,2817.0,1720000.0,0.0032,4.11048688706841,0.0004667965704556319
2002-04-11,2855.0,2874.0,2902.0,2855.0,441430.0,-0.0031,4.149214174864994,0.0005587011833696332
