Date,Price,Open,High,Low,Vol,Change,Beta,Alpha
2002-02-21,750.0,755.0,755.0,755.0,6370.0,-0.0066,0.9448092983698213,-0.0010594541453237177
2002-02-22,739.0,739.0,739.0,739.0,0.0,-0.0147,0.9548613438769112,-0.0010439053669792633
2002-02-25,725.0,730.0,735.0,725.0,271170.0,-0.0189,0.9775528060201193,-0.0012602345888120781
2002-02-26,730.0,725.0,730.0,710.0,915100.0,0.0069,0.9339138900810643,-0.0013263604334785143
2002-02-27,798.0,745.0,828.0,745.0,35410.0,0.0932,0.9365302732836595,-0.0013541968004334725
2002-02-28,818.0,798.0,823.0,798.0,71900.0,0.025099999999999997,0.7716819182923443,-0.0009582437690165988
2002-03-01,871.0,871.0,876.0,871.0,57020.0,0.06480000000000001,0.7792732590876459,-0.000779664421403644
2002-03-04,847.0,837.0,837.0,837.0,1030.0,-0.0276,0.9007550038222617,-0.000526466811735982
2002-03-05,847.0,847.0,847.0,837.0,167500.0,0.0,0.882978172189504,-0.0006706682735844995
2002-03-06,837.0,847.0,847.0,837.0,164550.0,-0.0118,0.883487149570614,-0.0007013694540755037
2002-03-07,848.0,837.0,847.0,837.0,321800.0,0.0131,0.8708277874245586,-0.0007061162277481431
2002-03-08,876.0,871.0,876.0,871.0,1170000.0,0.033,0.8698844757811939,-0.0006735923519850476
2002-03-11,905.0,886.0,905.0,886.0,107230.0,0.0331,0.895803267014325,-0.000530907548535077
2002-03-12,876.0,876.0,881.0,876.0,1440.0,-0.032,0.8467900905160508,-0.00035711577738281505
2002-03-13,876.0,876.0,876.0,866.0,359190.0,0.0,0.8146775201474105,-0.0005252719328343705
2002-03-14,876.0,876.0,876.0,876.0,419530.0,0.0,0.8079296827706032,-0.0005185510339189751
2002-03-15,876.0,857.0,876.0,857.0,471200.0,0.0,0.8064763817929129,-0.0005402823488393
2002-03-18,857.0,857.0,858.0,857.0,34480.0,-0.0217,0.8096936075109019,-0.0005077314817216449
2002-03-19,857.0,857.0,866.0,857.0,217500.0,0.0,0.7938452407681214,-0.0005528659741450559
2002-03-20,847.0,847.0,847.0,837.0,38420.0,-0.011699999999999999,0.7817888677423152,-0.00036320276563142384
2002-03-22,828.0,847.0,847.0,828.0,2570.0,-0.022400000000000003,0.7768050296510246,-0.00024022448350179284
2002-03-25,828.0,828.0,828.0,828.0,27320.0,0.0,0.7913177761314651,-0.00042323484040071157
2002-03-26,842.0,828.0,842.0,828.0,83300.0,0.0169,0.7767445958517539,-0.00042479367844987416
2002-03-27,837.0,837.0,847.0,837.0,67210.0,-0.0059,0.7360487238588367,-0.00029856476273961216
2002-03-28,837.0,847.0,847.0,837.0,11400.0,0.0,0.7482416621962215,-0.0002692237324553953
2002-04-02,828.0,828.0,828.0,828.0,61700.0,-0.0108,0.7301403933140986,-0.0002831154569635678
2002-04-03,808.0,818.0,818.0,808.0,35950.0,-0.0242,0.7164502929692824,-0.00033490599066520556
2002-04-04,842.0,818.0,847.0,818.0,52180.0,0.0421,0.6600612232841866,-0.00045899979775249327
2002-04-05,847.0,828.0,847.0,828.0,40930.0,0.0059,0.7922858135596913,-0.00029721922383443866
2002-04-08,828.0,828.0,828.0,828.0,31880.0,-0.022400000000000003,0.8009643344102915,-0.00029481195406436697
2002-04-09,828.0,828.0,828.0,828.0,15220.0,0.0,0.8811701994183372,-0.0005355932372954127
2002-04-10,828.0,828.0,828.0,828.0,920.0,0.0,0.8837423773922941,-0.0005563124673442801
2002-04-11,837.0,828.0,837.0,828.0,6910.0,0.0109,0.8837956266248163,-0.0005562411073655994
2002-04-12,837.0,837.0,837.0,832.0,43550.0,0.0,0.8875330729617541,-0.0004987109591826262
2002-04-15,828.0,832.0,837.0,828.0,127820.0,-0.0108,0.90959306282878,-0.0005224912840655016
2002-04-16,823.0,823.0,823.0,823.0,60540.0,-0.006,0.9107102843519586,-0.000597859828735728
2002-04-17,828.0,828.0,828.0,823.0,111870.0,0.0060999999999999995,0.9223490110940717,-0.0005435110964208692
2002-04-18,789.0,809.0,809.0,759.0,71340.0,-0.0471,0.8721932983728006,-0.0005605838640808077
2002-04-19,779.0,793.0,793.0,779.0,144620.0,-0.0127,0.8926398861593157,-0.0007023572982242976
2002-04-22,779.0,779.0,779.0,769.0,95630.0,0.0,0.8646608497442273,-0.0007649883682145525
2002-04-23,789.0,789.0,789.0,789.0,7890.0,0.0128,0.8709517339884375,-0.0007587967670738173
2002-04-24,808.0,803.0,808.0,798.0,16640.0,0.0241,0.8912370468145717,-0.0006781414740134771
2002-04-25,808.0,813.0,813.0,804.0,112370.0,0.0,0.8782462558520238,-0.000509722719837664
2002-04-26,847.0,808.0,842.0,808.0,14120.0,0.0483,0.884487628466388,-0.000521571386397798
2002-04-29,857.0,866.0,866.0,866.0,510.0,0.0118,0.8656783922397422,-0.0003684683617573595
2002-04-30,837.0,828.0,837.0,828.0,24220.0,-0.0233,0.8004304753643751,-0.0003061301919401206
2002-05-02,837.0,837.0,837.0,837.0,53740.0,0.0,0.8173730557282782,-0.0004750695217296675
2002-05-03,828.0,818.0,828.0,818.0,5960.0,-0.0108,0.8124362663638782,-0.00048499912812169284
2002-05-06,837.0,828.0,837.0,828.0,18120.0,0.0109,0.7918763353798106,-0.0005468531791258298
2002-05-07,828.0,828.0,828.0,828.0,151970.0,-0.0108,0.8082373839291157,-0.000592396417187911
2002-05-08,828.0,828.0,828.0,828.0,1030.0,0.0,0.7922708482950732,-0.0007359719708480123
2002-05-09,808.0,828.0,832.0,808.0,487840.0,-0.0242,0.7945779000290676,-0.0007310830675309597
2002-05-10,798.0,789.0,798.0,789.0,3290.0,-0.0124,0.8023656329803911,-0.0007502017099284547
2002-05-13,779.0,789.0,789.0,779.0,4420.0,-0.023799999999999998,0.8063015967328101,-0.0008037806433238137
2002-05-14,779.0,779.0,779.0,779.0,720.0,0.0,0.7912484711535942,-0.0008979015340514733
2002-05-15,779.0,735.0,779.0,735.0,162080.0,0.0,0.7908190026291747,-0.0009013856783826075
2002-05-16,779.0,779.0,779.0,769.0,405130.0,0.0,0.7960155440727493,-0.0009111709095153523
2002-05-17,769.0,769.0,769.0,769.0,3900.0,-0.0128,0.7959866669899915,-0.000916579911677527
2002-05-20,769.0,769.0,769.0,769.0,6780.0,0.0,0.7995862457384475,-0.0009621556865960054
2002-05-21,759.0,759.0,759.0,740.0,21610.0,-0.013000000000000001,0.7812814583265556,-0.0009744389570302561
2002-05-22,745.0,759.0,764.0,745.0,5380.0,-0.0184,0.7880553707699618,-0.0010215630853990718
2002-05-23,740.0,764.0,769.0,735.0,110990.0,-0.0067,0.8084141444219206,-0.0010792778729687806
2002-05-24,740.0,740.0,740.0,730.0,99840.0,0.0,0.8119273230091422,-0.0011413289853753731
2002-05-27,759.0,740.0,789.0,740.0,756300.0,0.025699999999999997,0.811935441588322,-0.001162116177215967
2002-05-28,754.0,759.0,759.0,691.0,77870.0,-0.0066,0.801093169253787,-0.0010385701508695106
2002-05-29,730.0,753.0,753.0,706.0,250060.0,-0.0318,0.8042504899465245,-0.0010549286011174352
2002-05-30,729.0,711.0,729.0,711.0,22670.0,-0.0014000000000000002,0.8160203002836712,-0.0011767399129704644
2002-05-31,729.0,729.0,729.0,729.0,570.0,0.0,0.8169595209487441,-0.0011828457572434108
2002-06-03,720.0,720.0,720.0,720.0,37590.0,-0.0123,0.8167455662857889,-0.0011839665377075311
2002-06-04,720.0,720.0,720.0,706.0,14690.0,0.0,0.812125112174128,-0.0012258044173221432
2002-06-05,720.0,711.0,720.0,701.0,65840.0,0.0,0.8027245111202082,-0.0011976271115252419
2002-06-06,711.0,711.0,711.0,711.0,78630.0,-0.0125,0.799201208303659,-0.001214906461642837
2002-06-07,696.0,706.0,706.0,682.0,106680.0,-0.021099999999999997,0.8029194183608522,-0.001298662552348513
2002-06-10,682.0,682.0,682.0,682.0,189610.0,-0.020099999999999996,0.8116331726378169,-0.0013032508764084588
2002-06-11,682.0,682.0,682.0,682.0,51560.0,0.0,0.8007753189855557,-0.001402918371566254
2002-06-12,682.0,688.0,691.0,682.0,76630.0,0.0,0.774741120906392,-0.0014746500527146329
2002-06-13,682.0,682.0,682.0,682.0,121270.0,0.0,0.7531724021188999,-0.001456186456335056
2002-06-14,682.0,672.0,682.0,672.0,23000.0,0.0,0.7455362300348677,-0.001383954726159924
2002-06-18,691.0,691.0,691.0,691.0,1080.0,0.0132,0.7437034023291685,-0.0013754108466099404
2002-06-19,691.0,691.0,691.0,691.0,413550.0,0.0,0.7606218306302974,-0.0013293727091826365
2002-06-20,691.0,691.0,691.0,686.0,138100.0,0.0,0.7584992430041219,-0.001319621371276331
2002-06-21,691.0,682.0,691.0,682.0,510.0,0.0,0.7566959386279146,-0.001316283479221428
2002-06-24,662.0,682.0,682.0,662.0,16360.0,-0.042,0.7561924027705895,-0.001297136642521138
2002-06-25,654.0,623.0,654.0,623.0,35610.0,-0.0121,0.7625498658424756,-0.0014675338289619666
2002-06-26,652.0,682.0,682.0,652.0,75110.0,-0.0031,0.7596053132993464,-0.0015127143179255434
2002-06-27,716.0,681.0,716.0,681.0,123540.0,0.09820000000000001,0.7470356931709562,-0.0015134540049997246
2002-06-28,701.0,711.0,711.0,701.0,16700.0,-0.0209,1.0678011429074714,-0.001068389637259422
2002-07-01,701.0,701.0,711.0,701.0,12790.0,0.0,1.0512310861342808,-0.0011643458704470072
2002-07-02,701.0,701.0,701.0,701.0,65770.0,0.0,1.0457223860944331,-0.001199748111110342
2002-07-03,701.0,701.0,701.0,701.0,5140.0,0.0,1.0457420819118106,-0.0011997750437592457
2002-07-04,706.0,730.0,730.0,701.0,50050.0,0.0070999999999999995,1.0452670019615644,-0.001164633604958652
2002-07-05,730.0,706.0,730.0,706.0,14280.0,0.034,1.0522782502615255,-0.0011374319385759092
2002-07-08,716.0,716.0,716.0,716.0,4260.0,-0.0192,1.1195962526571772,-0.0010376357470796755
2002-07-09,682.0,716.0,716.0,682.0,410.0,-0.0475,1.1231634946437703,-0.0011707526180607878
2002-07-10,682.0,682.0,691.0,682.0,49570.0,0.0,1.1944846023216362,-0.0013102741146463592
2002-07-11,691.0,682.0,691.0,682.0,209070.0,0.0132,1.1984289381514046,-0.0013146103198053748
2002-07-12,682.0,682.0,682.0,682.0,372490.0,-0.013000000000000001,1.1608012382144266,-0.0012738920863476241
2002-07-15,682.0,682.0,691.0,682.0,46960.0,0.0,1.1250358453882918,-0.001325080440295828
2002-07-16,682.0,682.0,682.0,682.0,676610.0,0.0,1.1345951021982177,-0.0013630895282373068
2002-07-17,682.0,682.0,691.0,682.0,57320.0,0.0,1.1344209721493568,-0.0013364829052871152
