Date,Price,Open,High,Low,Vol,Change,Beta,Alpha
2002-02-21,1435.0,1450.0,1465.0,1420.0,234430.0,-0.020499999999999997,4.26559931678664,-0.001991293960073724
2002-02-22,1425.0,1435.0,1450.0,1420.0,159500.0,-0.006999999999999999,4.294014247877982,-0.0019329463717268078
2002-02-25,1435.0,1425.0,1450.0,1425.0,51400.0,0.006999999999999999,4.277195616909619,-0.0019210408044228458
2002-02-26,1425.0,1435.0,1450.0,1425.0,78340.0,-0.006999999999999999,4.231811556281247,-0.0018712274734321267
2002-02-27,1390.0,1425.0,1450.0,1390.0,92270.0,-0.0246,4.229164600215627,-0.0018584823089769634
2002-02-28,1320.0,1385.0,1385.0,1300.0,132020.0,-0.0504,4.2361502760908225,-0.001884738473309109
2002-03-01,1365.0,1320.0,1365.0,1290.0,232910.0,0.0341,4.266716412227949,-0.0019155154264645664
2002-03-04,1370.0,1370.0,1400.0,1370.0,72120.0,0.0037,4.298979043423646,-0.0018235785473451596
2002-03-05,1410.0,1385.0,1415.0,1380.0,308120.0,0.0292,4.3292528777447306,-0.0016896119723858658
2002-03-06,1405.0,1410.0,1430.0,1395.0,281610.0,-0.0034999999999999996,4.363312282243684,-0.0016678086914138968
2002-03-07,1425.0,1435.0,1480.0,1425.0,76770.0,0.014199999999999999,4.37548710709873,-0.0018741747449014547
2002-03-08,1420.0,1425.0,1440.0,1405.0,1890000.0,-0.0034999999999999996,4.371177677771774,-0.0018015856003306618
2002-03-11,1430.0,1420.0,1430.0,1420.0,60170.0,0.006999999999999999,4.3256534144689285,-0.001952631430299738
2002-03-12,1450.0,1440.0,1455.0,1430.0,197570.0,0.013999999999999999,4.289073428159571,-0.0018517069239525564
2002-03-13,1440.0,1450.0,1455.0,1445.0,466510.0,-0.0069,4.302010781958108,-0.0018627544991636617
2002-03-14,1430.0,1420.0,1430.0,1420.0,75590.0,-0.0069,4.243805056153691,-0.001700973158519419
2002-03-15,1380.0,1450.0,1450.0,1380.0,19210.0,-0.035,4.240900534061915,-0.0018743593893999822
2002-03-18,1360.0,1350.0,1360.0,1350.0,59410.0,-0.014499999999999999,4.235231024271676,-0.001905231329261655
2002-03-19,1330.0,1350.0,1370.0,1330.0,239620.0,-0.022099999999999998,4.1457934983428455,-0.0017160878462180846
2002-03-20,1300.0,1320.0,1330.0,1270.0,205520.0,-0.0226,4.142830121777062,-0.001473460572941415
2002-03-22,1245.0,1300.0,1300.0,1240.0,178290.0,-0.042300000000000004,4.149503095398359,-0.001753349155151131
2002-03-25,1200.0,1245.0,1245.0,1190.0,390100.0,-0.0361,4.119973179909134,-0.0019578965141071464
2002-03-26,1195.0,1200.0,1210.0,1190.0,497730.0,-0.0042,4.14171143063558,-0.0019666581081710585
2002-03-27,1205.0,1200.0,1210.0,1190.0,117420.0,0.0084,4.0940689556391465,-0.0018793260283365854
2002-03-28,1230.0,1190.0,1230.0,1190.0,493920.0,0.0207,4.033050617451031,-0.0019698409941370553
2002-04-02,1260.0,1250.0,1270.0,1250.0,69280.0,0.024399999999999998,3.9978139370790506,-0.0017451518961717693
2002-04-03,1265.0,1260.0,1280.0,1255.0,334460.0,0.004,4.013024619548359,-0.001722110873706138
2002-04-04,1300.0,1265.0,1300.0,1265.0,187120.0,0.0277,3.987818238699346,-0.0018172139470062417
