Date,Price,Open,High,Low,Vol,Change,Beta,Alpha
2002-02-21,675.0,680.0,685.0,675.0,2010000.0,0.0,1.7083968715880407,0.00023693134462199575
2002-02-22,675.0,675.0,680.0,670.0,950730.0,0.0,1.7086785809332907,0.00027480983318572467
2002-02-25,680.0,680.0,685.0,675.0,856600.0,0.0074,1.7032986021859864,0.00019487338716100158
2002-02-26,695.0,680.0,695.0,677.0,146570.0,0.022099999999999998,1.6256683150708515,0.0003546330775042511
2002-02-27,694.0,695.0,701.0,690.0,1310000.0,-0.0014000000000000002,1.6332188133844916,0.0004932719683506397
2002-02-28,685.0,695.0,699.0,689.0,1070000.0,-0.013000000000000001,1.4988396577183025,0.0006481811504683
2002-03-01,665.0,681.0,685.0,665.0,1430000.0,-0.0292,1.4833233451088184,0.00048729462812126294
2002-03-04,672.0,675.0,675.0,665.0,163400.0,0.0105,1.4145841419893228,0.0002959459843438967
2002-03-05,670.0,675.0,675.0,675.0,548690.0,-0.003,1.4385254007027695,0.0004197737643385825
2002-03-06,675.0,670.0,680.0,670.0,76590.0,0.0075,1.3850854873327658,0.00044923932159749623
2002-03-07,669.0,675.0,675.0,665.0,531860.0,-0.0089,1.3687895140029542,0.0006676713116383201
2002-03-08,650.0,669.0,669.0,650.0,2290000.0,-0.028399999999999998,1.375716288584252,0.0005883084918657978
2002-03-11,645.0,650.0,650.0,641.0,380760.0,-0.0077,1.3321842963857329,0.0003964265499757977
2002-03-12,650.0,645.0,655.0,640.0,3430000.0,0.0078000000000000005,1.3473896769848994,0.0004567149409820751
2002-03-13,640.0,650.0,650.0,635.0,1880000.0,-0.0154,1.3800427670443496,0.0003468999416480794
2002-03-14,645.0,645.0,645.0,645.0,530370.0,0.0078000000000000005,1.4417905418002206,0.00013579492663758357
2002-03-15,640.0,639.0,642.0,639.0,549720.0,-0.0078000000000000005,1.4316319001261275,0.00015151877481878455
2002-03-18,635.0,640.0,640.0,635.0,80940.0,-0.0078000000000000005,1.421921466081098,6.035201296542985e-05
2002-03-19,650.0,635.0,655.0,635.0,296840.0,0.0236,1.4084105137385519,6.424048880811917e-05
2002-03-20,652.0,650.0,670.0,645.0,1490000.0,0.0031,1.3685606582663068,0.00011119596136973697
2002-03-22,650.0,650.0,655.0,650.0,231430.0,-0.0031,1.3676806266286814,0.00015018068799103304
2002-03-25,645.0,650.0,650.0,645.0,150380.0,-0.0077,1.3698458929775037,0.0001111224701889608
2002-03-26,660.0,645.0,660.0,645.0,180930.0,0.0233,1.368022694399341,0.00011640665763484207
2002-03-27,660.0,650.0,660.0,650.0,92040.0,0.0,1.2483573641097339,0.0003947832294832686
2002-03-28,650.0,660.0,660.0,645.0,99930.0,-0.0152,1.2588514780379614,0.0004812057823498003
