Date,Price,Open,High,Low,Vol,Change,Beta,Alpha
2002-02-21,855.0,860.0,870.0,855.0,2460000.0,0.0059,3.4958580888828124,0.0007522990382262263
2002-02-22,852.0,865.0,868.0,850.0,2380000.0,-0.0034999999999999996,3.494382349518322,0.0008653117420169114
2002-02-25,850.0,850.0,870.0,850.0,1960000.0,-0.0023,3.4795438268616996,0.0009091425266739368
2002-02-26,821.0,850.0,860.0,821.0,4590000.0,-0.0341,3.486141810925009,0.0007915365454893386
2002-02-27,820.0,825.0,840.0,800.0,4310000.0,-0.0012,3.4729356230602373,0.0006535091017293106
2002-02-28,805.0,820.0,820.0,790.0,5380000.0,-0.0183,3.488242723307825,0.0006586257842326327
2002-03-01,836.0,800.0,845.0,800.0,4750000.0,0.0385,3.4863857647074235,0.0005646609048480059
2002-03-04,860.0,844.0,862.0,844.0,4340000.0,0.0287,3.5319747590355655,0.0006230870836926884
2002-03-05,880.0,860.0,890.0,860.0,6260000.0,0.0233,3.5509531386760127,0.000767761641179447
2002-03-06,870.0,880.0,885.0,855.0,3670000.0,-0.011399999999999999,3.570851823805347,0.0007787276689403997
2002-03-07,835.0,870.0,870.0,830.0,5620000.0,-0.04019999999999999,3.5642220718537194,0.000662137031527879
2002-03-08,840.0,830.0,845.0,820.0,6510000.0,0.006,3.581520099343093,0.00043651177362176945
2002-03-11,840.0,840.0,845.0,830.0,5880000.0,0.0,3.591699300643208,0.0004670635617013113
2002-03-12,830.0,840.0,840.0,825.0,4320000.0,-0.011899999999999999,3.5581374268546586,0.00042366547511313106
2002-03-13,803.0,830.0,830.0,797.0,9990000.0,-0.0325,3.53640469086851,0.00032460543394117965
2002-03-14,820.0,803.0,820.0,800.0,5060000.0,0.0212,3.565293200133136,0.0002743574030517083
2002-03-15,828.0,820.0,835.0,818.0,2180000.0,0.0098,3.6339582957062944,0.0002175898262774087
2002-03-18,840.0,828.0,850.0,812.0,9260000.0,0.014499999999999999,3.642243281068126,0.00029671359924736656
2002-03-19,815.0,836.0,836.0,810.0,7500000.0,-0.0298,3.645879827607947,0.00034596162529981886
2002-03-20,807.0,815.0,825.0,806.0,12440000.0,-0.0098,3.670255093032478,0.00028226638903905394
2002-03-22,803.0,810.0,814.0,803.0,5500000.0,-0.005,3.670767230211537,0.00023550795761138264
2002-03-25,790.0,805.0,807.0,787.0,5950000.0,-0.016200000000000003,3.6764881711797797,0.00015217312187357652
2002-03-26,770.0,790.0,790.0,768.0,12800000.0,-0.0253,3.661058314816181,0.00019925326510468398
2002-03-27,750.0,770.0,775.0,740.0,14220000.0,-0.026000000000000002,3.6380514588764297,0.00016898884128693054
2002-03-28,740.0,748.0,759.0,738.0,15100000.0,-0.013300000000000001,3.6450286766707847,5.709406375671712e-05
2002-04-02,749.0,740.0,750.0,721.0,10090000.0,0.012199999999999999,3.6088090494661635,-3.6198874621797763e-06
2002-04-03,790.0,750.0,793.0,750.0,10440000.0,0.0547,3.6153149614543088,5.775327837081314e-05
2002-04-04,840.0,800.0,847.0,790.0,18090000.0,0.0633,3.691628179907895,0.0002204817530303854
2002-04-05,885.0,845.0,895.0,835.0,13600000.0,0.0536,3.8000861991552806,0.00030737012019814224
2002-04-08,871.0,885.0,885.0,855.0,8140000.000000001,-0.0158,3.8270835442258004,0.0005644117656498552
2002-04-09,875.0,865.0,889.0,865.0,5200000.0,0.0046,3.852544165897239,0.00048788460587471775
2002-04-10,884.0,870.0,889.0,870.0,7450000.0,0.0103,3.81955782593956,0.0005425108872503418
2002-04-11,885.0,885.0,904.0,885.0,44510000.0,0.0011,3.8573469468432626,0.0006323246819557141
2002-04-12,881.0,875.0,898.0,875.0,34950000.0,-0.0045000000000000005,3.8716549851852666,0.0006761668480572638
2002-04-15,866.0,881.0,881.0,849.0,4580000.0,-0.017,3.9355958284792583,0.000583821645322729
2002-04-16,895.0,865.0,898.0,857.0,3750000.0,0.0335,3.943970119966668,0.0005716345064406785
2002-04-17,897.0,899.0,913.0,890.0,9550000.0,0.0022,3.9254403891538234,0.0005457210485355284
2002-04-18,870.0,897.0,904.0,870.0,5810000.0,-0.0301,3.8595782722618357,0.0005217243057815483
2002-04-19,883.0,870.0,887.0,860.0,5030000.0,0.0149,3.870871391554265,0.0003577550973866151
2002-04-22,893.0,890.0,902.0,890.0,4000000.0,0.0113,3.880757099608556,0.00041776508472718985
2002-04-23,927.0,900.0,932.0,895.0,13070000.0,0.0381,3.9064280362311545,0.00044838784921519
2002-04-24,933.0,927.0,945.0,923.0,6770000.0,0.006500000000000001,3.94188907471773,0.000549353116228391
2002-04-25,950.0,933.0,954.0,930.0,6440000.0,0.0182,3.9481681000621047,0.0005299814514070594
2002-04-26,926.0,950.0,950.0,915.0,9080000.0,-0.0253,3.924237580752421,0.0006577273029730642
