Date,Price,Open,High,Low,Vol,Change,Beta,Alpha
2013-01-02,3468.0,3350.0,3490.0,3350.0,123180.0,0.0352,0.28480191430067237,0.0012991391706327553
2013-01-03,3427.0,3440.0,3463.0,3421.0,22480.0,-0.0118,0.37218374987011815,0.0013810804011009235
2013-01-04,3417.0,3407.0,3418.0,3400.0,199900.0,-0.0029,0.33373427126962607,0.0014004790199938905
2013-01-07,3400.0,3455.0,3455.0,3392.0,105320.0,-0.005,0.3011060232763222,0.001357060235235237
2013-01-08,3396.0,3395.0,3400.0,3395.0,24350.0,-0.0012,0.31964694106964403,0.0013014699925540524
2013-01-09,3390.0,3400.0,3430.0,3377.0,465700.0,-0.0018,0.31776465744742194,0.0013477945630086979
2013-01-10,3359.0,3450.0,3450.0,3339.0,609230.0,-0.0091,0.3178695913234527,0.0014256844948992242
2013-01-11,3410.0,3359.0,3411.0,3359.0,174500.0,0.0152,0.3405868251735041,0.0014060191731378687
2013-01-14,3371.0,3400.0,3404.0,3371.0,388630.0,-0.011399999999999999,0.336178337181209,0.001512086182371705
2013-01-15,3415.0,3375.0,3430.0,3375.0,125360.0,0.0131,0.36457999398974444,0.001390723799355921
2013-01-16,3440.0,3426.0,3460.0,3426.0,393240.0,0.0073,0.35727981406029113,0.0015171513464743913
2013-01-17,3400.0,3415.0,3420.0,3390.0,366170.0,-0.0116,0.3580031801382618,0.0015273888028094575
2013-01-18,3410.0,3434.0,3439.0,3400.0,191260.0,0.0029,0.34823053964150547,0.0015250713908985742
2013-01-21,3430.0,3401.0,3431.0,3401.0,62280.0,0.0059,0.3559447580950569,0.0015396566719249585
2013-01-22,3414.0,3438.0,3438.0,3404.0,289080.0,-0.004699999999999999,0.3596009353254622,0.001573407212785196
2013-01-23,3435.0,3410.0,3448.0,3408.0,310940.0,0.0062,0.2815486986017719,0.001451292838633145
2013-01-24,3472.0,3440.0,3496.0,3411.0,243700.0,0.0108,0.27633515100905937,0.0014587826814014165
2013-01-25,3491.0,3500.0,3525.0,3467.0,688080.0,0.0055000000000000005,0.2911119985073905,0.0014630171823007603
2013-01-28,3531.0,3589.0,3589.0,3492.0,159190.0,0.0115,0.23884250042354851,0.0015903756688260288
2013-01-29,3493.0,3531.0,3531.0,3480.0,240390.0,-0.0108,0.23625468464984167,0.001614909271096926
2013-01-30,3472.0,3475.0,3476.0,3432.0,276420.0,-0.006,0.24898509916236017,0.0015801074849683102
2013-01-31,3447.0,3483.0,3650.0,3440.0,424130.0,-0.0072,0.2680055839685698,0.0016012770748858453
2013-02-01,3436.0,3447.0,3486.0,3427.0,520680.0,-0.0032,0.2594367053032969,0.0015708269089228482
2013-02-04,3420.0,3430.0,3441.0,3410.0,289210.0,-0.004699999999999999,0.2578071230197034,0.001527316731322812
2013-02-05,3425.0,3499.0,3499.0,3421.0,157270.0,0.0015,0.21621993537362633,0.001429648892868314
2013-02-06,3403.0,3400.0,3419.0,3355.0,131370.0,-0.0064,0.21908190942516534,0.0014756339568045267
2013-02-07,3386.0,3393.0,3398.0,3375.0,513200.00000000006,-0.005,0.23177237024961653,0.0014071540026928738
2013-02-08,3421.0,3400.0,3440.0,3400.0,68250.0,0.0103,0.21524965936805607,0.0014043065363989007
2013-02-11,3415.0,3540.0,3540.0,3370.0,255660.0,-0.0018,0.21459388415205444,0.0014868737945684732
2013-02-12,3443.0,3415.0,3443.0,3414.0,338460.0,0.008199999999999999,0.20842023817572733,0.0014667913702044381
2013-02-13,3473.0,3430.0,3497.0,3430.0,503470.0,0.0087,0.19876946993159691,0.0015001863139908354
2013-02-14,3462.0,3471.0,3600.0,3432.0,173500.0,-0.0032,0.20814450800744683,0.001484272243946816
2013-02-15,3495.0,3409.0,3499.0,3409.0,132150.0,0.0095,0.20655476809583206,0.001453906161195449
2013-02-18,3515.0,3370.0,3518.0,3370.0,168220.0,0.005699999999999999,0.21348773244890934,0.0014591769059937884
2013-02-19,3514.0,3690.0,3690.0,3510.0,240940.0,-0.0003,0.21172350443413068,0.0015306553765772105
2013-02-20,3507.0,3503.0,3690.0,3452.0,469410.0,-0.002,0.20884088890042463,0.0015272761905554407
2013-02-21,3458.0,3474.0,3476.0,3439.0,396160.0,-0.013999999999999999,0.21419640401744738,0.0015156257339230903
2013-02-22,3474.0,3435.0,3478.0,3435.0,122230.0,0.0046,0.2572850478267959,0.0014790883175596983
2013-02-25,3404.0,3460.0,3461.0,3391.0,287200.0,-0.020099999999999996,0.25369893463420445,0.0015078228362171476
2013-02-26,3408.0,3410.0,3435.0,3373.0,457760.0,0.0012,0.20085061834583456,0.0015115628253083372
2013-02-27,3412.0,3380.0,3412.0,3380.0,517280.0,0.0012,0.22336291477580603,0.001573501690264419
2013-02-28,3567.0,3455.0,3621.0,3412.0,188420.0,0.0454,0.22564950751575777,0.0015782548464125135
2013-03-01,3585.0,3580.0,3640.0,3574.0,52260.0,0.005,0.411715407886025,0.0016651283859062903
2013-03-04,3574.0,3579.0,3592.0,3551.0,7340.0,-0.0031,0.4496430117307171,0.00170145152134866
2013-03-05,3643.0,3532.0,3672.0,3500.0,76330.0,0.019299999999999998,0.4491847904212124,0.0016659623060098958
2013-03-06,3640.0,3650.0,3680.0,3600.0,80320.0,-0.0008,0.4913895020149241,0.0016770531054063414
2013-03-07,3682.0,3640.0,3704.0,3640.0,84230.0,0.0115,0.483206674275436,0.001697171421237754
2013-03-08,3658.0,3655.0,3729.0,3645.0,195800.0,-0.006500000000000001,0.48044374253687117,0.0017128352915071303
2013-03-11,3650.0,3625.0,3667.0,3625.0,118250.0,-0.0022,0.44211393487062334,0.0017129637602995554
2013-03-12,3635.0,3625.0,3684.0,3625.0,280280.0,-0.0040999999999999995,0.43907575436867285,0.0016822044745829251
2013-03-13,3743.0,3616.0,3743.0,3601.0,255760.0,0.0297,0.4542877636577007,0.001695643505116389
2013-03-14,3727.0,3743.0,3756.0,3710.0,195250.0,-0.0043,0.4287762921028008,0.001803898290010012
2013-03-15,3720.0,3810.0,4011.0,3710.0,186540.0,-0.0019,0.4366938325713497,0.0017655445203769177
2013-03-18,3720.0,3700.0,3815.0,3697.0,617550.0,0.0,0.43658073727297175,0.0017457095788073584
2013-03-19,3758.0,3750.0,3771.0,3711.0,230400.0,0.0102,0.42484136938072925,0.00171432484938524
