Date,Price,Open,High,Low,Vol,Change,Beta,Alpha
2002-02-21,417.0,417.0,417.0,417.0,202770.0,0.0,1.2021137888116857,0.0006972452439056439
2002-02-22,388.0,417.0,417.0,388.0,9130.0,-0.0695,1.2035284024684072,0.000724259061053931
2002-02-25,388.0,398.0,398.0,388.0,204740.0,0.0,1.3019687397746273,0.0004945077625006253
2002-02-26,398.0,388.0,408.0,388.0,75140.0,0.0258,1.3051904873129467,0.0004541264013181289
2002-02-27,398.0,398.0,403.0,398.0,41800.0,0.0,1.313982172377011,0.0005545066812788075
2002-02-28,403.0,403.0,403.0,398.0,16940.0,0.0126,1.335450551167203,0.0005396301342435408
2002-03-01,417.0,417.0,417.0,417.0,610.0,0.0347,1.3270442147408696,0.000549622346705836
2002-03-04,378.0,412.0,412.0,378.0,209390.0,-0.0935,1.3818632755055165,0.000673612268966887
2002-03-05,398.0,398.0,398.0,388.0,235660.0,0.0529,1.3506428359531675,0.000303175429412771
2002-03-06,408.0,398.0,408.0,398.0,195670.0,0.025099999999999997,1.4515926794862328,0.0004878903633632601
2002-03-07,417.0,412.0,417.0,412.0,661020.0,0.022099999999999998,1.4854911111193365,0.00038946505926445145
2002-03-08,422.0,417.0,427.0,417.0,606110.0,0.012,1.4617264734014552,0.0006516212087959701
2002-03-11,427.0,422.0,427.0,422.0,333180.0,0.0118,1.406509956759412,0.0005074723580935585
2002-03-12,427.0,427.0,427.0,427.0,406430.0,0.0,1.3490336693233456,0.0003515423331544818
2002-03-13,422.0,422.0,422.0,422.0,121750.0,-0.011699999999999999,1.3471177442577746,0.00032556866643095375
2002-03-14,422.0,422.0,422.0,422.0,81170.0,0.0,1.360244366583602,0.0002956955266378669
2002-03-15,422.0,422.0,422.0,422.0,2030000.0,0.0,1.37434231844835,0.0002319458238702658
2002-03-18,403.0,403.0,403.0,403.0,4080.0,-0.045,1.374136211369333,0.00023097092032237443
2002-03-19,403.0,403.0,403.0,403.0,42750.0,0.0,1.3776568556732742,3.3896953998011666e-05
2002-03-20,403.0,403.0,403.0,403.0,0.0,0.0,1.370295779737193,4.9988993841305635e-05
2002-03-22,403.0,403.0,403.0,403.0,0.0,0.0,1.3703636681565543,4.865932694680822e-05
2002-03-25,388.0,388.0,388.0,388.0,5660.0,-0.037200000000000004,1.3048071590318846,0.00021825631021549135
2002-03-26,398.0,388.0,388.0,388.0,26990.0,0.0258,1.3776860634500216,0.00011813712136620417
2002-03-27,412.0,412.0,412.0,412.0,123780.0,0.0352,1.3825559654213613,0.0001978821788046245
2002-03-28,412.0,412.0,412.0,412.0,11240.0,0.0,1.3387896769379686,0.00035600342724369715
2002-04-02,398.0,398.0,398.0,398.0,10150.0,-0.034,1.386229187939945,0.0005046336656994258
2002-04-03,412.0,412.0,412.0,412.0,3650.0,0.0352,1.3443594642222894,0.00034944524392711905
2002-04-04,412.0,398.0,412.0,398.0,474940.0,0.0,1.4037069079995927,0.000466787371353317
2002-04-05,412.0,412.0,412.0,412.0,7100.0,0.0,1.3541912729507672,0.0005000418033563317
2002-04-08,403.0,403.0,408.0,403.0,130610.0,-0.0218,1.3513510769137613,0.0004620455211496345
2002-04-09,403.0,403.0,403.0,403.0,8119.999999999999,0.0,1.3760814668030144,0.0003724501591051026
2002-04-10,408.0,408.0,408.0,408.0,89280.0,0.0124,1.4390496463416584,0.00015494082102303285
2002-04-11,417.0,408.0,417.0,398.0,129420.0,0.022099999999999998,1.4605451968004008,0.0002061981206348103
2002-04-12,427.0,427.0,427.0,427.0,260740.0,0.024,1.468321254048626,0.00031765878019227717
2002-04-15,427.0,96.0,417.0,96.0,142440.0,0.0,1.498605049151053,0.00037307451447658816
2002-04-16,437.0,427.0,442.0,427.0,52760.0,0.023399999999999997,1.4984240549235692,0.0003834114163970534
2002-04-17,433.0,432.0,437.0,432.0,32160.0,-0.0092,1.5048393547705397,0.0004835989588267962
2002-04-18,437.0,437.0,437.0,437.0,21310.0,0.0092,1.557716261294195,0.0005192539726441376
2002-04-19,437.0,437.0,437.0,437.0,50730.0,0.0,1.5530160127865802,0.0005619931343558646
2002-04-22,437.0,438.0,438.0,437.0,60870.0,0.0,1.5426757975720367,0.0005455681339351633
2002-04-23,443.0,443.0,443.0,443.0,0.0,0.0137,1.5551459361213338,0.0005567805333153885
2002-04-24,433.0,446.0,446.0,442.0,77460.0,-0.0226,1.5679019963820595,0.0005991966267047395
2002-04-25,437.0,433.0,437.0,433.0,24490.0,0.0092,1.5715197666739429,0.0005032060311799923
2002-04-26,437.0,437.0,437.0,437.0,0.0,0.0,1.5796915784771057,0.0005181953744950555
2002-04-29,437.0,437.0,437.0,437.0,6090.0,0.0,1.5793500508993432,0.0005245524192823708
2002-04-30,439.0,439.0,439.0,439.0,0.0,0.0046,1.53667786804413,0.0005633999803907986
2002-05-02,445.0,442.0,445.0,442.0,4570.0,0.0137,1.537213418595662,0.0005745461338386172
2002-05-03,445.0,445.0,445.0,445.0,2540.0,0.0,1.5170217735637932,0.00039104888901418493
2002-05-06,448.0,445.0,447.0,445.0,66830.0,0.0067,1.507992985217956,0.00035854806018962047
2002-05-07,448.0,448.0,448.0,448.0,5680.0,0.0,1.5098775528944886,0.00036164770667048904
2002-05-08,458.0,456.0,456.0,456.0,95370.0,0.0223,1.5111767013592856,0.0003826721505327154
2002-05-09,480.0,476.0,480.0,476.0,223200.0,0.048,1.4589592933729862,0.00026778636766678975
2002-05-10,490.0,490.0,490.0,490.0,0.0,0.0208,1.4219530077103104,0.00045771386758833597
2002-05-13,490.0,492.0,495.0,490.0,180820.0,0.0,1.4200255005584217,0.0005315997779780724
2002-05-14,490.0,490.0,490.0,490.0,0.0,0.0,1.4214133778447329,0.0005350699347088005
2002-05-15,490.0,490.0,490.0,490.0,0.0,0.0,1.406058478867232,0.00033092973806587045
2002-05-16,490.0,490.0,490.0,490.0,0.0,0.0,1.3457688590769485,0.0004948075777047585
2002-05-17,490.0,490.0,490.0,490.0,0.0,0.0,1.3426779359757155,0.0005592294871268138
2002-05-20,490.0,490.0,490.0,490.0,0.0,0.0,1.342876313697476,0.0005675256983959038
2002-05-21,490.0,490.0,490.0,490.0,0.0,0.0,1.4290026271394547,0.0007493022597179396
2002-05-22,490.0,490.0,490.0,490.0,0.0,0.0,1.4295106007514775,0.0007131207170880626
2002-05-23,485.0,485.0,485.0,485.0,503910.0,-0.0102,1.423446665924197,0.0007348148295193642
2002-05-24,485.0,485.0,485.0,485.0,18890.0,0.0,1.4303815058984342,0.0006123639350979657
2002-05-27,490.0,485.0,490.0,485.0,3550.0,0.0103,1.4293512973262839,0.0005334539784146486
2002-05-28,490.0,490.0,490.0,490.0,16230.0,0.0,1.4149523892670408,0.0003844064000441262
2002-05-29,490.0,490.0,490.0,490.0,0.0,0.0,1.3993790450147359,0.00020359618695773874
2002-05-30,490.0,490.0,490.0,490.0,6600.0,0.0,1.3953035365046855,0.00039298231195966025
2002-05-31,485.0,485.0,485.0,485.0,339780.0,-0.0102,1.3955938149714648,0.0003918309785609934
2002-06-03,485.0,485.0,485.0,485.0,0.0,0.0,1.4047206010276718,0.0004600725234890811
2002-06-04,484.0,484.0,484.0,484.0,5580.0,-0.0021,1.4123870998120702,0.0004746872304123096
2002-06-05,471.0,480.0,480.0,471.0,195950.0,-0.0269,1.545735627436199,0.0001623046839869596
2002-06-06,471.0,471.0,471.0,471.0,7610.0,0.0,1.4848752926406028,1.4809298970709168e-05
2002-06-07,461.0,461.0,466.0,461.0,304370.0,-0.0212,1.484465603073902,-1.767794123535564e-05
2002-06-10,461.0,461.0,461.0,461.0,170140.0,0.0,1.4927054460283418,-0.00012319492965512737
2002-06-11,461.0,461.0,461.0,461.0,81170.0,0.0,1.4989130233531471,-0.00015657865423846613
2002-06-12,461.0,461.0,461.0,461.0,9540.0,0.0,1.5055390650956635,-0.00014240606297590404
2002-06-13,461.0,461.0,461.0,461.0,34190.0,0.0,1.4713760429342917,-0.00010528297008964754
2002-06-14,461.0,461.0,461.0,461.0,30340.0,0.0,1.468547920231546,-7.784860433774133e-05
2002-06-18,457.0,464.0,464.0,457.0,87600.0,-0.0087,1.468102875011011,-6.047689799663217e-05
2002-06-19,456.0,456.0,456.0,456.0,67290.0,-0.0022,1.450650937946898,-7.870773163813516e-05
2002-06-20,455.0,456.0,456.0,451.0,73640.0,-0.0022,1.4691307297781468,4.6551832584291165e-05
2002-06-21,451.0,451.0,452.0,451.0,76700.0,-0.0088,1.4687379246508263,4.483623843257566e-05
2002-06-24,451.0,451.0,451.0,451.0,46770.0,0.0,1.4826817922893412,5.010352583674173e-05
2002-06-25,451.0,451.0,451.0,451.0,28000.0,0.0,1.4849727060400482,4.0793926048403854e-05
2002-06-26,451.0,451.0,451.0,451.0,0.0,0.0,1.4661480377340546,-7.099280329171911e-05
2002-06-27,450.0,450.0,450.0,449.0,80880.0,-0.0022,1.4597762975201827,-7.530271289630413e-06
2002-06-28,451.0,451.0,451.0,451.0,9130.0,0.0022,1.4151337342540569,-5.7920955180786945e-05
2002-07-01,446.0,446.0,446.0,446.0,6700.0,-0.0111,1.415006786942764,-6.176554519616431e-05
2002-07-02,456.0,451.0,456.0,451.0,124490.0,0.022400000000000003,1.4127226382921092,-0.00010160553067240986
2002-07-03,456.0,456.0,456.0,456.0,0.0,0.0,1.3906588182214914,-1.7561011300313787e-05
2002-07-04,451.0,451.0,451.0,451.0,34390.0,-0.011000000000000001,1.3885305898769038,4.019277432446031e-06
2002-07-05,451.0,450.0,451.0,450.0,5380.0,0.0,1.3744964684811949,-4.6318367156786574e-05
2002-07-08,451.0,451.0,451.0,451.0,60670.0,0.0,1.3609797411880626,-8.837348503123641e-05
2002-07-09,451.0,451.0,451.0,451.0,0.0,0.0,1.4155518189758733,-0.00028114436247220486
2002-07-10,451.0,451.0,451.0,451.0,40580.0,0.0,1.4090570746952755,-0.00024008170930171942
2002-07-11,450.0,446.0,450.0,442.0,31410.0,-0.0022,1.2203989371500445,0.00023325715473049435
2002-07-12,443.0,442.0,443.0,442.0,76840.0,-0.015600000000000001,1.2131359821798469,0.000238147979531294
2002-07-15,443.0,443.0,443.0,443.0,0.0,0.0,1.17328527428652,0.00013760414210074677
2002-07-16,443.0,443.0,443.0,443.0,23940.0,0.0,1.14046950908166,0.0002836877671849043
2002-07-17,443.0,443.0,443.0,443.0,30440.0,0.0,1.1373101579741403,0.00027278296157945924
