Date,Price,Open,High,Low,Vol,Change,Beta,Alpha
2002-02-21,1516.0,1500.0,1536.0,1495.0,2270000.0,0.010700000000000001,4.232043422498205,0.0003340242083263284
2002-02-22,1490.0,1516.0,1536.0,1485.0,4490000.0,-0.0172,4.216700154879489,0.00045326003056150925
2002-02-25,1531.0,1470.0,1536.0,1460.0,3970000.0,0.0275,4.218846609852509,0.0004299530954949447
2002-02-26,1546.0,1531.0,1566.0,1531.0,7670000.0,0.0098,4.225997917492505,0.0005108882006743625
2002-02-27,1551.0,1531.0,1551.0,1526.0,3080000.0,0.0032,4.228299810392295,0.00048413759981772624
2002-02-28,1521.0,1495.0,1541.0,1495.0,3770000.0,-0.019299999999999998,4.210214326970436,0.0005414864341692741
2002-03-01,1521.0,1521.0,1531.0,1505.0,2250000.0,0.0,4.21469459799624,0.0004857027391626463
2002-03-04,1561.0,1531.0,1576.0,1531.0,2730000.0,0.0263,4.174756637693224,0.00045499478205582197
2002-03-05,1612.0,1571.0,1612.0,1571.0,3710000.0,0.0327,4.182021988229362,0.0005439082257658059
2002-03-06,1612.0,1602.0,1617.0,1587.0,885220.0,0.0,4.196132746336859,0.0006264371520607855
2002-03-07,1673.0,1602.0,1693.0,1602.0,7170000.0,0.0378,4.197788545872465,0.0005409991796905705
2002-03-08,1698.0,1673.0,1744.0,1673.0,13110000.0,0.0149,4.189810193601412,0.0006825662526888071
2002-03-11,1698.0,1663.0,1708.0,1663.0,5760000.0,0.0,4.192745427296668,0.000707593527456963
2002-03-12,1673.0,1673.0,1708.0,1663.0,2190000.0,-0.0147,4.163471606533964,0.0007202261578484157
2002-03-13,1663.0,1673.0,1713.0,1663.0,3430000.0,-0.006,4.143965950430636,0.0005685051629609198
2002-03-14,1693.0,1642.0,1708.0,1642.0,2190000.0,0.018000000000000002,4.12000870284163,0.0006018403852571134
2002-03-15,1728.0,1693.0,1749.0,1693.0,3530000.0,0.0207,4.178634899858609,0.0005143217964980292
2002-03-18,1759.0,1734.0,1784.0,1728.0,1920000.0,0.0179,4.19863264757148,0.0007042469831756624
2002-03-19,1718.0,1759.0,1784.0,1713.0,3770000.0,-0.0233,4.165446300912615,0.0008652478997143324
2002-03-20,1703.0,1713.0,1713.0,1622.0,7130000.0,-0.0087,4.177470859624705,0.0008500084232737947
2002-03-22,1713.0,1683.0,1744.0,1683.0,5160000.0,0.0059,4.178853159326825,0.0007775067392861407
2002-03-25,1703.0,1713.0,1723.0,1703.0,1650000.0,-0.0058,4.180662877262606,0.000763273919811657
2002-03-26,1703.0,1703.0,1718.0,1683.0,2240000.0,0.0,4.12963433027541,0.000796258555262154
2002-03-27,1652.0,1693.0,1693.0,1652.0,3060000.0,-0.029900000000000003,4.031249884568419,0.0009723975644935108
2002-03-28,1637.0,1642.0,1678.0,1627.0,2530000.0,-0.0091,4.044524565349079,0.0008584278987011639
2002-04-02,1693.0,1627.0,1703.0,1627.0,8359999.999999999,0.0342,4.003042542907933,0.0008246314562899316
2002-04-03,1703.0,1698.0,1703.0,1683.0,2500000.0,0.0059,4.023223543807797,0.0008284260385217666
2002-04-04,1810.0,1673.0,1810.0,1673.0,6730000.0,0.06280000000000001,3.993302701932751,0.0007579991144363957
2002-04-05,1779.0,1774.0,1805.0,1774.0,3890000.0,-0.0171,4.085458858397656,0.0009499010402525416
2002-04-08,1774.0,1759.0,1774.0,1749.0,3820000.0,-0.0028000000000000004,4.026869501176131,0.0008432342345293865
2002-04-09,1774.0,1759.0,1784.0,1759.0,2980000.0,0.0,4.052459921778442,0.0007825150257668307
