Date,Price,Open,High,Low,Vol,Change,Beta,Alpha
2002-02-21,651.0,673.0,676.0,651.0,760960.0,-0.028399999999999998,4.105644007252628,0.0009195862003140807
2002-02-22,660.0,644.0,663.0,638.0,1630000.0,0.0138,4.128791103361058,0.0008728333816747211
2002-02-25,670.0,663.0,670.0,660.0,654750.0,0.0152,4.082024236814267,0.0010348412178225177
2002-02-26,657.0,670.0,676.0,651.0,277450.0,-0.0194,4.07939986699935,0.0010451769857224645
2002-02-27,638.0,657.0,657.0,622.0,1630000.0,-0.028900000000000002,4.071209780270791,0.0009521548804843691
2002-02-28,641.0,626.0,638.0,613.0,621500.0,0.004699999999999999,4.071524887023271,0.0009163112251762014
2002-03-01,644.0,632.0,648.0,632.0,499650.0,0.004699999999999999,4.088530908790357,0.0010556578841513318
2002-03-04,626.0,651.0,663.0,622.0,224290.0,-0.027999999999999997,4.059662597947913,0.001006448238509048
2002-03-05,651.0,631.0,657.0,631.0,837410.0,0.039900000000000005,4.04760359486764,0.0008762931847077175
2002-03-06,644.0,648.0,648.0,638.0,993560.0,-0.0108,4.160240830808918,0.0008083243290406959
2002-03-07,632.0,644.0,654.0,632.0,3540000.0,-0.018600000000000002,4.1503680283338475,0.0007216522245200587
2002-03-08,621.0,632.0,632.0,610.0,2690000.0,-0.0174,4.164697079743238,0.0005599444010210267
2002-03-11,614.0,619.0,626.0,613.0,345920.0,-0.0113,4.110256927267348,0.0003499703623254778
2002-03-12,631.0,613.0,631.0,600.0,900200.0,0.0277,4.110156079271482,0.0004042355351282571
2002-03-13,607.0,626.0,626.0,600.0,1170000.0,-0.038,4.118658594640856,0.0005230103265427636
2002-03-14,626.0,614.0,631.0,603.0,1030000.0,0.0313,4.162688492723088,0.00042370625455845525
2002-03-15,663.0,629.0,663.0,626.0,1950000.0,0.0591,4.298434678864469,0.00033652630153322495
2002-03-18,632.0,660.0,660.0,626.0,2660000.0,-0.046799999999999994,4.328983687851886,0.0006055941827042731
2002-03-19,618.0,632.0,632.0,613.0,6320000.0,-0.0222,4.304579658896717,0.0004749290130606145
2002-03-20,631.0,629.0,638.0,616.0,6220000.0,0.021,4.318728679219409,0.0003376058201652609
2002-03-22,641.0,626.0,644.0,620.0,1360000.0,0.0158,4.316280472421614,0.00048692422864146813
2002-03-25,644.0,632.0,651.0,630.0,417880.0,0.004699999999999999,4.335858250684314,0.000483793444156701
2002-03-26,641.0,632.0,644.0,632.0,411520.0,-0.004699999999999999,4.266016642779509,0.0007433002078909144
2002-03-27,621.0,635.0,644.0,616.0,394820.0,-0.031200000000000002,4.2835953749747135,0.0007125018776344653
2002-03-28,613.0,619.0,619.0,607.0,1360000.0,-0.0129,4.281609223094222,0.0005180406118341145
2002-04-02,616.0,603.0,616.0,602.0,617740.0,0.0049,4.2414443399202835,0.00046912837934449204
2002-04-03,641.0,610.0,644.0,610.0,825110.0,0.0406,4.24056339510397,0.0005399630376775206
2002-04-04,657.0,641.0,663.0,641.0,1480000.0,0.025,4.2705789225236925,0.0007073078353442256
2002-04-05,679.0,657.0,682.0,644.0,1610000.0,0.0335,4.220397581659625,0.0005827317843399755
2002-04-08,676.0,679.0,679.0,663.0,1080000.0,-0.0044,4.1949146508263295,0.0008091701648958163
2002-04-09,676.0,673.0,686.0,673.0,1230000.0,0.0,4.201644168883684,0.0007979456434597238
2002-04-10,679.0,676.0,682.0,670.0,1100000.0,0.0044,4.163235876173026,0.0008263215123857229
2002-04-11,670.0,679.0,686.0,676.0,1540000.0,-0.013300000000000001,4.1116519803486185,0.0007033225016645605
2002-04-12,657.0,670.0,670.0,651.0,639240.0,-0.0194,4.171398741573284,0.000811137146067243
2002-04-15,663.0,654.0,673.0,654.0,180660.0,0.0091,4.221055225013739,0.0006793174008827868
2002-04-16,682.0,663.0,682.0,663.0,403520.0,0.0287,4.213769241006814,0.0007066714110176709
2002-04-17,682.0,686.0,686.0,679.0,630390.0,0.0,4.216732436044505,0.0007965818250069524
2002-04-18,689.0,682.0,692.0,676.0,439250.0,0.0103,4.095413371174596,0.0006949397357191679
2002-04-19,705.0,692.0,705.0,682.0,1610000.0,0.0232,4.088780141011044,0.0007188497528622736
2002-04-22,733.0,705.0,733.0,705.0,665160.0,0.0397,4.089686984350764,0.0006978229777564339
2002-04-23,746.0,733.0,758.0,730.0,2130000.0,0.0177,4.133951200074635,0.0007810215001168381
2002-04-24,746.0,746.0,755.0,727.0,831850.0,0.0,4.145761650394964,0.0008492900230871348
2002-04-25,758.0,746.0,777.0,746.0,805430.0,0.0161,4.1557241918588135,0.0007834518344408266
2002-04-26,752.0,708.0,765.0,708.0,469630.0,-0.0079,4.200668683243455,0.0007389357094233411
2002-04-29,727.0,746.0,749.0,723.0,1480000.0,-0.0332,4.20295597300625,0.0007621433140903565
2002-04-30,720.0,727.0,727.0,714.0,1200000.0,-0.0096,4.192212613425561,0.0008122623194907836
2002-05-02,761.0,720.0,771.0,720.0,1540000.0,0.056900000000000006,4.197649382144739,0.0007553067033750303
2002-05-03,771.0,761.0,774.0,758.0,815120.0,0.0131,4.259483127645121,0.0008752682365562581
2002-05-06,777.0,765.0,780.0,765.0,1130000.0,0.0078000000000000005,4.264617197087907,0.0007692403125981577
2002-05-07,799.0,774.0,806.0,771.0,2090000.0,0.028300000000000002,4.2505891610758475,0.0008166379627869715
2002-05-08,799.0,793.0,799.0,783.0,1610000.0,0.0,4.230359770042036,0.0009532145285039054
2002-05-09,793.0,799.0,802.0,774.0,1100000.0,-0.0075,4.231570374061292,0.0009408487248835029
2002-05-10,796.0,787.0,796.0,787.0,1150000.0,0.0038,4.234143507494147,0.0009213174341121565
2002-05-13,790.0,802.0,802.0,783.0,1120000.0,-0.0075,4.236158487056194,0.0009272895010690639
2002-05-14,787.0,790.0,790.0,780.0,686290.0,-0.0038,4.228093667911898,0.0008748647614253154
2002-05-15,771.0,783.0,790.0,758.0,686990.0,-0.0203,4.227541462468925,0.0009417380319683813
2002-05-16,768.0,770.0,774.0,761.0,207010.0,-0.0039000000000000003,4.243920496044841,0.0008241546194293575
2002-05-17,758.0,768.0,771.0,753.0,903660.0,-0.013000000000000001,4.236276153563642,0.0008336073717263184
2002-05-20,758.0,746.0,761.0,746.0,571110.0,0.0,4.235314356278203,0.0007362334001208398
2002-05-21,758.0,758.0,758.0,752.0,531230.0,0.0,4.265342072377234,0.0008698973541107577
2002-05-22,742.0,755.0,758.0,733.0,1370000.0,-0.021099999999999997,4.261203814143989,0.0009053847682638848
2002-05-23,749.0,742.0,758.0,733.0,693260.0,0.009399999999999999,4.266599842851138,0.0008031235235695472
2002-05-24,746.0,749.0,749.0,738.0,474340.0,-0.004,4.261842757591904,0.0008626740868419886
2002-05-27,736.0,739.0,749.0,733.0,1350000.0,-0.0134,4.259626976372826,0.0008352708279629716
2002-05-28,746.0,739.0,746.0,723.0,401090.0,0.013600000000000001,4.263135184151116,0.0007923963157341187
2002-05-29,768.0,733.0,780.0,727.0,5890000.0,0.029500000000000002,4.242524697654189,0.0008927877690955663
