Date,Price,Open,High,Low,Vol,Change,Beta,Alpha
2002-02-21,2665.0,2835.0,2911.0,2660.0,2200000.0,-0.058600000000000006,4.169818047825406,0.001099096309937976
2002-02-22,2646.0,2741.0,2741.0,2623.0,1480000.0,-0.0070999999999999995,4.239691456202313,0.0009914252517290955
2002-02-25,2646.0,2646.0,2741.0,2618.0,1140000.0,0.0,4.224921477439205,0.0010572295407635143
2002-02-26,2637.0,2670.0,2727.0,2627.0,2120000.0,-0.0034000000000000002,4.207782558878784,0.0009828138062289438
2002-02-27,2627.0,2689.0,2689.0,2542.0,3760000.0,-0.0038,4.205200712083844,0.0009028009238036299
2002-02-28,2580.0,2646.0,2646.0,2552.0,2170000.0,-0.0179,4.186934458401727,0.0009437954968724661
2002-03-01,2675.0,2571.0,2694.0,2552.0,1020000.0,0.0368,4.20017733461981,0.0009485012846164745
2002-03-04,2712.0,2717.0,2741.0,2684.0,1300000.0,0.0138,4.236567456884963,0.000964245346311364
2002-03-05,2755.0,2703.0,2788.0,2703.0,3020000.0,0.0159,4.2572085977242695,0.0010763537178151874
2002-03-06,2736.0,2755.0,2760.0,2694.0,3710000.0,-0.0069,4.294673757675133,0.000952997997798092
2002-03-07,2684.0,2741.0,2750.0,2656.0,2750000.0,-0.019,4.287807524614596,0.0008743291231774017
2002-03-08,2609.0,2684.0,2694.0,2599.0,2480000.0,-0.0279,4.302905660349483,0.0007046204495255761
2002-03-11,2566.0,2627.0,2627.0,2566.0,3730000.0,-0.0165,4.2675090226712245,0.0005286531112857524
2002-03-12,2609.0,2552.0,2646.0,2533.0,2870000.0,0.0168,4.266269672783519,0.0005112351908906581
2002-03-13,2627.0,2627.0,2675.0,2571.0,3200000.0,0.0069,4.259224202104108,0.0005943595259549786
2002-03-14,2741.0,2627.0,2755.0,2627.0,2990000.0,0.0434,4.203538927877106,0.0006963526527534529
2002-03-15,2854.0,2779.0,2854.0,2722.0,3150000.0,0.0412,4.325270320020865,0.0007043287681559815
2002-03-18,2864.0,2854.0,2901.0,2816.0,5300000.0,0.0034999999999999996,4.332448828856633,0.0007510409042372894
2002-03-19,2850.0,2864.0,2868.0,2798.0,2480000.0,-0.0049,4.302410232197969,0.000843627680986731
2002-03-20,2901.0,2864.0,2930.0,2864.0,4650000.0,0.0179,4.286570816588327,0.0009014722579620405
2002-03-22,2953.0,2897.0,2963.0,2897.0,2860000.0,0.0179,4.285337885254524,0.0009998412778486653
2002-03-25,2958.0,2935.0,2977.0,2930.0,2100000.0,0.0017000000000000001,4.310918500987319,0.0009899064551991221
2002-03-26,2944.0,2958.0,2968.0,2920.0,3630000.0,-0.004699999999999999,4.246190840393149,0.0011655435614957833
2002-03-27,2835.0,2944.0,2944.0,2816.0,4260000.0,-0.037000000000000005,4.225553222235769,0.0011967457036173139
2002-03-28,2769.0,2835.0,2864.0,2760.0,2050000.0,-0.0233,4.256703001929507,0.0011083703129319156
2002-04-02,2826.0,2769.0,2831.0,2769.0,1080000.0,0.0206,4.202238104960292,0.0009439693213407033
2002-04-03,2859.0,2835.0,2892.0,2835.0,2050000.0,0.011699999999999999,4.213841224720208,0.0010054291375629122
2002-04-04,2977.0,2859.0,2996.0,2854.0,992780.0,0.041299999999999996,4.197801639401198,0.000920139523568526
2002-04-05,3109.0,2996.0,3114.0,2996.0,3250000.0,0.0443,4.208523387654317,0.0008512332155480606
2002-04-08,2977.0,3072.0,3091.0,2968.0,3230000.0,-0.0425,4.193672977299663,0.0011364040466900227
2002-04-09,2991.0,2953.0,3001.0,2883.0,2170000.0,0.004699999999999999,4.200373358003623,0.001078356233595693
2002-04-10,3062.0,2987.0,3091.0,2987.0,2230000.0,0.023700000000000002,4.19095173666079,0.0010522368497284213
2002-04-11,3057.0,3081.0,3095.0,3048.0,2080000.0,-0.0016,4.166960693857589,0.0009952255991822622
2002-04-12,2982.0,3062.0,3062.0,2958.0,2240000.0,-0.0245,4.150840499420378,0.0009446706904652707
2002-04-15,2949.0,2982.0,2987.0,2864.0,2760000.0,-0.0111,4.232325051815974,0.0007539987552655415
2002-04-16,2987.0,2930.0,3005.0,2901.0,2000000.0,0.0129,4.2424367667995035,0.0008257538205225093
2002-04-17,3024.0,2996.0,3057.0,2987.0,962690.0,0.0124,4.254114500578549,0.0009245037624300331
2002-04-18,3043.0,3024.0,3081.0,3010.0,1330000.0,0.0063,4.198316088296406,0.0009668656982482252
2002-04-19,3142.0,3024.0,3161.0,3024.0,1470000.0,0.0325,4.1934841972648815,0.000964094672257445
2002-04-22,3303.0,3142.0,3303.0,3128.0,3900000.0,0.0512,4.218544469167253,0.0010224918353060688
2002-04-23,3365.0,3303.0,3393.0,3251.0,5600000.0,0.018799999999999997,4.245051083342281,0.0010882542531279013
2002-04-24,3459.0,3355.0,3459.0,3298.0,4250000.0,0.0279,4.242550386572226,0.0010462378760851627
2002-04-25,3421.0,3450.0,3516.0,3393.0,2620000.0,-0.011000000000000001,4.223166358735225,0.0012693201453721282
2002-04-26,3402.0,3402.0,3431.0,3336.0,2670000.0,-0.005600000000000001,4.203392273991384,0.0012757315837807147
2002-04-29,3270.0,3402.0,3402.0,3270.0,2570000.0,-0.0388,4.20338238951025,0.0011998885336341912
2002-04-30,3261.0,3270.0,3280.0,3194.0,1840000.0,-0.0028000000000000004,4.2229966439541355,0.0011478626860809262
2002-05-02,3393.0,3261.0,3431.0,3261.0,3720000.0,0.0405,4.230215449101286,0.0010993343491234621
2002-05-03,3459.0,3393.0,3459.0,3379.0,1770000.0,0.0195,4.2646449863382685,0.0011655805905472422
2002-05-06,3478.0,3473.0,3554.0,3445.0,1830000.0,0.0055000000000000005,4.267612702130344,0.001173908510831221
2002-05-07,3487.0,3459.0,3601.0,3421.0,4340000.0,0.0026,4.251637503751285,0.0011758545895814523
2002-05-08,3431.0,3497.0,3521.0,3440.0,1950000.0,-0.0161,4.244094893329109,0.0011950552767815905
2002-05-09,3355.0,3402.0,3464.0,3308.0,2160000.0,-0.0222,4.240164639913779,0.0011425465992765912
2002-05-10,3374.0,3355.0,3402.0,3308.0,995050.0,0.005699999999999999,4.255318397898818,0.0010541506606121563
2002-05-13,3412.0,3374.0,3469.0,3374.0,2220000.0,0.0113,4.252848125074926,0.0010877156043919095
2002-05-14,3393.0,3412.0,3469.0,3384.0,2400000.0,-0.005600000000000001,4.2503593752151945,0.0010803540795331962
2002-05-15,3332.0,3394.0,3421.0,3308.0,2550000.0,-0.018000000000000002,4.240993152185092,0.0010323636617682202
2002-05-16,3355.0,3327.0,3379.0,3308.0,2010000.0,0.0069,4.2651804254739885,0.0009017907922808625
2002-05-17,3317.0,3393.0,3393.0,3308.0,1130000.0,-0.0113,4.264901774794385,0.0009132747734306235
2002-05-20,3284.0,3261.0,3327.0,3261.0,1410000.0,-0.009899999999999999,4.264245592768587,0.0008339607495760859
2002-05-21,3308.0,3289.0,3327.0,3261.0,1680000.0,0.0073,4.204244887505538,0.0007407044741104292
2002-05-22,3232.0,3308.0,3308.0,3203.0,1590000.0,-0.023,4.195394332237516,0.0008110334350624446
2002-05-23,3304.0,3228.0,3308.0,3176.0,2420000.0,0.0223,4.207449439457472,0.0007765301020045842
2002-05-24,3341.0,3261.0,3374.0,3261.0,1510000.0,0.011200000000000002,4.196004653548799,0.0009397908309082139
2002-05-27,3308.0,3346.0,3355.0,3298.0,1660000.0,-0.009899999999999999,4.1986339823045284,0.0010084773513731444
2002-05-28,3213.0,3308.0,3308.0,3176.0,4090000.0,-0.0287,4.200419600057696,0.0009709362331826915
2002-05-29,3183.0,3223.0,3261.0,3176.0,4130000.0,-0.009300000000000001,4.218405389501504,0.0008977146989477849
2002-05-30,3213.0,3199.0,3242.0,3157.0,2760000.0,0.009399999999999999,4.220575921553781,0.0008742028306624492
2002-05-31,3212.0,3213.0,3256.0,3154.0,3330000.0,-0.0003,4.21714117775659,0.0009073321220094874
2002-06-03,3346.0,3218.0,3421.0,3218.0,3140000.0,0.0417,4.211808562167143,0.0008810348523858446
2002-06-04,3355.0,3346.0,3355.0,3289.0,1170000.0,0.0027,4.272268521016303,0.0011263908761543426
2002-06-05,3412.0,3366.0,3421.0,3365.0,1640000.0,0.017,4.2353624095962195,0.0012340635515999693
2002-06-06,3402.0,3412.0,3450.0,3384.0,1530000.0,-0.0029,4.238392920510103,0.0011280255384841756
2002-06-10,3261.0,3284.0,3308.0,3251.0,1280000.0,-0.0414,4.238327703733446,0.0011304158392318499
2002-06-11,3270.0,3261.0,3298.0,3251.0,1420000.0,0.0028000000000000004,4.194834133499869,0.0009016485095908556
2002-06-12,3185.0,3280.0,3280.0,3176.0,1280000.0,-0.026000000000000002,4.199549068406139,0.0008703737771818917
2002-06-13,3142.0,3213.0,3228.0,3138.0,2000000.0,-0.013500000000000002,4.210192795670065,0.0009603852141695257
2002-06-14,3147.0,3147.0,3223.0,3100.0,2220000.0,0.0016,4.21581066398309,0.0008437038099443159
2002-06-18,3166.0,3166.0,3261.0,3166.0,3780000.0,0.006,4.214733281286407,0.0008401174911203258
2002-06-19,3119.0,3166.0,3185.0,3091.0,3630000.0,-0.0148,4.198259263573338,0.0007787130310141613
2002-06-20,3039.0,3076.0,3100.0,3024.0,1860000.0,-0.0256,4.200595099778896,0.000694912547735938
2002-06-21,3029.0,3039.0,3072.0,2991.0,4490000.0,-0.0033,4.211639166093394,0.0006122570173105348
2002-06-24,3119.0,3043.0,3164.0,3043.0,1550000.0,0.0297,4.201486160853655,0.0006785400792848733
2002-06-25,3005.0,3119.0,3133.0,2958.0,4340000.0,-0.0366,4.239303894934167,0.0009097144606583784
2002-06-26,2978.0,2977.0,2978.0,2883.0,2850000.0,-0.009000000000000001,4.25143580563407,0.0006430908303421834
2002-06-27,3143.0,3024.0,3147.0,2977.0,4900000.0,0.0554,4.205534077970512,0.0006595093494777203
2002-06-28,3024.0,3147.0,3213.0,3024.0,2500000.0,-0.0379,4.295450769331125,0.0008045409548170085
2002-07-01,3072.0,3024.0,3100.0,3024.0,2120000.0,0.0159,4.281986058816972,0.0006854300072195801
2002-07-02,3042.0,3067.0,3072.0,3005.0,2590000.0,-0.0098,4.284733946059474,0.000776605211331209
2002-07-03,3072.0,3024.0,3072.0,2977.0,4200000.0,0.009899999999999999,4.293722893718641,0.0008493669458290487
2002-07-04,3015.0,3076.0,3076.0,2987.0,3610000.0,-0.018600000000000002,4.285970269771827,0.0008840971731886109
2002-07-05,3002.0,3015.0,3034.0,2982.0,2830000.0,-0.0043,4.254887803696407,0.0007769129635982123
2002-07-08,2902.0,3041.0,3041.0,2902.0,1960000.0,-0.0333,4.224422717654132,0.0007884057184542276
2002-07-09,2925.0,2935.0,2972.0,2901.0,1640000.0,0.0079,4.208191331897188,0.0005738634097635018
2002-07-10,2936.0,2901.0,2977.0,2845.0,1650000.0,0.0038,4.153547770122085,0.0007050528445674465
2002-07-11,2977.0,2911.0,2996.0,2845.0,1040000.0,0.013999999999999999,4.126152229113169,0.0007235796488342472
2002-07-12,3034.0,3024.0,3062.0,2930.0,966700.0,0.0191,4.078906731036649,0.0007703292269475267
2002-07-15,2967.0,3024.0,3029.0,2930.0,1320000.0,-0.022099999999999998,4.065824482392159,0.0008068588071977714
2002-07-16,3024.0,2977.0,3024.0,2887.0,2010000.0,0.0192,4.085261100135055,0.0006738461522745725
2002-07-17,3119.0,3024.0,3119.0,3010.0,1460000.0,0.031400000000000004,4.0727113805923265,0.0007989806488448682
2002-07-18,3053.0,3119.0,3166.0,3043.0,541150.0,-0.0212,4.094697374344706,0.0008531172307309295
2002-07-19,2939.0,3024.0,3024.0,2939.0,716650.0,-0.0373,4.110298474772489,0.0008227107731403587
2002-07-22,2835.0,2864.0,2930.0,2835.0,4160000.0,-0.0354,4.143829779471605,0.0008538697130655594
2002-07-23,2869.0,2835.0,2906.0,2835.0,2590000.0,0.012,4.171197590784568,0.0007639494432258921
2002-07-24,2799.0,2854.0,2864.0,2750.0,5370000.0,-0.024399999999999998,4.1727086100883275,0.0008014803646152119
2002-07-25,2834.0,2873.0,2873.0,2736.0,1960000.0,0.0125,4.16912617404761,0.0007120909269692975
2002-07-26,2835.0,2835.0,2835.0,2727.0,2850000.0,0.0004,4.183250084003723,0.0006773827779300571
2002-07-29,2816.0,2845.0,2873.0,2775.0,3490000.0,-0.0067,4.131125046911078,0.0004902641545734465
2002-07-30,2788.0,2859.0,2877.0,2788.0,3000000.0,-0.009899999999999999,4.085845182376853,0.00035428218798772454
2002-07-31,2670.0,2760.0,2831.0,2665.0,3170000.0,-0.042300000000000004,4.052017968884833,0.0003813422341871822
2002-08-01,2646.0,2689.0,2694.0,2594.0,2360000.0,-0.009000000000000001,4.09252471683759,0.00034483369371703007
2002-08-02,2623.0,2599.0,2646.0,2585.0,861400.0,-0.0087,4.089658119092235,0.00031703576904062666
2002-08-05,2647.0,2627.0,2694.0,2599.0,1350000.0,0.0091,4.0742760695097004,0.0003264360465223417
2002-08-06,2764.0,2665.0,2764.0,2599.0,1950000.0,0.044199999999999996,4.033506763379774,0.0003657712680951917
2002-08-07,2735.0,2774.0,2826.0,2712.0,2090000.0,-0.0105,4.058646928980555,0.0004158123694469021
2002-08-08,2684.0,2736.0,2769.0,2675.0,1990000.0,-0.018600000000000002,4.053926177039262,0.00042592573612047123
2002-08-12,2788.0,2703.0,2798.0,2703.0,3220000.0,0.0387,4.005822934797029,0.0003126946292713694
2002-08-13,2774.0,2779.0,2793.0,2746.0,814030.0,-0.005,3.984048261774258,0.0005145375242358557
2002-08-14,2764.0,2774.0,2774.0,2722.0,1880000.0,-0.0036,3.9691906693364776,0.00048437067958091533
2002-08-15,2779.0,2788.0,2807.0,2764.0,1870000.0,0.0054,3.9672627958895874,0.0004371371672417479
2002-08-16,2798.0,2779.0,2807.0,2769.0,2130000.0,0.0068000000000000005,3.9856790941994347,0.0005462484487743878
2002-08-19,2854.0,2798.0,2859.0,2788.0,1130000.0,0.02,3.9968248444705656,0.0006097095320043966
2002-08-20,2816.0,2864.0,2901.0,2812.0,4370000.0,-0.013300000000000001,4.005629664912702,0.0006399298818365425
2002-08-21,2812.0,2835.0,2840.0,2741.0,2060000.0,-0.0014000000000000002,4.0087580954338975,0.0005995704566813099
2002-08-22,2835.0,2812.0,2930.0,2812.0,4720000.0,0.008199999999999999,4.014652493250464,0.0005514848800490685
2002-08-23,2802.0,2859.0,2859.0,2769.0,2620000.0,-0.0116,4.006103232967191,0.00047643078252412245
2002-08-26,2750.0,2802.0,2802.0,2750.0,1460000.0,-0.018600000000000002,3.9960045976185867,0.0004853598243365017
2002-08-27,2698.0,2741.0,2760.0,2689.0,1660000.0,-0.0189,3.9989184522822634,0.00048116491731702563
2002-08-28,2717.0,2741.0,2741.0,2694.0,2240000.0,0.006999999999999999,3.964045746473245,0.0003844037810122262
2002-08-29,2637.0,2717.0,2717.0,2618.0,1280000.0,-0.0294,3.9647818971116604,0.00041815615270984465
2002-08-30,2698.0,2694.0,2708.0,2618.0,2490000.0,0.0231,3.976593153196764,0.00034326144688990863
2002-09-02,2684.0,2698.0,2731.0,2660.0,870410.0,-0.0052,3.976470851971586,0.00043705290438459
2002-09-03,2580.0,2684.0,2684.0,2552.0,2490000.0,-0.0387,3.990505100268794,0.0005036963079609477
2002-09-04,2590.0,2580.0,2600.0,2542.0,2470000.0,0.0039000000000000003,4.016502545606826,0.00046381063690299404
2002-09-05,2632.0,2599.0,2656.0,2599.0,902430.0,0.016200000000000003,4.022885890126099,0.0005185838008416215
2002-09-06,2656.0,2646.0,2660.0,2566.0,2190000.0,0.0091,3.9959188284672957,0.0005526453943900684
2002-09-09,2694.0,2675.0,2703.0,2675.0,1680000.0,0.0143,3.980464394634842,0.0005986100567525773
2002-09-10,2835.0,2703.0,2835.0,2703.0,3400000.0,0.052300000000000006,3.915832187528825,0.0006967286296738623
2002-09-11,2958.0,2835.0,2958.0,2835.0,2450000.0,0.0434,3.9903071302253044,0.0008770664643570938
2002-09-12,2845.0,2959.0,2959.0,2788.0,2010000.0,-0.0382,4.022021944953921,0.0010635618470037217
2002-09-13,2769.0,2845.0,2845.0,2694.0,2180000.0,-0.026699999999999998,4.062284091599776,0.0009815599211467963
2002-09-16,2751.0,2821.0,2821.0,2722.0,1070000.0,-0.006500000000000001,4.076854262622446,0.0009177504718471996
2002-09-17,2815.0,2779.0,2854.0,2779.0,1120000.0,0.0233,4.094769395101502,0.0008534430043700141
2002-09-18,2755.0,2815.0,2815.0,2694.0,2320000.0,-0.0213,3.995135601801095,0.0010472710114865162
2002-09-19,2665.0,2760.0,2760.0,2617.0,3480000.0,-0.0327,4.004687804961261,0.0009881545844741624
2002-09-20,2618.0,2694.0,2722.0,2618.0,1860000.0,-0.0176,3.997001914833619,0.0008616645199340606
2002-09-23,2590.0,2627.0,2632.0,2585.0,2030000.0,-0.010700000000000001,3.968283275655177,0.000855386456451283
2002-09-25,2675.0,2590.0,2689.0,2538.0,1380000.0,0.032799999999999996,4.006655730753531,0.0007953233106791662
2002-09-26,2801.0,2675.0,2801.0,2675.0,1960000.0,0.0471,4.022211927665267,0.0008153103616494327
2002-09-27,2816.0,2793.0,2834.0,2788.0,2380000.0,0.0054,4.053424023010126,0.0009105934542019572
2002-09-30,2712.0,2788.0,2788.0,2703.0,1420000.0,-0.0369,4.031914597287531,0.0009732920050232027
2002-10-01,2712.0,2722.0,2743.0,2694.0,919820.0,0.0,3.9447701723431754,0.0007676343989733407
2002-10-02,2768.0,2746.0,2774.0,2731.0,968520.0,0.0206,3.9105614017735117,0.0006561041289451011
2002-10-03,2717.0,2736.0,2760.0,2717.0,1350000.0,-0.0184,3.9236536855407302,0.0007488244975041847
2002-10-04,2730.0,2722.0,2731.0,2683.0,1020000.0,0.0048,3.927014492984084,0.0006831334623626001
2002-10-07,2703.0,2717.0,2731.0,2670.0,717430.0,-0.009899999999999999,3.9322743425985296,0.0006201711516213215
2002-10-08,2694.0,2684.0,2712.0,2646.0,963240.0,-0.0033,3.936531068131998,0.0006371619178268397
2002-10-09,2623.0,2684.0,2703.0,2618.0,1520000.0,-0.0264,3.9232469372136447,0.0006867647034050513
2002-10-10,2590.0,2599.0,2646.0,2590.0,1130000.0,-0.0126,3.9067836234628754,0.0005604394389333749
2002-10-11,2679.0,2623.0,2684.0,2623.0,1250000.0,0.0344,3.868229109339482,0.000496458588459113
2002-10-14,2768.0,2694.0,2768.0,2657.0,354530.0,0.0332,3.8947864617850922,0.0005777234813812106
2002-10-15,2825.0,2769.0,2850.0,2694.0,2890000.0,0.0206,3.838135962234034,0.0007089536833067938
